baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name
ENSMUSG00000001467,2725.10269481521,-0.859505756553599,0.197752077585798,-4.34638041251774,1.38402452859828e-05,0.00398991548804115,Cyp51
ENSMUSG00000002944,6886.48006060111,-0.641711726051807,0.158394461256755,-4.05135205461256,5.09225201615377e-05,0.0115713938461188,Cd36
ENSMUSG00000003623,7068.8652853691,-0.849794215247123,0.154551398861614,-5.49845696322704,3.83129018445461e-08,2.84620653510541e-05,Crot
ENSMUSG00000005640,348.496489187734,-1.06603163107144,0.260857953628167,-4.08663648642656,4.37672054426363e-05,0.0107008047230952,Insrr
ENSMUSG00000013611,123.060651610398,-1.91916840977067,0.311697411369294,-6.15715222445937,7.40646518771509e-10,7.9475486167065e-07,Snx31
ENSMUSG00000015484,335.471918448825,-0.877474280557109,0.205839916747541,-4.26289659664659,2.01793912063486e-05,0.00548964705845948,Fam163a
ENSMUSG00000016018,1075.85702414126,-0.61097946163729,0.130058676983093,-4.69772164233775,2.63079632522608e-06,0.00101627662043483,Mtrex
ENSMUSG00000017550,70.7509128033268,-2.41052925885445,0.536376217575027,-4.49410167690232,6.98642431015242e-06,0.00232659975087231,Atad5
ENSMUSG00000021214,187.237900349004,-2.34029282816691,0.435969692712595,-5.36801724359703,7.96069441183419e-08,5.30209698498543e-05,Akr1c18
ENSMUSG00000021620,2703.30586329504,-0.674699750642899,0.151793351616494,-4.44485706032454,8.79503234990402e-06,0.0026964452355301,Acot12
ENSMUSG00000022090,227.267567322963,-1.45708117868937,0.298154749986712,-4.88699636264159,1.02385984741687e-06,0.000446789448903294,Pdlim2
ENSMUSG00000022445,900.682946527872,-1.05000009847881,0.14939257671747,-7.02846233427356,2.08821976383981e-12,4.48155163761844e-09,Cyp2d26
ENSMUSG00000024041,16.8993408761159,-3.90290634146401,0.79244867385521,-4.92512192931895,8.43077675566398e-07,0.000397171836672316,Cryaa
ENSMUSG00000024424,524.545457358297,-0.850360145872962,0.18914528031598,-4.49580420115361,6.93074923482286e-06,0.00232659975087231,Ttc39c
ENSMUSG00000024757,1241.97988074354,-1.18710291276017,0.201817821018582,-5.88205197523597,4.05211042568927e-09,3.91332564360942e-06,Slc22a19
ENSMUSG00000025283,898.432804327623,-0.523352248048445,0.143600765707702,-3.64449482890449,0.000267917521936912,0.043854465561114,Sat1
ENSMUSG00000026220,911.301207080022,-1.00933525036239,0.26668273688479,-3.78477910551232,0.000153845164516005,0.0291325426728102,Slc16a14
ENSMUSG00000026348,1802.74513464602,-0.630190832589465,0.173174452950681,-3.6390519609087,0.000273643586372891,0.0440452155899365,Acmsd
ENSMUSG00000026566,274.738702461498,-0.930545927157019,0.258719344642298,-3.59673888492405,0.000322231657338963,0.0490071217441108,Mpzl1
ENSMUSG00000027559,930.557291507356,-1.46302498981614,0.3680377172807,-3.97520395633881,7.0318966989466e-05,0.0151197983310974,Car3
ENSMUSG00000028633,314.545736494486,-0.70555538505132,0.173578446842705,-4.06476378769933,4.80811319713793e-05,0.0112210955219977,Ctps1
ENSMUSG00000029636,103.700406239628,-1.64751640120262,0.339073162888791,-4.85888174447758,1.18050613680387e-06,0.000485137787922695,Wasf3
ENSMUSG00000030268,543.335844696371,-1.17566624122528,0.255873030708765,-4.59472511803492,4.33320100653888e-06,0.00154992180446849,Bcat1
ENSMUSG00000030935,4118.43516285171,-1.37733429862155,0.282260640918556,-4.87965411734103,1.0627205109356e-06,0.000446789448903294,Acsm3
ENSMUSG00000031661,35.0591415885598,-2.3640455358463,0.571778610300424,-4.13454699644009,3.55655470930558e-05,0.00931434144206583,Nkd1
ENSMUSG00000032080,107.920118943061,-1.3301340841443,0.272029803342033,-4.88966307295333,1.01008715399553e-06,0.000446789448903294,Apoa4
ENSMUSG00000032420,2377.56417690016,-0.65304519231161,0.180038801752041,-3.62724693764079,0.000286459305128468,0.0457269543682344,Nt5e
ENSMUSG00000033715,1317.03031936529,-1.01895772412374,0.231384384176531,-4.40374456448341,1.06398212903343e-05,0.00321106481598136,Akr1c14
ENSMUSG00000034875,14118.6591467618,-1.04662836516772,0.197880309092499,-5.28919916270433,1.22853063476925e-07,7.65453845502195e-05,Nudt19
ENSMUSG00000036083,4465.21648786951,-0.534715601752174,0.137126387800198,-3.8994362086697,9.64169349334533e-05,0.0195804427373423,Slc17a3
ENSMUSG00000036198,22.6663984748032,-5.38723566872469,0.993662960338688,-5.42159251552303,5.90704120017088e-08,4.22572225115928e-05,Arhgap36
ENSMUSG00000037263,65.8152737111314,-1.80418792081112,0.416154190217339,-4.33538328634603,1.45506362571373e-05,0.00413302263686188,Aldh3b3
ENSMUSG00000039611,446.442992484719,-0.630091370817971,0.172789958652441,-3.64657400078074,0.000265759967806337,0.043854465561114,Pgap4
ENSMUSG00000041594,139.391588164856,-1.11814599083613,0.306774986982632,-3.64484080607076,0.000267557366748624,0.043854465561114,Tmtc4
ENSMUSG00000047583,439.280976596197,-0.92812575643506,0.238218996410792,-3.89610304139882,9.77528138714689e-05,0.0195804427373423,Tyw3
ENSMUSG00000052423,116.03254541597,-1.04572195727623,0.278738002137519,-3.75163038142288,0.0001756883475434,0.0326290426230843,B4galt3
ENSMUSG00000053303,192.216058884811,-0.997709923651114,0.23675703640962,-4.21406661774964,2.50813253610201e-05,0.00672841387983476,Slc22a26
ENSMUSG00000055737,4441.77571968639,-0.535894617376694,0.142508251904305,-3.76044622129355,0.000169610536527324,0.0318060923594685,Ghr
ENSMUSG00000057425,2125.13557315173,-1.13672247533712,0.251421398237661,-4.52118428783299,6.14946224226773e-06,0.00215957933108002,Ugt2b37
ENSMUSG00000061808,297.152298075429,-1.67141642481879,0.370099827196988,-4.51612322404346,6.29820238023873e-06,0.00217231748168413,Ttr
ENSMUSG00000061906,17408.2878549683,-1.03964330765092,0.157607417245971,-6.59641104344977,4.21230049411867e-11,5.72549334800598e-08,Ugt2b38
