,baseMean,log2FoldChange,lfcSE,stat,pvalue,adj_pvalue,Gene_name
ENSMUSG00000001467,2726.5406661482416,-0.8645732052927264,0.2156614553647349,-4.00893708071536,6.099266347022593e-05,0.02011802587740211,Cyp51
ENSMUSG00000003623,7073.096788951513,-0.8558437134231854,0.1788629093823202,-4.784914415060844,1.7106020704262304e-06,0.0010406922862679759,Crot
ENSMUSG00000005640,348.88708085326806,-1.0665885848180892,0.2740527898452247,-3.8919092391668797,9.945845347036629e-05,0.02896674553891721,Insrr
ENSMUSG00000013611,123.04335849955018,-1.9223769358498044,0.3144083437863323,-6.114268192437749,9.700105603144608e-10,1.475332172762722e-06,Snx31
ENSMUSG00000015484,335.67350078501426,-0.8831150881805591,0.22235307552397698,-3.9716792137886583,7.136778095048882e-05,0.02245788205840842,Fam163a
ENSMUSG00000016018,1075.2588745956416,-0.6173247186221678,0.15250552303763334,-4.047884341013881,5.168267231757076e-05,0.017686456500476684,Mtrex
ENSMUSG00000017550,70.45022269195927,-2.4123862013708,0.5163144343991999,-4.672319890064531,2.978166405442588e-06,0.0015986914055255241,Atad5
ENSMUSG00000021214,187.3511688195551,-2.357728131957954,0.42439790621381024,-5.55546598472175,2.768721304639106e-08,2.9153570445040312e-05,Akr1c18
ENSMUSG00000021620,2703.552827654488,-0.6807555632892901,0.17415225381813867,-3.908967862110933,9.269129259639343e-05,0.027582712145776768,Acot12
ENSMUSG00000022090,227.0373093225773,-1.4690593418235054,0.2955753138972021,-4.970169269056171,6.689447612186613e-07,0.00048193949283903393,Pdlim2
ENSMUSG00000022445,900.4989993122779,-1.0569663654525256,0.16796231917790352,-6.292877894434171,3.1163347705584503e-10,5.687726467571913e-07,Cyp2d26
ENSMUSG00000024041,16.928592870362902,-3.9104016340408077,0.7711149317152783,-5.071100912729647,3.9552096328463185e-07,0.00034929604554333443,Cryaa
ENSMUSG00000024424,524.8150114339998,-0.8557030092197396,0.2075607411127846,-4.122663103976714,3.745172483119688e-05,0.01339473830520209,Ttc39c
ENSMUSG00000024757,1241.5544670322292,-1.1951902668941918,0.212233023559781,-5.631499975108893,1.7864900192397124e-08,2.328987488415505e-05,Slc22a19
ENSMUSG00000027559,931.0902960429414,-1.465729807183153,0.3715193515974073,-3.945231388031368,7.972295660683395e-05,0.024250837589169925,Car3
ENSMUSG00000029636,103.56528312858049,-1.6580818512970246,0.33295137810094494,-4.979951909958227,6.360007511803863e-07,0.00047058898824501173,Wasf3
ENSMUSG00000030268,544.2816186757236,-1.178733256707012,0.2705227917131471,-4.357241950825716,1.317116433718487e-05,0.005634171344673596,Bcat1
ENSMUSG00000030935,4115.840422739668,-1.3863223743054918,0.28743422541223596,-4.823094300329889,1.4134810242732106e-06,0.0008999272093378532,Acsm3
ENSMUSG00000031661,35.03545248235294,-2.3748868980905082,0.5517025999733174,-4.30465054579291,1.6724952769682707e-05,0.006834015402620947,Nkd1
ENSMUSG00000032080,107.96186177674349,-1.3353151457184422,0.2805394982507943,-4.759811556106473,1.937737938337759e-06,0.001128711734848358,Apoa4
ENSMUSG00000032523,18.688934761583067,-4.4045533073417085,1.0175864347780121,-4.328431626845112,1.5017493853695631e-05,0.006325137372809621,Hhatl
ENSMUSG00000033715,1317.2930083075373,-1.0235888443348804,0.2439915380071793,-4.195181737428787,2.726528840837085e-05,0.010587019934377797,Akr1c14
ENSMUSG00000034875,14135.59459827833,-1.0503448354888103,0.21892826821199152,-4.797666578496595,1.6052469653780479e-06,0.0009987919584353367,Nudt19
ENSMUSG00000036198,22.58828104855927,-5.38186061550442,0.9604832636682902,-5.603284116528953,2.1032803727332263e-08,2.458976435327535e-05,Arhgap36
ENSMUSG00000037263,65.97167549725532,-1.813551601715709,0.41259919121039573,-4.395431790342335,1.105527756642756e-05,0.005044338898934788,Aldh3b3
