Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,adj_pvalue,Gene_name
ENSMUSG00000095079,365.1457980307162,4.70743241187489,0.41896994123643494,11.2357282672419,2.722396378891385e-29,7.453104566490945e-25,Igha
ENSMUSG00000076613,226.6961646941368,8.103624779993298,0.865092609439139,9.367349450883736,7.43767998093544e-21,1.0181068241903477e-16,Ighg2b
ENSMUSG00000076609,1916.9119286841524,5.97817679177707,0.7168160748751815,8.339903360590853,7.435127284611791e-17,6.785049322360566e-13,Igkc
ENSMUSG00000069372,53.52953933677266,-4.043103589328303,0.49214345725841346,-8.215294808248077,2.116436557538098e-16,1.4485420908930127e-12,Ctxn3
ENSMUSG00000112324,693.0395721413469,1.5220607969138202,0.1980659668375113,7.684615490567763,1.534571878107635e-14,8.402394861390544e-11,Gm47939
ENSMUSG00000073418,256.81674117290174,2.1666133257061686,0.28619015507478013,7.570537585892998,3.716828708348065e-14,1.695926992474083e-10,C4b
ENSMUSG00000076617,2281.756844066235,5.528925399298268,0.7557702789205523,7.315616336745993,2.5620270365329215e-13,1.0020087739880255e-09,Ighm
ENSMUSG00000096852,5597.433153844178,2.1160305602936282,0.30139570776563157,7.020772047421046,2.2064558833294877e-12,7.550767839738923e-09,Cyp2d12
ENSMUSG00000076612,238.9344785398081,8.651827345144477,1.286078418088656,6.727293781978435,1.7284754076067124e-11,5.257830137116551e-08,Ighg2c
ENSMUSG00000067144,2735.4937718829906,-1.4540768540826339,0.21921190204131275,-6.633202123343641,3.284815062197837e-11,8.992838195779018e-08,Slc22a7
ENSMUSG00000067149,353.86629664308856,4.954452633946029,0.7489728996971117,6.614995864269099,3.7156213302562075e-11,9.247505923493109e-08,Jchain
ENSMUSG00000112478,650.7221791699515,1.4179181641189567,0.2166986383043932,6.543272146118561,6.018715782112714e-11,1.3731198497241648e-07,Gm47761
ENSMUSG00000076615,45.660743900537454,8.523935611006277,1.3179552090473903,6.467545750031462,9.96073892988339e-11,2.0976549975647505e-07,Ighg3
ENSMUSG00000110866,309.88284783001893,1.415722039921004,0.2213451746912424,6.39599233141547,1.5950800907396598e-10,3.1191791174414046e-07,Gm48362
ENSMUSG00000022445,900.4989993122779,-1.0569663654525256,0.16796231917790352,-6.292877894434171,3.1163347705584503e-10,5.687726467571913e-07,Cyp2d26
ENSMUSG00000076934,47.08058278606547,6.010798689698224,0.9690329481022827,6.202883711507997,5.543780459925718e-10,9.48575485321165e-07,Iglv1
ENSMUSG00000102439,116.19256963261614,2.527107397100398,0.4103902660089128,6.157815149167097,7.375537132173203e-10,1.187765176867681e-06,Flg
ENSMUSG00000013611,123.04335849955018,-1.9223769358498044,0.3144083437863323,-6.114268192437749,9.700105603144608e-10,1.475332172762722e-06,Snx31
ENSMUSG00000061906,17411.015093813523,-1.0458537353873718,0.17756674550983528,-5.889918928144362,3.863851235745954e-09,5.56740290952721e-06,Ugt2b38
ENSMUSG00000076614,174.9422606976077,7.2179016035825505,1.2652623058929404,5.704668170359048,1.165699549336036e-08,1.5956678281086327e-05,Ighg1
ENSMUSG00000024757,1241.5544670322292,-1.1951902668941918,0.212233023559781,-5.631499975108893,1.7864900192397124e-08,2.328987488415505e-05,Slc22a19
ENSMUSG00000095589,30.996909105355552,7.960838734320277,1.4179761094479673,5.614226277352102,1.9744370390636134e-08,2.4570074008383884e-05,Ighv1-55
ENSMUSG00000036198,22.58828104855927,-5.38186061550442,0.9604832636682902,-5.603284116528953,2.1032803727332263e-08,2.458976435327535e-05,Arhgap36
ENSMUSG00000074469,155.89262689126681,-1.476039875981868,0.26362463879349624,-5.599020951672453,2.1556574660430595e-08,2.458976435327535e-05,Gm15348
ENSMUSG00000009281,274.01765870537616,1.2348397731430538,0.22151354279544413,5.574556560107759,2.4816117157897727e-08,2.717563357727064e-05,Rarres2
ENSMUSG00000021214,187.3511688195551,-2.357728131957954,0.42439790621381024,-5.55546598472175,2.768721304639106e-08,2.9153570445040312e-05,Akr1c18
