logFC,logCPM,F,PValue,FDR,Gene_name
ENSMUSG00000069372,-3.99488740087981,2.16106559848725,78.1653994652945,1.60149139736399e-06,0.00733098702057339,Ctxn3
ENSMUSG00000024041,-3.90367046535876,0.586451593410906,44.6573827494549,6.21762880389469e-06,0.0172733801264794,Cryaa
ENSMUSG00000067144,-1.39339936900202,7.82436518309821,60.6705603368442,7.77130002953761e-06,0.0172733801264794,Slc22a7
ENSMUSG00000061906,-0.987675914361393,10.4965538415935,59.9498210625066,8.2269450912719e-06,0.0172733801264794,Ugt2b38
ENSMUSG00000022445,-0.997421699259146,6.22626418251844,52.8726212763701,1.48861625068742e-05,0.0243367491040955,Cyp2d26
ENSMUSG00000003623,-0.799562078988441,9.19711719428872,42.8110033484013,3.92399055639309e-05,0.0465668267571545,Crot
ENSMUSG00000034875,-0.998759382740473,10.1921873701235,42.4950666373721,4.05708689779541e-05,0.0465668267571545,Nudt19
ENSMUSG00000013611,-1.86205070981604,3.35538861022291,42.5115561325464,4.06910405078246e-05,0.0465668267571545,Snx31
ENSMUSG00000024757,-1.13432778468353,6.68891508525879,41.0566207364875,4.73501868114722e-05,0.0468203059604107,Slc22a19
ENSMUSG00000036198,-4.9391321856796,0.882247983763907,30.7587877477529,4.84783496020853e-05,0.0468203059604107,Arhgap36
