logFC,logCPM,F,PValue,FDR,Gene_name
ENSMUSG00000076613,7.99110652894602,4.27886637792269,91.1583386964039,2.39718810027919e-07,0.00482570725489889,Ighg2b
ENSMUSG00000095079,4.871384774091,4.9622364528056,109.57114408738,4.21680116646181e-07,0.00482570725489889,Igha
ENSMUSG00000112324,1.58140865759669,5.87305407052398,88.3138064797535,1.24048650460549e-06,0.00733098702057339,Gm47939
ENSMUSG00000076609,6.19447124173295,7.34849992597817,86.6687877655147,1.38884876686134e-06,0.00733098702057339,Igkc
ENSMUSG00000073418,2.20456252940263,4.44673869092608,69.6224168248137,4.02333360991388e-06,0.0153476766106182,C4b
ENSMUSG00000112478,1.47948590870137,5.78382850300734,60.3415240913786,7.97820671976941e-06,0.0172733801264794,Gm47761
ENSMUSG00000096852,2.16689742795369,8.88041797053579,59.8362638339646,8.30160701639608e-06,0.0172733801264794,Cyp2d12
ENSMUSG00000076617,5.59806488723407,7.59771172005689,58.4176066036522,9.34359717242724e-06,0.0178213543402096,Ighm
ENSMUSG00000110866,1.47449269316212,4.71583677307995,55.3295256714535,1.20423811762308e-05,0.0212020015662747,Gm48362
ENSMUSG00000067149,5.20417132885226,4.92099809017249,51.4559132377648,1.64267050153425e-05,0.0250649616260773,Jchain
ENSMUSG00000076612,8.4714504488486,4.35620391393919,44.4037995299364,1.84842621982862e-05,0.0264417370746484,Ighg2c
ENSMUSG00000037053,1.05768917641485,6.61782047248236,47.1298436129515,2.53512337329108e-05,0.0341317080987567,Azgp1
ENSMUSG00000002985,0.967943787720554,7.9436276038386,41.7266612169232,4.40368618987578e-05,0.0468203059604107,Apoe
ENSMUSG00000076934,6.07975059116272,2.06966455759543,36.2820003894771,4.90950429504481e-05,0.0468203059604107,Iglv1
