logFC,logCPM,F,PValue,FDR,Gene_name
ENSMUSG00000069372,-3.99488740087981,2.16106559848725,77.7888997829771,1.52782875461095e-06,0.00874223613388383,Ctxn3
ENSMUSG00000024041,-3.90367046535876,0.586451593410906,44.435546830321,6.16140650675409e-06,0.0171370138562422,Cryaa
ENSMUSG00000067144,-1.39339936900202,7.82436518309821,61.1779739340883,7.00699433199774e-06,0.0171370138562422,Slc22a7
ENSMUSG00000061906,-0.987675914361393,10.4965538415935,60.8332701606518,7.20034858796051e-06,0.0171370138562422,Ugt2b38
ENSMUSG00000022445,-0.997421699259146,6.22626418251844,52.6964090383805,1.42741557896116e-05,0.0272255731427192,Cyp2d26
ENSMUSG00000003623,-0.799562078988441,9.19711719428872,43.2876600143225,3.55112027518587e-05,0.0463428207503644,Crot
ENSMUSG00000034875,-0.998759382740473,10.1921873701235,43.04127332401,3.64457695520167e-05,0.0463428207503644,Nudt19
ENSMUSG00000013611,-1.86205070981604,3.35538861022291,42.3191341932678,3.95398933259383e-05,0.0463761129654525,Snx31
ENSMUSG00000024757,-1.13432778468353,6.68891508525879,41.2415742142493,4.42288448341597e-05,0.046816320086598,Slc22a19
ENSMUSG00000036198,-4.9391321856796,0.882247983763907,30.7754505585964,4.70454107825827e-05,0.046816320086598,Arhgap36
