logFC,logCPM,F,PValue,FDR,Gene_name
ENSMUSG00000076613,7.99110652894602,4.27886637792269,91.6114104866917,2.16485745032868e-07,0.00427927098422382,Ighg2b
ENSMUSG00000095079,4.871384774091,4.9622364528056,110.207578565363,3.73931403724556e-07,0.00427927098422382,Igha
ENSMUSG00000112324,1.58140865759669,5.87305407052398,88.1001621003951,1.15906570578003e-06,0.00874223613388383,Gm47939
ENSMUSG00000073418,2.20456252940263,4.44673869092608,69.5550990782079,3.7715252037888e-06,0.0171370138562422,C4b
ENSMUSG00000096852,2.16689742795369,8.88041797053579,60.4579776722212,7.41810238273922e-06,0.0171370138562422,Cyp2d12
ENSMUSG00000112478,1.47948590870137,5.78382850300734,60.3455341349514,7.48733565896636e-06,0.0171370138562422,Gm47761
ENSMUSG00000110866,1.47449269316212,4.71583677307995,55.0431621835956,1.16287683923095e-05,0.0241962955421072,Gm48362
ENSMUSG00000076609,6.19447124173295,7.34849992597817,71.0386466158384,1.54803430215907e-05,0.027254930082936,Igkc
ENSMUSG00000067149,5.20417132885226,4.92099809017249,51.088260041519,1.78050153869995e-05,0.0291086565841174,Jchain
ENSMUSG00000076612,8.4714504488486,4.35620391393919,44.112044328323,1.98497597535356e-05,0.0302880867492615,Ighg2c
ENSMUSG00000037053,1.05768917641485,6.61782047248236,47.1996329115187,2.38749674596256e-05,0.0341531409509944,Azgp1
ENSMUSG00000002985,0.967943787720554,7.9436276038386,42.0469387846645,4.05243909170329e-05,0.0463761129654525,Apoe
ENSMUSG00000076934,6.07975059116272,2.06966455759543,36.3378503005196,4.68704213573399e-05,0.046816320086598,Iglv1
