,aligned_uniq,aligned_mult,overall_rate,time_sec
SRR9126754_hisat2_pe,73.15,5.47,89.36,368.0
SRR9126924_hisat2_pe,67.28,5.77,89.37,577.0
SRR9126950_hisat2_pe,63.78,5.68,86.64,361.0
SRR9127139_hisat2_pe,74.37,5.73,89.77,341.0
SRR9127244_hisat2_pe,73.01,4.94,90.22,154.0
SRR9127382_hisat2_pe,68.74,5.01,85.76,333.0
SRR9127568_hisat2_pe,58.31,5.92,83.53,315.0
SRR9126754_hisat2_se,78.24,11.55,89.79,174.0
SRR9126924_hisat2_se,76.77,12.79,89.56,236.0
SRR9126950_hisat2_se,73.79,13.23,87.02,164.0
SRR9127139_hisat2_se,78.54,11.48,90.02,161.0
SRR9127244_hisat2_se,81.09,11.16,92.25,69.0
SRR9127382_hisat2_se,74.52,11.65,86.16,176.0
SRR9127568_hisat2_se,69.76,13.87,83.63,149.0
SRR9126754_star_pe,79.34,6.07,85.41,261.0
SRR9126924_star_pe,73.22,6.57,79.78999999999999,347.0
SRR9126950_star_pe,70.35,6.62,76.97,240.0
SRR9127139_star_pe,80.0,6.32,86.32,223.0
SRR9127244_star_pe,81.56,6.12,87.68,121.0
SRR9127382_star_pe,75.59,5.68,81.27000000000001,215.0
SRR9127568_star_pe,65.49,6.98,72.47,217.0
SRR9126754_star_se,81.98,12.24,94.22,104.0
SRR9126924_star_se,80.45,13.86,94.31,151.0
SRR9126950_star_se,78.53,14.65,93.18,106.0
SRR9127139_star_se,82.29,12.38,94.67,98.0
SRR9127244_star_se,83.76,12.13,95.89,45.0
SRR9127382_star_se,79.97,13.13,93.1,103.0
SRR9127568_star_se,75.19,15.4,90.59,100.0
