Geneid,age3_SRR9126950,age3_SRR9127139,age3_SRR9127244,age18_SRR9126754,age18_SRR9126924,age18_SRR9127382,age18_SRR9127568
ENSMUSG00000102693,5,21,8,2,14,2,4
ENSMUSG00000064842,0,0,0,0,0,0,0
ENSMUSG00000051951,20,19,10,56,60,16,24
ENSMUSG00000102851,0,0,3,4,7,0,1
ENSMUSG00000103377,10,11,8,27,20,0,12
ENSMUSG00000104017,10,0,8,29,33,4,2
ENSMUSG00000103025,18,15,1,48,32,6,28
ENSMUSG00000089699,0,0,0,0,0,0,0
ENSMUSG00000103201,18,38,7,33,27,0,10
ENSMUSG00000103147,2,0,1,8,5,0,6
ENSMUSG00000103161,6,3,4,8,16,7,14
ENSMUSG00000102331,10,33,7,11,19,14,12
ENSMUSG00000102348,5,11,1,6,2,0,8
ENSMUSG00000102592,8,0,0,16,12,0,0
ENSMUSG00000088333,0,0,3,1,0,0,0
ENSMUSG00000142494,1,18,9,12,24,0,14
ENSMUSG00000102343,2,0,4,10,5,0,6
ENSMUSG00000133908,0,3,0,3,7,0,0
ENSMUSG00000025900,42,59,51,136,50,16,46
ENSMUSG00000102948,2,2,0,8,5,0,5
ENSMUSG00000104123,3,2,0,10,0,0,0
ENSMUSG00000135717,2,2,3,0,4,0,1
ENSMUSG00000139157,0,1,1,0,1,0,1
ENSMUSG00000025902,227,369,109,310,516,529,253
ENSMUSG00000104238,4,18,2,26,33,2,22
ENSMUSG00000102269,0,0,0,2,6,3,2
ENSMUSG00000118917,0,0,0,0,0,0,0
ENSMUSG00000103003,0,7,0,7,6,4,5
ENSMUSG00000104328,6,17,16,34,25,0,0
ENSMUSG00000131850,7,2,2,24,12,4,0
ENSMUSG00000102735,0,0,0,0,0,0,0
ENSMUSG00000098104,8,25,1,17,24,4,13
ENSMUSG00000102175,0,10,3,13,4,4,1
ENSMUSG00000135930,46,48,17,32,87,38,15
ENSMUSG00002075947,0,0,0,0,0,0,0
ENSMUSG00000103265,4,1,2,5,10,4,0
ENSMUSG00000103922,172,227,71,191,206,176,115
ENSMUSG00000033845,774,933,303,785,1164,710,500
ENSMUSG00000102275,2,6,0,2,0,3,0
ENSMUSG00000120403,21,13,0,2,20,8,9
ENSMUSG00000136002,3,27,3,12,6,12,21
ENSMUSG00000025903,16662,16720,6812,12234,15911,14117,8038
ENSMUSG00000104217,0,3,1,11,9,7,0
ENSMUSG00000137875,1,0,1,4,3,5,8
ENSMUSG00000033813,932,1074,513,860,1175,1042,500
ENSMUSG00000062588,11,19,7,17,7,9,4
ENSMUSG00000103280,11,1,0,3,12,2,2
ENSMUSG00000002459,2,1,0,7,8,0,4
ENSMUSG00000091305,0,0,0,1,2,0,0
ENSMUSG00000102653,0,4,6,0,15,2,1
ENSMUSG00000085623,0,10,4,42,8,0,5
ENSMUSG00000091665,9,0,0,22,8,0,9
ENSMUSG00000033793,3255,3979,1773,3918,4305,2985,2209
ENSMUSG00000143188,14,21,13,4,8,8,9
ENSMUSG00000104352,1,0,0,0,0,0,0
ENSMUSG00000143351,0,4,0,2,7,0,0
ENSMUSG00000104046,6,0,0,3,9,0,2
ENSMUSG00000102907,4,0,2,0,1,0,8
ENSMUSG00000025905,14,12,32,5,25,10,16
ENSMUSG00000103936,0,3,1,1,3,0,0
ENSMUSG00002076544,0,0,2,3,0,0,4
ENSMUSG00000103519,4,7,3,8,0,0,0
ENSMUSG00000033774,0,2,1,12,7,8,4
ENSMUSG00000103090,0,0,0,4,9,1,0
ENSMUSG00000090031,426,472,173,298,552,379,295
ENSMUSG00000025907,2459,2576,1140,2824,3000,2691,1745
ENSMUSG00000087247,4,1,0,3,5,0,2
ENSMUSG00000143943,12,4,2,23,10,0,4
ENSMUSG00000103355,0,0,0,5,0,0,2
ENSMUSG00000102706,0,0,0,0,4,0,2
ENSMUSG00000141243,0,0,3,6,0,0,2
ENSMUSG00000103845,7,21,8,28,26,2,10
ENSMUSG00000033740,11,26,21,36,48,13,30
ENSMUSG00000103329,0,0,8,7,4,3,4
ENSMUSG00000104385,0,0,0,1,2,0,0
ENSMUSG00000102135,1,0,0,4,8,3,0
ENSMUSG00000103282,0,3,0,5,7,0,0
ENSMUSG00000102534,0,1,2,0,7,0,0
ENSMUSG00000102213,0,0,0,1,0,0,0
ENSMUSG00000103629,0,0,0,0,0,0,1
ENSMUSG00000120372,6,11,13,32,25,17,9
ENSMUSG00000051285,2534,2756,1253,2704,3612,3448,1998
ENSMUSG00000138092,7,1,2,9,10,12,4
ENSMUSG00000098201,4,5,0,9,17,3,7
ENSMUSG00000103509,17,7,8,20,45,9,29
ENSMUSG00000126455,2,0,0,7,3,0,9
ENSMUSG00000048538,137,215,90,107,117,209,76
ENSMUSG00000103709,0,0,0,0,0,2,0
ENSMUSG00000126493,1,0,0,0,6,0,0
ENSMUSG00000144281,0,0,1,0,4,0,3
ENSMUSG00000077244,0,0,0,4,0,0,0
ENSMUSG00000097797,44,36,6,22,26,0,15
ENSMUSG00000102768,0,10,1,7,3,0,0
ENSMUSG00000103498,4,0,0,12,8,0,0
ENSMUSG00000103067,0,7,4,29,33,0,8
ENSMUSG00000102320,0,4,0,1,0,1,8
ENSMUSG00000104226,11,8,0,24,26,4,11
ENSMUSG00000103903,13,9,1,14,8,2,4
ENSMUSG00000103557,0,0,0,6,6,1,2
ENSMUSG00000132588,0,6,5,8,8,0,12
ENSMUSG00000135709,1,3,1,5,2,0,0
ENSMUSG00000135722,6,6,0,9,3,2,0
ENSMUSG00000025909,65,54,12,139,77,58,33
ENSMUSG00000102647,4,6,12,15,13,0,0
ENSMUSG00000086235,0,1,0,0,4,0,0
ENSMUSG00000123533,0,0,2,0,0,0,1
ENSMUSG00000102253,3,14,7,20,24,0,8
ENSMUSG00002074990,0,0,0,0,0,0,0
ENSMUSG00000103884,4,3,8,4,6,0,11
ENSMUSG00000084353,17,6,1,10,15,7,5
ENSMUSG00000103933,2,3,1,12,11,3,7
ENSMUSG00002075967,0,0,1,2,0,0,0
ENSMUSG00000086195,0,1,0,3,4,0,0
ENSMUSG00000104504,2,4,0,2,2,0,0
ENSMUSG00000123491,2,3,1,2,6,0,1
ENSMUSG00000066693,0,1,0,0,3,0,0
