baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name
ENSMUSG00000038079,696.019408281171,-0.769589754362669,0.17798067983864,-4.32400727461201,1.53220240249293e-05,0.00237986245212054,Tmem237
ENSMUSG00000026179,2737.89929072131,-0.554695932373785,0.114094939581898,-4.86170494858468,1.16379001787429e-06,0.000312934376096583,Pnkd
ENSMUSG00000079465,10281.9086179311,-0.648958204947206,0.148511511809603,-4.36975017653309,1.24388759994658e-05,0.00201986345531585,Col4a3
ENSMUSG00000026220,1697.21612123568,-1.0391239525998,0.191082143367512,-5.43810077847636,5.38515135975197e-08,2.49382370469106e-05,Slc16a14
ENSMUSG00000026348,3492.12345655657,-0.607766750841265,0.148928826317082,-4.08092083897365,4.48576317897808e-05,0.00569418679272614,Acmsd
ENSMUSG00000026399,367.264686014121,-0.625328749165641,0.1656882215604,-3.77412916426099,0.000160567558253951,0.0152831845240533,Cd55
ENSMUSG00000015484,672.121587038464,-0.852200382640472,0.16322472670354,-5.22102502391257,1.77935492826847e-07,6.7418679835166e-05,Fam163a
ENSMUSG00000097503,320.50608804159,-0.708842202386591,0.184957199631395,-3.8324661262133,0.000126865072082819,0.0125893446729169,3110045C21Rik
ENSMUSG00000026784,560.069485828656,-0.514164124098761,0.147840692770552,-3.47782545159431,0.000505498980778843,0.0355680621358977,Pdss1
ENSMUSG00000035000,1997.15909204752,-0.545222157061083,0.160448494938935,-3.39811325290765,0.000678523246394296,0.0441273485430405,Dpp4
ENSMUSG00000005233,423.642503574406,-0.872603369937352,0.211111290561019,-4.13338087043307,3.57465618151231e-05,0.00478029022091328,Spc25
ENSMUSG00000027463,1621.90302673792,-0.746073095045373,0.127729961457965,-5.84101871267613,5.18825758209126e-09,3.81596345162812e-06,Slc52a3
ENSMUSG00000038375,5861.98328458812,-0.543859381992461,0.134030862148955,-4.05771755305164,4.95546480993476e-05,0.00619606542510193,Trp53inp2
ENSMUSG00000074628,95.7478141192013,-1.06491941211667,0.302339790677797,-3.52226020177262,0.000427883947435093,0.0318455174806827,Tldc2
ENSMUSG00000074575,149.415572250914,-1.35162474319071,0.300366447116672,-4.49991920257889,6.79792960919086e-06,0.00124084544333603,Kcng1
ENSMUSG00000005640,706.048976543546,-1.08813079107967,0.193842899113272,-5.61346738032337,1.98312000212502e-08,1.05514642325831e-05,Insrr
ENSMUSG00000027896,2495.5670125162,-0.82600509406478,0.174618650692838,-4.7303371706712,2.24147248049923e-06,0.00051900465110967,Slc16a4
ENSMUSG00000062908,17708.4150408431,-0.657422566297546,0.113419778755545,-5.79636614980971,6.77672239208616e-09,4.84187133882568e-06,Acadm
ENSMUSG00000047583,721.187549323286,-0.793548112685972,0.174508436544421,-4.54733380459791,5.43297920953796e-06,0.00102559055532589,Tyw3
ENSMUSG00000028238,997.798796139093,-0.51723838042825,0.141593966394749,-3.65296907487036,0.000259225461469795,0.0221432173133643,Atp6v0d2
ENSMUSG00000039693,61.7974472791118,-1.40389428006848,0.41489101611321,-3.38376640019944,0.000714988071611415,0.0460817183164605,Msantd3
ENSMUSG00000028633,609.460672102146,-0.678709490589316,0.139817907803385,-4.85423863975803,1.20850137151723e-06,0.000318115724184542,Ctps1
ENSMUSG00000028655,520.472119807527,-1.19073624249032,0.292438972303942,-4.07174267201552,4.66627136723039e-05,0.00589340646870355,Mfsd2a
ENSMUSG00000139891,1908.89248363546,-0.628525205001651,0.179770844238061,-3.4962577367069,0.000471832722178874,0.033998345500445,Gm69940
ENSMUSG00000028989,237.028485390574,-1.26191188261628,0.325269392316176,-3.87959000270657,0.000104632680705227,0.010857051644795,Angptl7
ENSMUSG00000001467,5322.9660492864,-0.771045324937943,0.151125669878302,-5.1020142743377,3.36057397238524e-07,0.000109140095230439,Cyp51
ENSMUSG00000003623,13881.738725094,-0.83914684300596,0.11439370274666,-7.33560347167329,2.2072463275605e-13,3.24685934784149e-10,Crot
ENSMUSG00000002944,13555.9009423695,-0.627560256103183,0.129687384762537,-4.83902314209105,1.30478854653096e-06,0.000336379867867007,Cd36
ENSMUSG00000029098,7300.65326899214,-0.504396999916265,0.128926644637674,-3.91227896556051,9.14292087321598e-05,0.0098977065920568,Acox3
ENSMUSG00000057425,3844.87510381891,-1.08794864539856,0.194477418262839,-5.59421579696303,2.21621168764714e-08,1.13103685046923e-05,Ugt2b37
ENSMUSG00000061906,29845.6432754054,-0.991943223499941,0.136515240690413,-7.26617202946192,3.69817568941432e-13,5.13779330362133e-10,Ugt2b38
ENSMUSG00000019577,762.474441765419,-0.777553791610362,0.15476525335436,-5.02408502398161,5.05838255574145e-07,0.000154262161672471,Pdk4
ENSMUSG00000029821,1898.25488484141,-0.555559167107553,0.143827056990569,-3.86268883429897,0.000112145816550524,0.0114935673544219,Gsdme
ENSMUSG00000030042,829.543095977629,-0.507401446664804,0.14916336646973,-3.40164920297487,0.000669805547903334,0.043847715540363,Pole4
ENSMUSG00000126501,228.646058417873,-0.776621828624829,0.209218555711586,-3.71201218736748,0.000205618084014392,0.0184960123271507,Gm66744
ENSMUSG00000079262,5732.83139873365,-0.716862509959909,0.120030703944426,-5.97232613325183,2.33894362016529e-09,1.8867730035314e-06,Slco1a6
ENSMUSG00000092500,216.747669286111,-1.07720408621663,0.307536508589815,-3.50268685547633,0.000460590600384245,0.033385475779156,Gm20400
ENSMUSG00000030268,1133.73544151077,-1.14740828920145,0.173042435224599,-6.63079138774359,3.33891843485993e-11,3.63027536089314e-08,Bcat1
ENSMUSG00000002265,585.453233673454,-0.799841991863758,0.168788210796113,-4.73873138468139,2.15060362424206e-06,0.000502618175994591,Peg3
ENSMUSG00000034875,22345.6580559597,-1.02669739386932,0.139423218360855,-7.36389107883039,1.78625460832451e-13,2.97792459935807e-10,Nudt19
