baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name
ENSMUSG00000003623,13881.738725094,-0.83914684300596,0.11439370274666,-7.33560347167329,2.2072463275605e-13,3.24685934784149e-10,Crot
ENSMUSG00000061906,29845.6432754054,-0.991943223499941,0.136515240690413,-7.26617202946192,3.69817568941432e-13,5.13779330362133e-10,Ugt2b38
ENSMUSG00000030268,1133.73544151077,-1.14740828920145,0.173042435224599,-6.63079138774359,3.33891843485993e-11,3.63027536089314e-08,Bcat1
ENSMUSG00000034875,22345.6580559597,-1.02669739386932,0.139423218360855,-7.36389107883039,1.78625460832451e-13,2.97792459935807e-10,Nudt19
ENSMUSG00000013611,379.341992176307,-1.60957135150639,0.199735256069814,-8.05852398408715,7.72211727117182e-16,2.1456331844466e-12,Snx31
ENSMUSG00000022445,1752.46339087849,-0.956837157938858,0.130430902553429,-7.33596976795362,2.20121709506358e-13,3.24685934784149e-10,Cyp2d26
ENSMUSG00000022679,15322.5353940237,-0.745124070233445,0.106581970001214,-6.9910893017361,2.72760064535504e-12,3.41045546691967e-09,Mpv17l
ENSMUSG00000067144,5394.2547168585,-1.38469867609888,0.179712412724127,-7.70508088511673,1.30760442052231e-14,2.97266034036376e-11,Slc22a7
ENSMUSG00000069372,99.0644619249535,-3.66311508889676,0.386136870148936,-9.48657165912146,2.38757604296029e-21,2.9853057053154e-17,Ctxn3
ENSMUSG00000024757,2447.44375418259,-1.151501918415,0.178976424186929,-6.43381899960373,1.24437031324176e-10,1.15251734900877e-07,Slc22a19
