baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name
ENSMUSG00000025934,1042.91129942789,0.614936770665138,0.14835199340508,4.14511970180295,3.39636241850892e-05,0.00464113852457118,Gsta3
ENSMUSG00000006542,240.000766498529,1.08421081320584,0.296820351306642,3.65275092638695,0.00025944586207125,0.0221432173133643,Prkag3
ENSMUSG00000026249,773.642513198409,0.777954711409217,0.170206965705797,4.57063968083369,4.8623769626116e-06,0.000942584966697893,Serpine2
ENSMUSG00000034159,127.315760063805,1.11220671297686,0.33069908794159,3.36319861025232,0.000770449125091977,0.0485305321692067,Mab21l4
ENSMUSG00000026417,2689.87059585726,1.25512539288961,0.133689163795081,9.38838539534487,6.09270318371472e-21,5.07867428383846e-17,Pigr
ENSMUSG00000042474,16.022974003245,3.13097971085389,0.862511380338314,3.6300735065383,0.000283340518436421,0.0235398549652478,Fcmr
ENSMUSG00000041801,341.510847397264,1.38785813711808,0.237368124328075,5.84685977128028,5.00939447868419e-09,3.7960584160138e-06,Phlda3
ENSMUSG00000041642,48.4521573472217,1.90432237011365,0.485316949937399,3.92387360540217,8.71364639723768e-05,0.00947400675894447,Kif21b
ENSMUSG00000056708,444.692709991401,0.797729340354471,0.171267830592866,4.65778855020834,3.19624251362686e-06,0.000695029882941451,Ier5
ENSMUSG00000026692,850.328223886884,0.541324949760844,0.144090688790853,3.7568350481451,0.000172075837849161,0.0161164811876178,Fmo4
ENSMUSG00000026822,113.275897389292,1.14725053802147,0.297412649279203,3.85743693417847,0.000114582230108929,0.0116953380748326,Lcn2
ENSMUSG00000023224,1886.50173088585,0.53167482987198,0.150442956620846,3.53406262289788,0.000409224108122593,0.0307918066711905,Serping1
ENSMUSG00000027249,100.596599130773,2.12846778180027,0.383879361725819,5.54462676042612,2.94581861330661e-08,1.41665550121074e-05,F2
ENSMUSG00000074934,24.5304388092639,2.82723752209806,0.726088706577559,3.89379079510041,9.86897696531076e-05,0.0104573519903189,Grem1
ENSMUSG00000023236,162.85765242083,0.793378815781724,0.233499743626082,3.39777167829448,0.000679370943698588,0.0441273485430405,Scg5
ENSMUSG00000017002,41.8467601228002,2.89204800327229,0.615474552400686,4.69889127339502,2.61577656047289e-06,0.000589303823853564,Slpi
ENSMUSG00000017754,281.931624276243,0.924036251214094,0.229733198856217,4.02221470738507,5.7653465806891e-05,0.0070722616397321,Pltp
ENSMUSG00000039710,271.541406349282,2.25237660274389,0.592483623201409,3.80158457473215,0.000143773644772444,0.014099402097351,Slc7a12
ENSMUSG00000100252,30.1219810480911,2.02462301185031,0.599669704924107,3.37623027347454,0.000734863864803978,0.0468794404774313,Mir124-2hg
ENSMUSG00000102758,226.978593925874,1.02374626510782,0.282732678177866,3.62089826936731,0.000293581943797461,0.0242297150777,Naaladl2
ENSMUSG00000027663,468.662568130045,0.820740097243948,0.158668584379857,5.17266918622703,2.30773380590153e-07,8.12809849072952e-05,Zmat3
ENSMUSG00000033860,225.364677297902,1.09100622153943,0.298288410711822,3.65755484410508,0.000254632786554138,0.0219572485977908,Fgg
ENSMUSG00000028071,32.3847239559306,2.44458627229315,0.572778614903936,4.26794263731921,1.97284039408842e-05,0.00297197709246801,Sh2d2a
ENSMUSG00000074489,60.7312457990911,1.38753070766878,0.396944506545749,3.49552817783829,0.000473124494507732,0.033998345500445,Bglap3
ENSMUSG00000102439,83.4383438235315,1.42003920101884,0.358192488893357,3.96445834307157,7.35627909229678e-05,0.0083617486936848,Flg
ENSMUSG00000038642,428.294884648041,1.00080905837786,0.250825967882029,3.99005360899703,6.60583630000928e-05,0.00774084091764743,Ctss
ENSMUSG00000027875,733.540639113476,1.23987765481574,0.249734320617157,4.96478678521913,6.87765864538037e-07,0.000202340717347091,Hmgcs2
ENSMUSG00000027870,9335.60064865826,1.08394594462029,0.211367018720738,5.12826433935,2.92425652256937e-07,9.88201119728274e-05,Hao2
ENSMUSG00000104350,11.1958512956192,4.73067128932545,1.27527792809179,3.70952181098595,0.000207651069146725,0.018611936509506,Gm38244
ENSMUSG00000040747,170.893615013803,1.08960490133236,0.298487994044817,3.65041449931402,0.000261817454043614,0.0222696226981927,Cd53
ENSMUSG00000027962,614.603788856373,0.872478904154455,0.191226413789685,4.56254388117128,5.05375266865986e-06,0.000972147638347516,Vcam1
ENSMUSG00000050315,207.239849600264,0.786459765488374,0.21858870440748,3.59789755660157,0.000320799918542841,0.0261310865244326,Synpo2
ENSMUSG00000040183,160.00827257101,1.08162903960681,0.267087563022077,4.04971698183268,5.12796121062893e-05,0.00637984706438794,Ankrd6
ENSMUSG00000039158,224.505265746562,0.971933269326424,0.231024407172135,4.20705881782543,2.58715822268683e-05,0.00365520145054969,Akna
ENSMUSG00000034926,1963.72768454104,0.505989376017455,0.13265185544689,3.81441612190669,0.000136505289871582,0.0134924418332753,Dhcr24
ENSMUSG00000034919,183.942015314594,0.805895945732173,0.234115941130812,3.44229419765089,0.000576802571617344,0.0393027299957355,Ttc22
ENSMUSG00000078597,634.10442969671,1.02303809727107,0.177838805679188,5.75261452844314,8.78736972656791e-09,5.93907445276442e-06,Cyp4a12b
ENSMUSG00000028715,408.564418644154,1.19327922013369,0.307170097647804,3.88475059672601,0.000102434987833526,0.0107179570742803,Cyp4a14
ENSMUSG00000028581,719.898848048352,0.727658788107304,0.196676070314271,3.69978303382089,0.000215783866863761,0.0191351317683052,Laptm5
ENSMUSG00000056529,45.6906912479679,1.91553487369789,0.50885685869985,3.76438843448463,0.00016695718741007,0.0156958585923444,Ptafr
ENSMUSG00000036905,615.574304619381,1.09467179739976,0.23904920763956,4.57927390016834,4.66592860309856e-06,0.000918747059666817,C1qb
ENSMUSG00000036896,377.326419738496,0.89301687470053,0.252583913535081,3.53552552972262,0.000406964919341155,0.0307461381811609,C1qc
