baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name
ENSMUSG00000026417,2689.87059585726,1.25512539288961,0.133689163795081,9.38838539534487,6.09270318371472e-21,5.07867428383846e-17,Pigr
ENSMUSG00000067149,606.941141500013,4.94793865304731,0.796084649128603,6.21534237403439,5.12128605128511e-10,4.26893334281622e-07,Jchain
ENSMUSG00000037053,2324.36722272854,1.08575235939488,0.130029191817611,8.35006619834909,6.82247176521558e-17,2.13261939290933e-13,Azgp1
ENSMUSG00000009281,365.097053882913,1.37986341539675,0.211602344418668,6.5210213959946,6.98302218708636e-11,6.98497743329875e-08,Rarres2
ENSMUSG00000093861,43.6400422701394,5.60581816027321,0.882443622672099,6.35260770914567,2.11695096418983e-10,1.89066402719626e-07,Igkv1-110
ENSMUSG00000076569,54.272508120739,5.88706485437866,0.896638459180838,6.56570638265621,5.17867713543524e-11,5.39596579690954e-08,Igkv5-39
ENSMUSG00000076609,361.573593846711,6.31353230873036,0.813119034123549,7.76458555731097,8.19126242557505e-15,2.04838899476355e-11,Igkc
ENSMUSG00000002985,5868.03687070444,0.951254931859205,0.123941735426952,7.67501704395488,1.65396658064816e-14,3.44672852352238e-11,Apoe
ENSMUSG00000095079,673.490015660671,4.89799809262431,0.541249472111223,9.0494279348097,1.43719285615106e-19,8.9849704384424e-16,Igha
ENSMUSG00000076612,449.191419036146,7.99177850559814,1.15576096937207,6.91473299184009,4.68745410804064e-12,5.58186499427488e-09,Ighg2c
ENSMUSG00000076613,307.619863656886,7.81925252567248,0.87836352195974,8.9020688247922,5.48152606986344e-19,2.7415304485815e-15,Ighg2b
ENSMUSG00000076615,86.9413423587943,9.46778526756776,1.27536637070688,7.4235807725745,1.13995594480571e-13,2.03620559369689e-10,Ighg3
ENSMUSG00000076617,4156.03817166741,5.40373827018464,0.745982698928846,7.24378498046114,4.36332991152556e-13,5.74283111039578e-10,Ighm
ENSMUSG00000113495,53.4706793824809,6.45906015050849,0.965418598064358,6.69042440601284,2.22524286011136e-11,2.52939310012749e-08,Gm19792
ENSMUSG00000105906,114.123567860645,4.55377174458878,0.529395318691123,8.60183606429978,7.84507993166134e-18,3.26969856418425e-14,Iglc1
ENSMUSG00000076934,117.733116634193,4.81012047316772,0.572596728006842,8.40053782687743,4.44438346294641e-17,1.58772424654144e-13,Iglv1
ENSMUSG00000073418,413.304041270137,2.22853602469635,0.216759578240382,10.2811420966364,8.57059028367362e-25,2.14324751223826e-20,C4b
ENSMUSG00000053279,272.02050679601,1.89233876866077,0.250750200177854,7.54670890519154,4.46394796778285e-14,8.58691898694967e-11,Aldh1a1
ENSMUSG00000024747,312.454789482465,1.63649532780711,0.260980245347481,6.27057165046422,3.59724968650912e-10,3.10194561760461e-07,Aldh1a7
ENSMUSG00000055653,876.97746485099,1.1372730425549,0.176041298388472,6.46026275064882,1.04521340364997e-10,1.00529429173365e-07,Gpc3
