,baseMean,log2FoldChange,lfcSE,stat,pvalue,adj_pvalue,Gene_name
ENSMUSG00000038079,696.0790749453554,-0.7746753370193425,0.18172056323518931,-4.2630031694141834,2.0169765655616294e-05,0.0030638245253561927,Tmem237
ENSMUSG00000026179,2736.3506465557616,-0.5613604321859633,0.11815672519028007,-4.750981641391518,2.0243151269430952e-06,0.000491392573952069,Pnkd
ENSMUSG00000079465,10270.679886903547,-0.6570547271367915,0.14798792721321494,-4.4399211443115485,8.999184597386466e-06,0.0015831080509125654,Col4a3
ENSMUSG00000026220,1697.9780985235993,-1.0430353878229162,0.19518983523257846,-5.34369726056732,9.106962112090156e-08,4.099788761733677e-05,Slc16a14
ENSMUSG00000026348,3489.751848138297,-0.6131523899544226,0.15123532570035578,-4.054293447083046,5.028606005498155e-05,0.006288297206875471,Acmsd
ENSMUSG00000026399,367.0567498843058,-0.6319805838421632,0.1676176678415946,-3.770369746698839,0.00016300586241502058,0.015320141343907464,Cd55
ENSMUSG00000015484,672.061518908964,-0.858963435571282,0.16617356826227778,-5.169073785642905,2.3525700849686617e-07,8.441976130988995e-05,Fam163a
ENSMUSG00000097503,320.2963900658636,-0.7164305402728327,0.18515109188523474,-3.8694372956596426,0.0001090868317032917,0.011308764568883292,3110045C21Rik
ENSMUSG00000026784,559.721165365272,-0.5205213163145685,0.1505602446794695,-3.4572294792872853,0.0005457598871232097,0.037851582087312804,Pdss1
ENSMUSG00000005233,423.6509525123335,-0.8778471942655947,0.21298305977521004,-4.121676133266684,3.761257346440256e-05,0.004921990559678202,Spc25
ENSMUSG00000027463,1621.6167788470812,-0.7524530775248078,0.13270098329294525,-5.670290142942824,1.425558900871731e-08,8.824209596396016e-06,Slc52a3
ENSMUSG00000038375,5860.511203234554,-0.5491582930860762,0.13934423551214964,-3.9410190961088896,8.113616594431808e-05,0.009049240850366286,Trp53inp2
ENSMUSG00000074628,95.75290520176635,-1.0708187153297957,0.30164431534297526,-3.549938324255356,0.0003853214130533558,0.029907705915990877,Tldc2
ENSMUSG00000074575,149.49789074985847,-1.359514471445395,0.2990884151102588,-4.545527017300923,5.479796726836234e-06,0.0010517811391974044,Kcng1
ENSMUSG00000039519,3809.252945389691,-0.6514782322608664,0.19365615297977884,-3.3640977693535636,0.00076794333418247,0.049132498590072245,Cyp7b1
ENSMUSG00000005640,706.0906414307203,-1.09176337054166,0.19677812086623395,-5.548194919921103,2.886339899863553e-08,1.4293155184124315e-05,Insrr
ENSMUSG00000027896,2495.4952548982133,-0.8303993770161953,0.178268963192392,-4.658126474432955,3.1910015697339207e-06,0.0006991964501470078,Slc16a4
ENSMUSG00000062908,17701.142736754922,-0.6635991801208142,0.11826517817590997,-5.611112166370423,2.010304034720139e-08,1.0820679978189269e-05,Acadm
ENSMUSG00000047583,721.3223123294417,-0.7982179025168817,0.1788861904148529,-4.4621549638110345,8.113951237600937e-06,0.0014772164164926413,Tyw3
ENSMUSG00000028238,997.0237130432619,-0.5237200476810111,0.1434437927255855,-3.651047129539522,0.0002611733034873856,0.022146065049135844,Atp6v0d2
ENSMUSG00000039693,61.82828312678826,-1.408928104155111,0.4119080714493548,-3.4204916140574886,0.0006250806287503311,0.04194307958769159,Msantd3
ENSMUSG00000028633,609.1665892259401,-0.685229246534383,0.14293160196242852,-4.79410597185152,1.6340188643611333e-06,0.0004124460956008024,Ctps1
ENSMUSG00000028655,520.4337623425865,-1.2009832375394152,0.29022615256757683,-4.138094471895588,3.50202181076377e-05,0.004790611051630439,Mfsd2a
ENSMUSG00000139891,1907.6732294576502,-0.6333939691115266,0.18140798311341833,-3.491544077834334,0.0004802372195509085,0.034366108543585246,Gm69940
ENSMUSG00000028989,237.3028685931509,-1.2667401224040342,0.324845852305342,-3.8995114557083816,9.63869770534412e-05,0.010308222068119722,Angptl7
ENSMUSG00000001467,5321.392431578973,-0.7767691009759368,0.15445225392243525,-5.0291859215342,4.925666087652092e-07,0.00016047301622403395,Cyp51
ENSMUSG00000003623,13879.523894334294,-0.8457069795307893,0.11974479780890374,-7.062578041013703,1.6344146638511096e-12,2.1299003724712356e-09,Crot
ENSMUSG00000002944,13546.967537017063,-0.6338476170977742,0.13226482421792712,-4.7922614409815445,1.6491180720710596e-06,0.0004124460956008024,Cd36
ENSMUSG00000029098,7299.6409529717785,-0.5098446179089664,0.13530076820116418,-3.768231508862782,0.00016440819205168575,0.015361308812074488,Acox3
ENSMUSG00000057425,3844.1720479255296,-1.0920552998718862,0.19671175749511072,-5.5515507246638744,2.8314652874508824e-08,1.4293155184124315e-05,Ugt2b37
ENSMUSG00000061906,29837.03035053296,-0.9984574367931477,0.13932195734488506,-7.166547583892412,7.691267432005343e-13,1.1202104800967781e-09,Ugt2b38
ENSMUSG00000019577,762.2554708602405,-0.7827212761887843,0.158350496291104,-4.942966991084554,7.694251536511471e-07,0.00022679722386193338,Pdk4
ENSMUSG00000029821,1896.1686729024968,-0.5629989986240042,0.14353252946383516,-3.922448804651345,8.765352219386193e-05,0.009645783153422318,Gsdme
ENSMUSG00000030042,829.2226586828185,-0.5139861969094454,0.15275110853684798,-3.364860666693342,0.0007658232152921274,0.04912378966485253,Pole4
ENSMUSG00000126501,228.56356591067873,-0.783124140118979,0.21012899780619562,-3.726873245934687,0.0001938698934268638,0.01777858726388573,Gm66744
ENSMUSG00000079262,5730.681745939129,-0.7229779776879508,0.12447531133341759,-5.808203811207136,6.314661906871299e-09,4.737909964064647e-06,Slco1a6
ENSMUSG00000092500,216.81793790787756,-1.0852932915048594,0.3058684054952326,-3.5482360126331365,0.0003878205427928291,0.03000761449859515,Gm20400
ENSMUSG00000030268,1134.3254140919987,-1.1526779966509322,0.17761218164134526,-6.489858893679663,8.591680488144892e-11,8.509200355458702e-08,Bcat1
ENSMUSG00000002265,585.2136315348434,-0.8061458915334019,0.1705698284233513,-4.7261927797251575,2.287684757202265e-06,0.0005394578532221722,Peg3
ENSMUSG00000108624,8.866874089070405,-3.8105332553833104,1.111722569771192,-3.4275936811893377,0.0006089561534129277,0.04119605015984724,Gm45091
