,baseMean,log2FoldChange,lfcSE,stat,pvalue,adj_pvalue,Gene_name
ENSMUSG00000003623,13879.523894334294,-0.8457069795307893,0.11974479780890374,-7.062578041013703,1.6344146638511096e-12,2.1299003724712356e-09,Crot
ENSMUSG00000061906,29837.03035053296,-0.9984574367931477,0.13932195734488506,-7.166547583892412,7.691267432005343e-13,1.1202104800967781e-09,Ugt2b38
ENSMUSG00000030268,1134.3254140919987,-1.1526779966509322,0.17761218164134526,-6.489858893679663,8.591680488144892e-11,8.509200355458702e-08,Bcat1
ENSMUSG00000034875,22350.43768014962,-1.0316865872031198,0.14527570620180366,-7.10157681677345,1.2334142172542613e-12,1.696629778845306e-09,Nudt19
ENSMUSG00000013611,379.32031389324857,-1.616774546182017,0.19925446363475358,-8.114119587030533,4.893193531248624e-16,1.5144433979214491e-12,Snx31
ENSMUSG00000022445,1751.4140246942459,-0.9636058655632691,0.13143569392004334,-7.331386450848445,2.277837754385436e-13,4.028518771327385e-10,Cyp2d26
ENSMUSG00000022679,15319.536194930693,-0.7511466168729568,0.11333755094016278,-6.6275176289059665,3.413788782306173e-11,3.8420641022682204e-08,Mpv17l
ENSMUSG00000067144,5393.981322578037,-1.392780203755504,0.18042936001348509,-7.719254802275024,1.1701178239359581e-14,2.6338288473322114e-11,Slc22a7
ENSMUSG00000069372,99.17443886900529,-3.672531778931321,0.38168522301635255,-9.6218861969775,6.463488723801048e-22,8.001799040065697e-18,Ctxn3
ENSMUSG00000024757,2446.3563228453554,-1.1591319739194783,0.17913311827769077,-6.470785441933752,9.749479054202914e-11,9.28450389931016e-08,Slc22a19
