Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,adj_pvalue,Gene_name
ENSMUSG00000073418,412.6765067343892,2.2228093138849214,0.21900071257511078,10.149781193623118,3.321071798194117e-24,8.222973772328633e-20,C4b
ENSMUSG00000069372,99.17443886900529,-3.672531778931321,0.38168522301635255,-9.6218861969775,6.463488723801048e-22,8.001799040065697e-18,Ctxn3
ENSMUSG00000095079,670.8863089423094,4.892790027330915,0.5373371131122536,9.105624584521813,8.577147928687708e-20,7.079006090476922e-16,Igha
ENSMUSG00000026417,2686.238640337819,1.2497434493533983,0.13868644580403142,9.011287599938408,2.036511911909962e-19,1.2606008734722664e-15,Pigr
ENSMUSG00000076613,306.1865266205755,7.807467591649017,0.8758395468313422,8.914267025159207,4.910536070839484e-19,2.4316974622797123e-15,Ighg2b
ENSMUSG00000105906,113.55838348528007,4.546621544716106,0.5231080000332528,8.69155421906583,3.575144481638599e-18,1.4753429560895286e-14,Iglc1
ENSMUSG00000076934,117.10652358634891,4.802825608361134,0.5660488926152587,8.48482466977565,2.1604423513602506e-17,7.641793231382829e-14,Iglv1
ENSMUSG00000013611,379.32031389324857,-1.616774546182017,0.19925446363475358,-8.114119587030533,4.893193531248624e-16,1.5144433979214491e-12,Snx31
ENSMUSG00000037053,2321.1033881365765,1.0800258382736532,0.13479340888814487,8.01245288758805,1.1244291715774226e-15,3.093429587584109e-12,Azgp1
ENSMUSG00000076609,359.99420147054894,6.306902490256349,0.8105721133398874,7.780803689716564,7.206524884300356e-15,1.784335561352768e-11,Igkc
ENSMUSG00000067144,5393.981322578037,-1.392780203755504,0.18042936001348509,-7.719254802275024,1.1701178239359581e-14,2.6338288473322114e-11,Slc22a7
ENSMUSG00000053279,271.62915726955345,1.8879932513246231,0.2511318115730288,7.51793745084978,5.564711176409151e-14,1.1481854060657549e-10,Aldh1a1
ENSMUSG00000076615,86.48728449165289,9.45829679219407,1.272032331949513,7.43557891936466,1.0411098755411225e-13,1.9829138860306303e-10,Ighg3
ENSMUSG00000022445,1751.4140246942459,-0.9636058655632691,0.13143569392004334,-7.331386450848445,2.277837754385436e-13,4.028518771327385e-10,Cyp2d26
ENSMUSG00000002985,5860.41346490313,0.9453272631708131,0.12944031199837253,7.3031905484181685,2.81022751185275e-13,4.6387488795649397e-10,Apoe
ENSMUSG00000076617,4141.494995424978,5.3966493254565275,0.7451508257198893,7.2423583779066885,4.409487959210898e-13,6.823682616878864e-10,Ighm
ENSMUSG00000061906,29837.03035053296,-0.9984574367931477,0.13932195734488506,-7.166547583892412,7.691267432005343e-13,1.1202104800967781e-09,Ugt2b38
ENSMUSG00000034875,22350.43768014962,-1.0316865872031198,0.14527570620180366,-7.10157681677345,1.2334142172542613e-12,1.696629778845306e-09,Nudt19
ENSMUSG00000003623,13879.523894334294,-0.8457069795307893,0.11974479780890374,-7.062578041013703,1.6344146638511096e-12,2.1299003724712356e-09,Crot
ENSMUSG00000076612,447.1631694203366,7.979643438019636,1.154752388708263,6.910263634047018,4.837538382292293e-12,5.988872517277858e-09,Ighg2c
ENSMUSG00000113495,53.296178446408916,6.448569346889871,0.9617676076068878,6.704914259834018,2.0152465957438202e-11,2.3760717005055707e-08,Gm19792
ENSMUSG00000022679,15319.536194930693,-0.7511466168729568,0.11333755094016278,-6.6275176289059665,3.413788782306173e-11,3.8420641022682204e-08,Mpv17l
ENSMUSG00000076569,53.9426550846179,5.879129525252114,0.8903481991006473,6.603180116712429,4.0243010026843246e-11,4.3322475141940817e-08,Igkv5-39
ENSMUSG00000009281,364.1239640174312,1.3709610180891523,0.2105636337578187,6.51091070961462,7.469653787979004e-11,7.70619282459834e-08,Rarres2
ENSMUSG00000030268,1134.3254140919987,-1.1526779966509322,0.17761218164134526,-6.489858893679663,8.591680488144892e-11,8.509200355458702e-08,Bcat1
ENSMUSG00000024757,2446.3563228453554,-1.1591319739194783,0.17913311827769077,-6.470785441933752,9.749479054202914e-11,9.28450389931016e-08,Slc22a19
ENSMUSG00000093861,43.37527138463514,5.596848655183304,0.8769652491137306,6.382064352994068,1.7471650769907052e-10,1.6022150854181432e-07,Igkv1-110
ENSMUSG00000055653,875.985981322464,1.1318122985687342,0.17950537368412114,6.305172237129819,2.878735865902106e-10,2.5456250014191475e-07,Gpc3
ENSMUSG00000067149,604.6069124817681,4.94375604274245,0.7932360738647036,6.232389329769274,4.5937406026167846e-10,3.9221040455445376e-07,Jchain
ENSMUSG00000024747,312.1239805030786,1.6304411030352168,0.26211409975416955,6.220348712886365,4.960511643899424e-10,4.0940756100983247e-07,Aldh1a7
ENSMUSG00000094088,41.96688158849516,3.5265319690539476,0.5908953050811289,5.968116413735528,2.4000810978075083e-09,1.9169679994101262e-06,Ighv1-64
ENSMUSG00000041801,340.8074498211519,1.3794744603358398,0.23733073686637246,5.81245597831074,6.156287612798987e-09,4.737909964064647e-06,Phlda3
ENSMUSG00000079262,5730.681745939129,-0.7229779776879508,0.12447531133341759,-5.808203811207136,6.314661906871299e-09,4.737909964064647e-06,Slco1a6
ENSMUSG00000094335,31.128184824945425,4.275159307771835,0.7390201159459491,5.784902488479101,7.255440463428175e-09,5.283667819837695e-06,Igkv1-117
ENSMUSG00000096852,10549.9928956154,2.088574767257429,0.3638262948642213,5.740582241415173,9.435158563671572e-09,6.301956157837031e-06,Cyp2d12
ENSMUSG00000076577,50.080225829649784,4.427259566906544,0.7717855361554773,5.736385769756984,9.671822859362164e-09,6.301956157837031e-06,Igkv8-30
ENSMUSG00000076556,25.446330056578116,7.6825370723560455,1.3377816728385878,5.7427435495171375,9.31547540042892e-09,6.301956157837031e-06,Igkv4-57
ENSMUSG00000076614,217.61980570014367,6.557243612262272,1.1419304728444843,5.742244180531016,9.342996333461279e-09,6.301956157837031e-06,Ighg1
ENSMUSG00000054385,646.7140735505643,1.2357947441275658,0.21780148875745464,5.673949940276836,1.395419247939874e-08,8.824209596396016e-06,Ceacam2
ENSMUSG00000027463,1621.6167788470812,-0.7524530775248078,0.13270098329294525,-5.670290142942824,1.425558900871731e-08,8.824209596396016e-06,Slc52a3
ENSMUSG00000030798,65.54420029775626,2.320233671655207,0.4101883391484262,5.656508121298965,1.5448367223339396e-08,9.329306645119107e-06,Cd37
ENSMUSG00000052562,6075.851148438677,-0.6913198465139748,0.12239166659137708,-5.648422525547018,1.6192679633363038e-08,9.545970183858782e-06,Slc22a30
ENSMUSG00000078597,633.1316417348569,1.0160974708777661,0.18024568605577337,5.6372914831556935,1.7274557883899334e-08,9.826142457766922e-06,Cyp4a12b
ENSMUSG00000062991,625.7969497529185,1.0550615369960883,0.18721916427361013,5.63543556606297,1.7461642493608423e-08,9.826142457766922e-06,Nrg1
ENSMUSG00000076604,26.758042923070906,7.764846783000931,1.3822192969834757,5.617666313838012,1.93553836635436e-08,1.0649762211318658e-05,Igkj1
ENSMUSG00000062908,17701.142736754922,-0.6635991801208142,0.11826517817590997,-5.611112166370423,2.010304034720139e-08,1.0820679978189269e-05,Acadm
ENSMUSG00000061808,583.6155364470932,-1.6099630440918349,0.2881860990353067,-5.586539564125863,2.31638795125321e-08,1.2202928866602017e-05,Ttr
ENSMUSG00000027249,100.31302773796008,2.1191781148132627,0.3803769067952349,5.571258604177204,2.5290560169048225e-08,1.3045713953867377e-05,F2
