,baseMean,log2FoldChange,lfcSE,stat,pvalue,adj_pvalue,Gene_name
ENSMUSG00000025934,1041.1375224135643,0.6077343969769515,0.14978519584219693,4.057372916995198,4.962780571902197e-05,0.00623748461727403,Gsta3
ENSMUSG00000006542,240.0592988350052,1.08065694325898,0.2979900444359512,3.6264867348320164,0.0002873035714118252,0.023712121427189304,Prkag3
ENSMUSG00000026249,773.151798297669,0.7729603124843423,0.17510474384181166,4.414273968400473,1.0134954433349614e-05,0.0017070848419709964,Serpine2
ENSMUSG00000026417,2686.238640337819,1.2497434493533983,0.13868644580403142,9.011287599938408,2.036511911909962e-19,1.2606008734722664e-15,Pigr
ENSMUSG00000042474,15.99260099789215,3.13077329231122,0.8546129618189806,3.663381474635723,0.0002489074188662835,0.021624377863611155,Fcmr
ENSMUSG00000041801,340.8074498211519,1.3794744603358398,0.23733073686637246,5.81245597831074,6.156287612798987e-09,4.737909964064647e-06,Phlda3
ENSMUSG00000041642,48.29891733516761,1.8980848215928907,0.4799374425942327,3.9548588068750514,7.657986362158051e-05,0.00869778634527676,Kif21b
ENSMUSG00000056708,443.90223445091186,0.7906362920520907,0.17231532517630785,4.588310942414063,4.4684672758530355e-06,0.0008851139980009693,Ier5
ENSMUSG00000026692,849.2514984304771,0.5350477354219377,0.14738449924252886,3.6302849904282595,0.000283108454693904,0.023522702477251894,Fmo4
ENSMUSG00000026822,113.15608876211175,1.1407956151412648,0.29781162189888427,3.830594682193424,0.00012783393091627337,0.012866537111735481,Lcn2
ENSMUSG00000023224,1884.5958780132182,0.5262811301104767,0.15432099360240945,3.4103015916705437,0.0006489107918289005,0.04304314273788304,Serping1
ENSMUSG00000027249,100.31302773796008,2.1191781148132627,0.3803769067952349,5.571258604177204,2.5290560169048225e-08,1.3045713953867377e-05,F2
ENSMUSG00000074934,24.44203975999064,2.8149081954997994,0.716793945408897,3.927081434670919,8.598287527199009e-05,0.009504178534528904,Grem1
ENSMUSG00000017002,41.654921341134646,2.881180887046161,0.6083163313273289,4.73632013258547,2.1763371693492747e-06,0.0005181356568566158,Slpi
ENSMUSG00000017754,281.6645494731701,0.9180065987716086,0.23159394198852853,3.9638627456718187,7.37466638064241e-05,0.008481707529206217,Pltp
ENSMUSG00000039710,271.1856444503099,2.2479519742879153,0.5924023620597567,3.7946370883328115,0.00014785956882010652,0.014189933813898594,Slc7a12
ENSMUSG00000100252,30.082998934060065,2.0175702329220546,0.5945486041741521,3.393448775688452,0.0006901846539302421,0.04532883827934429,Mir124-2hg
ENSMUSG00000102758,226.39543870968402,1.0161972507550723,0.2798679869103422,3.6309878166973726,0.00028233851394452754,0.023522702477251894,Naaladl2
ENSMUSG00000027663,467.86609882051596,0.8138999783655045,0.16041642616784976,5.0736698093117365,3.902159310894339e-07,0.00013419092296908865,Zmat3
ENSMUSG00000056023,25.420132617094758,2.35787651283474,0.7018576394965887,3.3594797294305154,0.0007808937984529788,0.04983229497344267,Gm9989
ENSMUSG00000033860,224.63848192418396,1.0833367379373577,0.2940160407836292,3.6846178019742855,0.00022904607424355136,0.020110570206632383,Fgg
ENSMUSG00000028071,32.29958985000659,2.4353985630624724,0.5676453581328272,4.290352291566871,1.7838990431870623e-05,0.002777945931403249,Sh2d2a
ENSMUSG00000074489,60.5437298421844,1.3782644619196995,0.3928354126283996,3.508503606377923,0.0004506351246837366,0.03310897830020569,Bglap3
ENSMUSG00000102439,83.28539193363136,1.4161218316815223,0.3554872635357899,3.983607788353152,6.78768633185932e-05,0.007965076472835866,Flg
ENSMUSG00000038642,427.6583494797127,0.9946167826386736,0.25066692537721746,3.967882005740962,7.251421903842727e-05,0.008389962913044202,Ctss
ENSMUSG00000027875,731.8028448426973,1.2315632078855672,0.248819999334573,4.9496150276471935,7.436041927487048e-07,0.00022182698569226425,Hmgcs2
ENSMUSG00000027870,9328.081130417424,1.0803096337192888,0.21400204731050324,5.048127563713579,4.4616121662172243e-07,0.00014928313139937632,Hao2
ENSMUSG00000104350,11.143458910057692,4.720150442995426,1.269252085914524,3.7188439517863423,0.00020013663803632192,0.018285546707672806,Gm38244
ENSMUSG00000040747,170.5164353744201,1.081850581212295,0.2961617188632141,3.6529048567278233,0.00025929032434668066,0.02206195337052857,Cd53
ENSMUSG00000027962,614.2457944367961,0.8675654816108751,0.19522856073934447,4.443845092774043,8.836523836556346e-06,0.0015831080509125654,Vcam1
ENSMUSG00000050315,206.82491570245207,0.7781507234980255,0.2180596985294737,3.5685215046412986,0.00035900139193381793,0.028040613451991582,Synpo2
ENSMUSG00000040183,159.65736234230954,1.0746955342939397,0.26539692266800996,4.04938958406197,5.135139878713066e-05,0.006361446010249036,Ankrd6
ENSMUSG00000039158,224.33251132230257,0.9664058649904568,0.23353879055793678,4.138095699997679,3.5020030702329046e-05,0.004790611051630439,Akna
ENSMUSG00000034919,183.54595703350012,0.7980960338310549,0.23280995706639962,3.4281009450271505,0.0006078194055655928,0.04119605015984724,Ttc22
ENSMUSG00000078597,633.1316417348569,1.0160974708777661,0.18024568605577337,5.6372914831556935,1.7274557883899334e-08,9.826142457766922e-06,Cyp4a12b
ENSMUSG00000028715,408.0654515748018,1.1864517510192962,0.30625103851037627,3.874115029259231,0.00010701286081181876,0.011179909002956255,Cyp4a14
ENSMUSG00000028581,718.7841465854657,0.7217497878166269,0.1974557057248598,3.6552490856978976,0.000256932394502654,0.02203116583009303,Laptm5
ENSMUSG00000056529,45.5208231536907,1.9101768314336822,0.501972448301258,3.8053419822103316,0.00014160839740649719,0.013858592568319644,Ptafr
ENSMUSG00000036905,614.1971640762152,1.0872887180104618,0.23807799363395737,4.5669433844530705,4.948876046649957e-06,0.0009648359914571097,C1qb
ENSMUSG00000036896,376.8316334278133,0.8870062374677843,0.25257905803635045,3.511796442522677,0.0004450887656226408,0.03279880308576365,C1qc
ENSMUSG00000036887,564.8232412360338,1.2434003346187248,0.22508591161244035,5.524114440177174,3.31151574921905e-08,1.60770843040517e-05,C1qa
ENSMUSG00000039911,186.22231656502922,0.9067258382810675,0.24987970200215254,3.6286494301696286,0.0002849078210514039,0.023593035616163077,Spsb1
ENSMUSG00000028970,123.27657422560368,1.3208249848204794,0.2981766717356257,4.429672439269733,9.437632488113742e-06,0.0016456040873640582,Abcb1b
ENSMUSG00000029204,28.838117131042242,2.1804840166845536,0.5976717561755639,3.6482969023619787,0.00026398446687712906,0.022308038907432475,Rhoh
ENSMUSG00000067149,604.6069124817681,4.94375604274245,0.7932360738647036,6.232389329769274,4.5937406026167846e-10,3.9221040455445376e-07,Jchain
ENSMUSG00000023078,16.120431425537557,3.131776824404045,0.8426574916805286,3.7165477733524686,0.00020196346702403125,0.018317272686868183,Cxcl13
ENSMUSG00000048163,127.71454232070438,1.348814885623413,0.316886166519993,4.256465027918199,2.0768450544509424e-05,0.0031355294846466667,Selplg
ENSMUSG00000046245,25.044572426282237,2.4088049840158017,0.6791669176869162,3.5467054140676177,0.00039008050864678507,0.030088452941104044,Pilra
ENSMUSG00000037053,2321.1033881365765,1.0800258382736532,0.13479340888814487,8.01245288758805,1.1244291715774226e-15,3.093429587584109e-12,Azgp1
ENSMUSG00000029826,535.1508872335634,0.7049125706005615,0.19290757216278223,3.6541467123215425,0.0002580386951020589,0.02203116583009303,Zc3hav1
ENSMUSG00000009281,364.1239640174312,1.3709610180891523,0.2105636337578187,6.51091070961462,7.469653787979004e-11,7.70619282459834e-08,Rarres2
ENSMUSG00000039264,158.48278440685695,1.1173520829296175,0.29712572888160943,3.7605362791548407,0.00016954948189493646,0.015782124705709125,Gimap3
ENSMUSG00000096336,13.127820327725546,5.739398390718974,1.3685598634840634,4.193750338481856,2.7437996044577778e-05,0.003949795244556662,Igkv1-135
ENSMUSG00000076508,19.547476598491595,4.183560833299821,1.047777233930098,3.9927960809071426,6.529872089441594e-05,0.007699030139741612,Igkv17-127
ENSMUSG00000076514,19.98612619944646,5.595864848864594,1.2194671960554517,4.588778498482987,4.458472005081395e-06,0.0008851139980009693,Igkv17-121
ENSMUSG00000094335,31.128184824945425,4.275159307771835,0.7390201159459491,5.784902488479101,7.255440463428175e-09,5.283667819837695e-06,Igkv1-117
ENSMUSG00000095771,16.801242410026525,3.8460837799146805,0.904816361686823,4.250678859016804,2.1312356473873503e-05,0.0031788791945367946,Igkv14-111
ENSMUSG00000093861,43.37527138463514,5.596848655183304,0.8769652491137306,6.382064352994068,1.7471650769907052e-10,1.6022150854181432e-07,Igkv1-110
ENSMUSG00000076522,17.091274878087393,3.3908318703214135,0.9427684144148887,3.596675300610139,0.00032231039958234374,0.025910407446944256,Igkv16-104
ENSMUSG00000076523,8.777253393813742,6.149532797363544,1.4726191611118027,4.175915239837535,2.9679032324082265e-05,0.004223292185886649,Igkv15-103
ENSMUSG00000094420,15.567042269975591,4.596085401226409,1.0812513040034322,4.250709695524973,2.1309422193234436e-05,0.0031788791945367946,Igkv10-96
ENSMUSG00000096490,12.421646176317065,6.661580739378385,1.520648041596778,4.380751204192719,1.1827085391274588e-05,0.0019393287038937668,Igkv10-94
ENSMUSG00000098814,26.183196953175244,3.1069969727848528,0.7673042812980592,4.049237112985612,5.1384862764531795e-05,0.006361446010249036,Igkv19-93
ENSMUSG00000076532,13.056404850776092,6.731253090896968,1.4333878640977318,4.696044426980034,2.6524787376869554e-06,0.0006137885378049441,Igkv4-91
ENSMUSG00000076534,20.724186434223896,4.6022621409112086,1.2456334491098515,3.6947162459390075,0.00022013248050841664,0.019604110080976987,Igkv12-89
ENSMUSG00000076540,16.997112507873062,6.099462873959765,1.5474905526155214,3.9415186500819916,8.09673380939384e-05,0.009049240850366286,Igkv4-80
ENSMUSG00000073028,9.62603349666395,6.294427054296544,1.5702076835988337,4.008658930944757,6.106453591596498e-05,0.0072690284099966,Igkv4-71
ENSMUSG00000076547,13.53715740772317,3.7173441914737717,0.9607341799321887,3.8692744248322177,0.00010915972261563437,0.011308764568883292,Igkv4-70
ENSMUSG00000076549,17.389378240326383,7.142181717652702,1.524405555547377,4.685224146331661,2.796537150477654e-06,0.0006411320356095066,Igkv4-68
ENSMUSG00000094006,16.61084071623095,6.093920060226676,1.380453479921955,4.414433480635074,1.0127484954965589e-05,0.0017070848419709964,Igkv4-59
ENSMUSG00000076556,25.446330056578116,7.6825370723560455,1.3377816728385878,5.7427435495171375,9.31547540042892e-09,6.301956157837031e-06,Igkv4-57
ENSMUSG00000096833,285.9563295414301,10.202251511153952,2.0436174071856756,4.99225122827847,5.967955661591256e-07,0.00018470822772624935,Igkv4-55
ENSMUSG00000076562,17.758794278586226,6.199937023103358,1.5728527400424013,3.9418420207197644,8.085822976772818e-05,0.009049240850366286,Igkv4-50
ENSMUSG00000076564,25.11993283479359,3.8757778338469056,0.8095898438777346,4.787335047686481,1.6901054809927945e-06,0.0004184701170938159,Igkv12-46
ENSMUSG00000096422,20.41251320814996,6.377487322556882,1.321460840227812,4.826088771164374,1.392404637197839e-06,0.000365194615848545,Igkv12-44
ENSMUSG00000076569,53.9426550846179,5.879129525252114,0.8903481991006473,6.603180116712429,4.0243010026843246e-11,4.3322475141940817e-08,Igkv5-39
ENSMUSG00000076577,50.080225829649784,4.427259566906544,0.7717855361554773,5.736385769756984,9.671822859362164e-09,6.301956157837031e-06,Igkv8-30
ENSMUSG00000076583,26.434459993803706,5.969206536162341,1.2517778866151377,4.768582829261617,1.855263922790991e-06,0.0004548151953297518,Igkv8-24
ENSMUSG00000095630,19.535297520489852,4.00954643883869,0.8663540906024364,4.628068918160902,3.6909119917795427e-06,0.0007552643050947229,Igkv6-23
ENSMUSG00000095794,22.493160065268125,7.501232220783556,1.3853321179990183,5.414753706582923,6.137312528934328e-08,2.814071448452111e-05,Igkv6-17
ENSMUSG00000094117,13.71298483099567,6.782065162508852,1.5241014605089107,4.449877739927014,8.591918667005882e-06,0.001552816833540625,Igkv3-12
ENSMUSG00000076596,15.488768359450066,6.979804345414415,1.540820404445119,4.529927255167668,5.900399865721201e-06,0.0011152206158416562,Igkv3-10
ENSMUSG00000095351,230.57329488929923,9.891235638555704,2.0272439270350415,4.879154159323192,1.0654176616419966e-06,0.0002898872670577564,Igkv3-2
ENSMUSG00000076604,26.758042923070906,7.764846783000931,1.3822192969834757,5.617666313838012,1.93553836635436e-08,1.0649762211318658e-05,Igkj1
ENSMUSG00000076605,17.010130485520907,6.142250056604402,1.489061444127686,4.124913770903942,3.708736802310681e-05,0.004892346196138429,Igkj2
ENSMUSG00000076608,16.70418247225443,7.080849565716399,1.3541687963573186,5.228926840408458,1.7049681180624196e-07,6.494617015880847e-05,Igkj5
ENSMUSG00000076609,359.99420147054894,6.306902490256349,0.8105721133398874,7.780803689716564,7.206524884300356e-15,1.784335561352768e-11,Igkc
ENSMUSG00000053044,17.107002979010776,3.605905743826602,0.8780182967252518,4.10686856672072,4.0105928606178615e-05,0.005145195814968822,Cd8b1
ENSMUSG00000005364,309.4865516029068,1.2017459641244062,0.2925534090701825,4.1077831495585535,3.994748960425153e-05,0.005145195814968822,Il5ra
ENSMUSG00000107577,25.263529888499846,2.3213310198068458,0.6408205482826953,3.622435369820258,0.00029184239170494165,0.024006703051874936,Gm44103
ENSMUSG00000049037,48.23974933878143,2.2841663306103994,0.5961399794337399,3.8315939366792313,0.00012731574599043812,0.012866537111735481,Clec4a1
ENSMUSG00000001930,84.66966358610948,1.2560645581243082,0.33808082893410024,3.7152788641829324,0.00020297971409438415,0.018342254456120262,Vwf
ENSMUSG00000030218,2145.510829973754,1.077490900932118,0.208246501702113,5.1741128524378235,2.2899639226174307e-07,8.338162753530528e-05,Mgp
ENSMUSG00000002985,5860.41346490313,0.9453272631708131,0.12944031199837253,7.3031905484181685,2.81022751185275e-13,4.6387488795649397e-10,Apoe
ENSMUSG00000054342,40.265588538161786,1.9275573693967012,0.5499192434365962,3.5051644262362354,0.00045632536269225285,0.03332925067923357,Kcnn4
ENSMUSG00000003379,46.40684017727195,2.154093844488824,0.5504367397141257,3.9134267193130534,9.099552389825254e-05,0.00992458329122907,Cd79a
ENSMUSG00000054385,646.7140735505643,1.2357947441275658,0.21780148875745464,5.673949940276836,1.395419247939874e-08,8.824209596396016e-06,Ceacam2
ENSMUSG00000074254,5841.665524655146,0.5633325757001434,0.15686825259051002,3.591119084947486,0.0003292611385366537,0.02621384498446156,Cyp2a4
ENSMUSG00000005547,1214.2313789926743,0.938468396186741,0.19508889466726656,4.8104654946522905,1.505791978319924e-06,0.0003843650451876425,Cyp2a5
ENSMUSG00000047730,193.8630503559562,1.3988702371295267,0.28628701857653566,4.886251022085915,1.0277414966995786e-06,0.000285919993913276,Fcgbp
ENSMUSG00000008193,41.13637353671419,2.3671632956158817,0.6767634904217161,3.497770386728184,0.00046916486814504256,0.033867411473094036,Spib
ENSMUSG00000030798,65.54420029775626,2.320233671655207,0.4101883391484262,5.656508121298965,1.5448367223339396e-08,9.329306645119107e-06,Cd37
ENSMUSG00000003873,566.3090204906363,0.6030802189441637,0.17647763605788713,3.417318094324116,0.0006324134072939099,0.04220635030888736,Bax
ENSMUSG00000048330,104.31389212799611,2.0279882232642117,0.3847970958088468,5.270279441692154,1.3621621830121342e-07,5.529038631373843e-05,Ric3
ENSMUSG00000030671,363.9342334905731,0.9389037264635888,0.21739024645761998,4.318978159154105,1.567532923331405e-05,0.0024721092472411205,Pde3b
ENSMUSG00000052889,129.05965337504506,1.0545699447892987,0.29998145297711265,3.5154504864330995,0.00043900861306030793,0.03254447083644678,Prkcb
ENSMUSG00000030707,421.2785168812179,0.9581756482168593,0.21107478709079486,4.539507827643551,5.638568728383644e-06,0.0010739304747290693,Coro1a
ENSMUSG00000030830,120.98365479744419,1.5492651115016152,0.29107362704404777,5.322588402236685,1.0230104087615515e-07,4.4438136352519326e-05,Itgal
ENSMUSG00000025475,21.470907595682238,2.3872239481344546,0.6653043897104685,3.5881680401557885,0.0003330096434112555,0.026316462669117704,Adgra1
ENSMUSG00000022322,96.31127038589943,1.7885091171983842,0.5108855942063056,3.50080162267435,0.0004638609946618577,0.03369524388684835,Shcbp1
ENSMUSG00000123100,25.28542139818983,3.0215652928342887,0.6719526500255208,4.4966937666210995,6.901828170408066e-06,0.0012752930261142068,Gm63708
