logFC,logCPM,F,PValue,FDR,Gene_name
ENSMUSG00000069372,-3.70846516504985,1.96907509441816,99.728820655456,2.31107808554289e-08,0.000270740776566662,Ctxn3
ENSMUSG00000013611,-1.60566366264659,3.89800637880833,76.7188087761358,1.39272705471773e-07,0.000646756789965426,Snx31
ENSMUSG00000067144,-1.39393674662106,7.72420851896886,75.9888717622593,1.48574423688868e-07,0.000646756789965426,Slc22a7
ENSMUSG00000061906,-0.996721114305944,10.1913857605273,73.6988921014796,1.82938457685302e-07,0.000646756789965426,Ugt2b38
ENSMUSG00000034875,-1.03082856499592,9.77439473907876,72.3763009774005,2.06805000988185e-07,0.000646756789965426,Nudt19
ENSMUSG00000003623,-0.844036022895122,9.08765120692065,65.9730560553969,3.84890340448374e-07,0.000991562210390572,Crot
ENSMUSG00000022445,-0.958859887221859,6.10209276993495,63.9009046103738,4.75588413792992e-07,0.000991562210390572,Cyp2d26
ENSMUSG00000022679,-0.749618273864919,9.22993566217145,57.5292703449076,9.45492397811588e-07,0.00168966245006058,Mpv17l
ENSMUSG00000030268,-1.15543224339658,5.47608900791264,54.2014573226237,1.38724029599875e-06,0.0020416097038584,Bcat1
ENSMUSG00000024757,-1.15990648942888,6.5837328350023,53.5729032632186,1.49437746027993e-06,0.00207710164881909,Slc22a19
ENSMUSG00000079262,-0.721264889670159,7.81140480203665,43.8112666064919,5.23282463547248e-06,0.00595091088885845,Slco1a6
ENSMUSG00000062908,-0.662160162891486,9.43828714709842,42.8701845647597,5.96920427069038e-06,0.00649319659340881,Acadm
ENSMUSG00000052562,-0.688214224944169,7.89582674021701,40.640802830731,8.22588648315765e-06,0.00823213815688485,Slc22a30
ENSMUSG00000027463,-0.754757764365422,5.99157158963637,39.0389103634834,1.04414366640615e-05,0.00967534458882053,Slc52a3
ENSMUSG00000005640,-1.07506125440888,4.79146947581167,38.3646627040083,1.15694703699444e-05,0.00971750246318558,Insrr
ENSMUSG00000057425,-1.08391706520589,7.23489518770353,38.317464959364,1.16521473238566e-05,0.00971750246318558,Ugt2b37
ENSMUSG00000021416,-0.675671338280393,7.23533160501819,37.8051734026958,1.26078126086985e-05,0.00985362410073201,Eci3
ENSMUSG00000024041,-3.22005748514445,0.0372752264766664,34.8439307673567,1.33383736300549e-05,0.00985362410073201,Cryaa
ENSMUSG00000026220,-1.04133721380047,6.05677239498726,36.1732059235926,1.62917932940187e-05,0.0107264309585014,Slc16a14
ENSMUSG00000001467,-0.773848863389139,7.7043398013851,34.0761373960098,2.29283553201084e-05,0.0143411130438448,Cyp51
ENSMUSG00000024694,-0.629795992498814,10.6767358534702,33.6426201714849,2.46517473427242e-05,0.014465953896756,Keg1
ENSMUSG00000036330,-0.639634324777374,8.26927756163453,33.5919428801854,2.48625451680925e-05,0.014465953896756,Slc18a1
ENSMUSG00000021620,-0.632856701057396,7.6624897430406,33.2098429572561,2.65186956925803e-05,0.0150788919893788,Acot12
ENSMUSG00000015484,-0.859869096512368,4.72318140104967,32.8246391182074,2.83172117358414e-05,0.0157437404537559,Fam163a
ENSMUSG00000032373,-0.646255540850541,8.07008297295322,32.694074545671,2.89542625976556e-05,0.0157479716506684,Car12
ENSMUSG00000032374,-0.758557324433611,4.93098802277862,32.4974410404765,2.99503091046581e-05,0.0159431230529668,Plod2
ENSMUSG00000093930,-0.596640889686667,9.10380155496515,32.214079676257,3.14486057346221e-05,0.0160574013647859,Hmgcs1
ENSMUSG00000002944,-0.631904675926626,9.05245990715033,31.584187614305,3.50961994996714e-05,0.0175614363056456,Cd36
