logFC,logCPM,F,PValue,FDR,Gene_name
ENSMUSG00000095079,5.06384678924236,4.72506330680907,128.550335171471,1.51053367509733e-08,0.000377920420172601,Igha
ENSMUSG00000076613,7.60893649543046,3.60286766959083,83.5134005543175,5.45407061369403e-08,0.00050987440924729,Ighg2b
ENSMUSG00000073418,2.19930152757024,4.02526295803668,97.3402898581086,8.76970159679941e-08,0.00050987440924729,C4b
ENSMUSG00000026417,1.25389882566595,6.72019979327328,95.0207832319923,1.01897439795214e-07,0.00050987440924729,Pigr
ENSMUSG00000037053,1.08322460720769,6.50957164832936,75.6229949657779,4.20258902289013e-07,0.00150206535376698,Azgp1
ENSMUSG00000096852,2.09966035063824,8.69292775152782,69.3074081051471,7.13307830748086e-07,0.00165355559859821,Cyp2d12
ENSMUSG00000076617,5.42203574057526,7.35066979363039,67.7677483155434,8.1729989583314e-07,0.00170400217448744,Ighm
ENSMUSG00000002985,0.946474318825593,7.84473644962967,65.2370948392848,1.0253725999831e-06,0.00171025313859847,Apoe
ENSMUSG00000053279,1.96405653026966,3.42657303487953,63.0512060316718,1.25968493279654e-06,0.00196975358335229,Aldh1a1
ENSMUSG00000076609,6.50130626513008,3.84088111572133,55.4077725082137,1.41474902654636e-06,0.00208209446442137,Igkc
ENSMUSG00000076612,7.71564189198843,4.15102818274456,48.7644046962187,2.14300262744404e-06,0.00281326265023956,Ighg2c
ENSMUSG00000067149,5.25344210843082,4.58167454993558,57.1744825460675,2.2489009554655e-06,0.00281326265023956,Jchain
ENSMUSG00000105906,4.6005914138427,2.19338503647006,47.8147711037607,3.81085486483864e-06,0.00433380808469991,Iglc1
ENSMUSG00000113495,6.21095619472462,1.13236844832367,45.768172855934,6.30807153389214e-06,0.00657590173776864,Gm19792
ENSMUSG00000055653,1.13219075536949,5.10515026866292,46.0524947696418,7.67183873947822e-06,0.00767766933692022,Gpc3
ENSMUSG00000009281,1.33984684455115,3.84688425929153,43.9352887176579,9.9661082169645e-06,0.00923489116593462,Rarres2
ENSMUSG00000076934,4.87527899285532,2.23833212282596,39.219264608773,1.10508281689888e-05,0.00952620793236793,Iglv1
ENSMUSG00000094088,3.36033487115373,0.80820049177196,36.7971803532188,1.59206623033874e-05,0.0119871221683715,Ighv1-64
ENSMUSG00000093861,5.59287622519771,0.863469178990536,36.87136380653,1.63963048877245e-05,0.0119871221683715,Igkv1-110
ENSMUSG00000024747,1.60220068862377,3.62711930818893,39.7347214138165,1.72483471785992e-05,0.0119871221683715,Aldh1a7
ENSMUSG00000094335,4.16822898629887,0.420035915231878,34.1706019171479,1.8869395439749e-05,0.0127592812028941,Igkv1-117
ENSMUSG00000078597,1.00035568035098,4.63942929664252,37.1365439225539,2.47386455197579e-05,0.0154734043064706,Cyp4a12b
ENSMUSG00000041801,1.3264885239819,3.7524608611231,36.5848038334771,2.67873015021823e-05,0.0159569403876928,Phlda3
ENSMUSG00000054385,1.2072240641639,4.67068772587019,35.299164747576,3.23135096187062e-05,0.0180562019389543,Ceacam2
ENSMUSG00000062991,1.03351278605717,4.62257991680962,35.2651107403926,3.24764813642809e-05,0.0180562019389543,Nrg1
ENSMUSG00000076569,5.81561727146004,1.1478694661066,30.1749200727871,4.96522006165718e-05,0.023004600133815,Igkv5-39
ENSMUSG00000030798,2.31442034374515,1.42378796742965,31.561825524973,5.64872653443769e-05,0.0247939454675608,Cd37
ENSMUSG00000076615,10.4232839760618,1.82695706187874,34.7235849228269,6.48555790678923e-05,0.0269965314945008,Ighg3
ENSMUSG00000036887,1.24630572824186,4.47548343769512,30.7282944942017,6.58215124970842e-05,0.0269965314945008,C1qa
ENSMUSG00000030830,1.47520117684294,2.27835176258123,30.6494899243992,6.70804182246141e-05,0.0270691126380906,Itgal
ENSMUSG00000013415,1.15507483051818,3.42119890853735,30.4688367698264,6.8716126851566e-05,0.0272890282174497,Igf2bp1
ENSMUSG00000027663,0.820054642110984,4.20415560953483,30.0510970080247,7.36014630313961e-05,0.0287724219309766,Zmat3
ENSMUSG00000051483,0.766612500681885,4.63448844991232,29.3434241728725,8.28666220827666e-05,0.0300469567809962,Cbr1
ENSMUSG00000024164,0.999269962687123,4.81050613936206,28.9287761001221,8.89150572467136e-05,0.0315261077527452,C3
ENSMUSG00000073421,0.814047565112623,7.71264387762105,28.7326287565736,9.1940577167734e-05,0.0315261077527452,H2-Ab1
ENSMUSG00000021456,0.899381319697898,3.9263498302381,28.6996564752263,9.24871941514079e-05,0.0315261077527452,Fbp2
ENSMUSG00000076937,4.9875031447387,1.83656431722068,25.9786230022277,9.32464116752526e-05,0.0315261077527452,Iglc2
ENSMUSG00000069516,1.67683181310539,5.46556907858155,27.7803318403884,0.000108473117534992,0.0357090648369468,Lyz2
ENSMUSG00000030218,1.06740116057829,6.39707582123181,27.5959976712329,0.000112043484447455,0.0359386658639856,Mgp
ENSMUSG00000023067,1.02242609257134,3.44340632470632,27.1316181222839,0.000121726057455867,0.0374721048966021,Cdkn1a
ENSMUSG00000005547,0.96253193383226,5.57557223151701,26.9932303879856,0.000124717394531982,0.0374721048966021,Cyp2a5
ENSMUSG00000040405,1.60459535322353,2.826079346488,26.8365898277157,0.000128589593220564,0.0374721048966021,Havcr1
ENSMUSG00000095630,4.04142360487466,-0.221805858443721,24.5264919885492,0.000131277876461904,0.0374721048966021,Igkv6-23
ENSMUSG00000027249,2.05202382743519,2.01461238199528,26.4531710409684,0.000138727640422025,0.0384186912279554,F2
ENSMUSG00000027870,1.08522967072354,8.51436162286601,26.2432252010431,0.000142825199347379,0.0385369552192588,Hao2
ENSMUSG00000022304,0.865646219930579,4.62628368921643,26.2276220452841,0.000143248604476241,0.0385369552192588,Dpys
ENSMUSG00000056290,1.69845928197474,1.57938558509238,26.0536361144074,0.000149049640193448,0.0392533994526302,Ms4a4b
ENSMUSG00000076614,6.47323596456496,3.1120259351882,23.3771259902683,0.000154922833383573,0.0403751496710793,Ighg1
ENSMUSG00000024610,0.820308833739256,8.51660226846781,24.885649500806,0.000183805834816361,0.0469248794007198,Cd74
ENSMUSG00000035681,1.38389158735247,1.98110495853604,24.7831920282922,0.000188697256473933,0.0471212353362582,Kcnc2
ENSMUSG00000039710,2.32335034309775,3.42932022542049,24.7551495423737,0.00018882129619289,0.0471212353362582,Slc7a12
ENSMUSG00000056708,0.792493654728238,4.12894193604348,24.5449875312006,0.000196132614020133,0.0476411832055312,Ier5
ENSMUSG00000093894,7.00814603732644,3.11737640881151,22.1318338580994,0.000199813661357034,0.0480686345528041,Ighv1-53
