baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name
ENSMUSG00000038079,351.369518974222,-0.781508267029716,0.170208527511418,-4.59147540053357,4.40123524752326e-06,0.000841213872258941,Tmem237
ENSMUSG00000026179,1312.77517522427,-0.5425372721684,0.114870881597515,-4.72301826732161,2.32369968554589e-06,0.000483176323625267,Pnkd
ENSMUSG00000079465,5227.75073534396,-0.626851752966798,0.152604171734333,-4.10769735743581,3.99623266349335e-05,0.00481635123940262,Col4a3
ENSMUSG00000026220,852.762598092206,-1.0381482653362,0.18114540343478,-5.73102185123888,9.98274041363404e-09,5.10522740829144e-06,Slc16a14
ENSMUSG00000026348,1767.82848156665,-0.594421093871521,0.141971773846749,-4.18689629470409,2.82794957632294e-05,0.00371600429744325,Acmsd
ENSMUSG00000015484,340.587898827607,-0.847920638817963,0.164237902357017,-5.16275857551305,2.43336895819247e-07,7.8041029537149e-05,Fam163a
ENSMUSG00000097503,161.720958490268,-0.676084584303829,0.196509917901721,-3.44046036720627,0.000580725480984873,0.0347736947822651,3110045C21Rik
ENSMUSG00000035000,1010.23067651479,-0.536066602204781,0.154942484672443,-3.45977801593962,0.000540620868462322,0.0326825178052526,Dpp4
ENSMUSG00000005233,214.407398790414,-0.887587796756015,0.212368392247691,-4.17947222447679,2.92186401891506e-05,0.00381293179075247,Spc25
ENSMUSG00000027463,819.418126479744,-0.741189503042213,0.122087554138895,-6.07096692426968,1.27142375579349e-09,8.29582079556015e-07,Slc52a3
ENSMUSG00000038375,2964.60744661928,-0.528604839283113,0.126823354860252,-4.16804018365219,3.07229781773457e-05,0.00392797427751173,Trp53inp2
ENSMUSG00000074628,45.5089052130327,-1.12400839642163,0.338913421549699,-3.31650600109622,0.000911506298136268,0.048043237251628,Tldc2
ENSMUSG00000074575,75.3994995586358,-1.39652177559755,0.297677662886697,-4.69138920957298,2.71356200821473e-06,0.000552107745370314,Kcng1
ENSMUSG00000005640,356.994598961547,-1.03830827904981,0.188987504608489,-5.49405782779548,3.92801773735741e-08,1.81282808844578e-05,Insrr
ENSMUSG00000038526,1145.04832928227,-0.507914890098587,0.152072639375165,-3.33994919918208,0.000837937162792695,0.0456909042720842,Car14
ENSMUSG00000027896,1263.21105199013,-0.82082299533228,0.169440834429876,-4.84430449185485,1.27055956389779e-06,0.000316335895632554,Slc16a4
ENSMUSG00000062908,8790.54793878245,-0.643405094354271,0.105141594593491,-6.11941541158726,9.39192698031681e-10,6.34693008291267e-07,Acadm
ENSMUSG00000047583,381.125671468136,-0.794729072007913,0.170236984113335,-4.66836907471776,3.03600150923169e-06,0.000611140644230661,Tyw3
ENSMUSG00000028238,506.370911024597,-0.504962427896471,0.144579050674228,-3.49263897875685,0.000478272642969365,0.0298675740932882,Atp6v0d2
ENSMUSG00000028633,305.740916902303,-0.655770956651502,0.14594057639066,-4.49341076258399,7.00914004038553e-06,0.00116339427933487,Ctps1
ENSMUSG00000028655,263.911090316109,-1.17583919667209,0.301927592871825,-3.89444099987001,9.8425443912698e-05,0.00954148083798358,Mfsd2a
ENSMUSG00000028989,119.681842175145,-1.27775347723637,0.320304645766984,-3.98918184335644,6.63015815022575e-05,0.00700870684461294,Angptl7
ENSMUSG00000001467,2699.12332066101,-0.760590210431124,0.144721348973464,-5.25554948061317,1.47583166140343e-07,5.26899749001428e-05,Cyp51
ENSMUSG00000003623,7025.17927047623,-0.82655427159965,0.106401372772715,-7.76826698810798,7.95672117189189e-15,1.50557078014538e-11,Crot
ENSMUSG00000002944,6915.29069381379,-0.616553595755335,0.126186007540294,-4.88606944441485,1.0286892761483e-06,0.000263038628152407,Cd36
ENSMUSG00000057425,2022.65715097474,-1.09009656657944,0.189088752255489,-5.76499952311572,8.16580721251261e-09,4.29203900208788e-06,Ugt2b37
ENSMUSG00000061906,13596.3997013504,-0.989160845688413,0.126258814047612,-7.83439043958865,4.71122671594733e-15,1.08652470987879e-11,Ugt2b38
ENSMUSG00000019577,391.653409499216,-0.777582200803172,0.156127057287316,-4.98044486531384,6.34382744753721e-07,0.00017148271851757,Pdk4
ENSMUSG00000029821,960.718083042951,-0.524950114333719,0.148417398858668,-3.53698500560307,0.000404722642775553,0.0263167073766289,Gsdme
ENSMUSG00000030042,369.297297639171,-0.589488761225127,0.145131063179139,-4.06176836517421,4.87023888803103e-05,0.00564789930573524,Pole4
