baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name
ENSMUSG00000027463,819.418126479744,-0.741189503042213,0.122087554138895,-6.07096692426968,1.27142375579349e-09,8.29582079556015e-07,Slc52a3
ENSMUSG00000062908,8790.54793878245,-0.643405094354271,0.105141594593491,-6.11941541158726,9.39192698031681e-10,6.34693008291267e-07,Acadm
ENSMUSG00000003623,7025.17927047623,-0.82655427159965,0.106401372772715,-7.76826698810798,7.95672117189189e-15,1.50557078014538e-11,Crot
ENSMUSG00000061906,13596.3997013504,-0.989160845688413,0.126258814047612,-7.83439043958865,4.71122671594733e-15,1.08652470987879e-11,Ugt2b38
ENSMUSG00000079262,2876.18244326191,-0.716940276178795,0.11421486966331,-6.27711854237752,3.44905122098855e-10,2.61051788814181e-07,Slco1a6
ENSMUSG00000030268,575.679025077977,-1.13715728551535,0.165431059172799,-6.87390439982345,6.24680800333342e-12,5.91010505195374e-09,Bcat1
ENSMUSG00000034875,11184.1446426606,-0.99718494933769,0.129810246296695,-7.68186624543121,1.56787494480287e-14,2.69702997323272e-11,Nudt19
ENSMUSG00000021416,1959.90924988885,-0.668382596364003,0.110817642017168,-6.03137356288862,1.6257189453778e-09,9.92317867239958e-07,Eci3
ENSMUSG00000013611,193.72397084847,-1.60761775806083,0.209915721257598,-7.65839618123714,1.88269342382157e-14,2.96869374712931e-11,Snx31
ENSMUSG00000022445,893.459357552424,-0.96422624960954,0.130115573279704,-7.41053684278652,1.25789168898379e-13,1.58678843593009e-10,Cyp2d26
ENSMUSG00000022679,7681.59848707222,-0.730733475415074,0.0934112546693222,-7.82275624068947,5.16791163138629e-15,1.08652470987879e-11,Mpv17l
ENSMUSG00000067144,2721.00835850417,-1.35796107852602,0.180353247756107,-7.52945175881945,5.0953806425237e-14,6.88677089413096e-11,Slc22a7
ENSMUSG00000069372,49.4957268602869,-3.57347430635764,0.422067766865968,-8.4665889861531,2.52683799023566e-17,9.56256569024784e-14,Ctxn3
ENSMUSG00000024757,1239.81143600293,-1.13563536054381,0.179526848923718,-6.3257132142187,2.52065585837691e-10,1.98732708967533e-07,Slc22a19
