baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name
ENSMUSG00000026417,1369.04382426487,1.25755878629654,0.129533628962797,9.70835756217185,2.77776924832527e-22,3.25620803921385e-18,Pigr
ENSMUSG00000067149,308.539790118599,5.05288280555657,0.797451590607168,6.33628782621071,2.35366920307928e-10,1.93635342002897e-07,Jchain
ENSMUSG00000037053,1175.41179673464,1.1141267765023,0.12523421605929,8.89634487730443,5.77160398493319e-19,2.73025726507265e-15,Azgp1
ENSMUSG00000009281,183.523704150608,1.37689322472135,0.221094934831933,6.22761089379099,4.73601508229535e-10,3.44672605335356e-07,Rarres2
ENSMUSG00000076569,27.8737978848693,7.8192034715443,1.29012960769894,6.06078910590273,1.35455342021558e-09,8.54361993910643e-07,Igkv5-39
ENSMUSG00000076609,182.885225252725,6.19896898114031,0.884629984657059,7.00741449945701,2.42762274399303e-12,2.41765671378085e-09,Igkc
ENSMUSG00000002985,2956.43911867252,0.969751834580725,0.116749111803011,8.30628875547223,9.87417761331768e-17,3.11398647998662e-13,Apoe
ENSMUSG00000095079,340.318504771059,5.02326264433784,0.518584698124486,9.68648450774769,3.44171656190028e-22,3.25620803921385e-18,Igha
ENSMUSG00000076612,228.431402718402,7.71650154659526,1.21290980815194,6.36197472782625,1.99176219901205e-10,1.71309656044118e-07,Ighg2c
ENSMUSG00000076613,154.48830457651,8.52809347486745,1.05974096082776,8.04733778357132,8.46144109893317e-16,2.28724840677162e-12,Ighg2b
ENSMUSG00000076617,2132.01428216897,5.48497266006599,0.756260705951834,7.2527537354497,4.08382213668107e-13,4.82963015439245e-10,Ighm
ENSMUSG00000105906,57.2085353704113,4.53702590856177,0.599496441742465,7.5680614473285,3.7883479881483e-14,5.51408620244171e-11,Iglc1
ENSMUSG00000076934,58.2368720787091,6.04491745164382,0.850339575703489,7.10882760765644,1.17032817963641e-12,1.23027498972667e-09,Iglv1
ENSMUSG00000076937,45.8635583975537,4.78608841853737,0.770207350766283,6.21402589026924,5.16440132146956e-10,3.61928895573508e-07,Iglc2
ENSMUSG00000073418,205.109165766748,2.16694836541037,0.226286820356399,9.57611389827055,1.00765170859543e-21,6.35559521001426e-18,C4b
ENSMUSG00000053279,136.351803086359,1.86393168109962,0.258261131454011,7.21723656442485,5.30546379454606e-13,5.90529328943532e-10,Aldh1a1
ENSMUSG00000055653,444.00900519483,1.15069193457519,0.174032365556443,6.61194215740287,3.79310221952933e-11,3.41776572371114e-08,Gpc3
