,baseMean,log2FoldChange,lfcSE,stat,pvalue,adj_pvalue,Gene_name
ENSMUSG00000038079,351.121379875313,-0.7896373483853506,0.17656098146883178,-4.472320791469688,7.737523699247998e-06,0.0016045068639825918,Tmem237
ENSMUSG00000026179,1310.4667682665008,-0.553003682424813,0.11992001740925322,-4.611437642954698,3.998936212346546e-06,0.000984584439658227,Pnkd
ENSMUSG00000079465,5214.602969669526,-0.6393911194298597,0.144742277096493,-4.4174454917798975,9.98742460011091e-06,0.0019977500728876716,Col4a3
ENSMUSG00000026220,852.6512076384125,-1.0449860451472939,0.1808050042036752,-5.779630103435227,7.486504092447841e-09,4.976983882399958e-06,Slc16a14
ENSMUSG00000026348,1764.8622780427818,-0.6028363132117985,0.1418239609905826,-4.250595660995733,2.132027518879692e-05,0.003650774091608915,Acmsd
ENSMUSG00000015484,340.20017734354803,-0.8581849237951075,0.16970074645820096,-5.0570486088373645,4.257947355861316e-07,0.00016184493218426144,Fam163a
ENSMUSG00000035000,1008.9682873668771,-0.5440230614451538,0.1562585224164789,-3.481557697026972,0.0004985063720689356,0.03781120646937634,Dpp4
ENSMUSG00000005233,214.22199059165885,-0.8964623168814805,0.2153226267681175,-4.163344699704445,3.13619361317739e-05,0.0050274740594786205,Spc25
ENSMUSG00000027463,818.476912971486,-0.7506957857903612,0.13030076832849255,-5.761253716461843,8.349142397237898e-09,5.391876160136235e-06,Slc52a3
ENSMUSG00000038375,2960.8391245528155,-0.5368009214966482,0.1307628052440953,-4.1051499353703855,4.0405272607995995e-05,0.006170813356476577,Trp53inp2
ENSMUSG00000074575,75.40462688844279,-1.4057993094393901,0.3056991207862442,-4.5986370710643145,4.25263875122645e-06,0.0010118146704628573,Kcng1
ENSMUSG00000039519,1923.5509471145522,-0.635413364560501,0.18478828983969892,-3.4386019001080244,0.000584726424781603,0.041692654193497075,Cyp7b1
ENSMUSG00000005640,356.8006058019937,-1.044698240651691,0.19190628800829998,-5.443793694798096,5.215762460075506e-08,2.8069494972639683e-05,Insrr
ENSMUSG00000027896,1262.1646344446747,-0.8278630973896113,0.16814335298795036,-4.923555303723117,8.498584422927694e-07,0.0002910507631991435,Slc16a4
ENSMUSG00000062908,8778.08205779887,-0.65285052506665,0.11069685130474634,-5.897643134124609,3.687303735856289e-09,2.778137544718657e-06,Acadm
ENSMUSG00000047583,380.9083273523073,-0.8025215839943499,0.17642268234436015,-4.548857172616301,5.393803437041247e-06,0.0012314761523984172,Tyw3
ENSMUSG00000028238,505.3741233967143,-0.5154126945244497,0.14863635670290737,-3.467608504120231,0.0005251116997633237,0.038787907678922894,Atp6v0d2
ENSMUSG00000028633,305.23909318294415,-0.665949201719879,0.15595115545371815,-4.2702421779588144,1.952608256778513e-05,0.0033949849559972867,Ctps1
ENSMUSG00000028655,263.5358759207089,-1.1916100270306,0.2866376783042784,-4.157199549201114,3.2217256436989136e-05,0.005092354176540317,Mfsd2a
ENSMUSG00000028989,119.80290844649743,-1.2853410709786266,0.3162810826168413,-4.063920169818544,4.825533582231398e-05,0.007036873261882341,Angptl7
ENSMUSG00000001467,2695.904225087431,-0.769501609656375,0.14435830684254347,-5.330497610336319,9.794402229020436e-08,4.919619412945532e-05,Cyp51
ENSMUSG00000003623,7017.5192360598585,-0.8366990367365498,0.11216401727540272,-7.45960297304754,8.678358316962825e-14,1.5088994849100826e-10,Crot
ENSMUSG00000002944,6903.454671540591,-0.6263056211458684,0.12602836271927748,-4.969560880045202,6.710469926359744e-07,0.00023334884883924504,Cd36
ENSMUSG00000057425,2020.996318483372,-1.0968790218367603,0.18310255030383882,-5.990517445096251,2.091744353945933e-09,1.6885606297228543e-06,Ugt2b37
ENSMUSG00000061906,13580.163402144884,-0.9992934677318964,0.12599894415203258,-7.930966997041904,2.174460050947196e-15,6.143665066444934e-12,Ugt2b38
ENSMUSG00000019577,391.1858011263336,-0.7863714680260429,0.16290776683842334,-4.827096235417609,1.3853818576589932e-06,0.0004120235016929766,Pdk4
ENSMUSG00000029821,958.2973077977865,-0.5364821332088955,0.1451857028206478,-3.695144375693988,0.0002197618760524066,0.021318788345118224,Gsdme
ENSMUSG00000030042,368.69929920197285,-0.6000870734358692,0.15306847985780164,-3.920383046812389,8.840833326554808e-05,0.01099584948069303,Pole4
ENSMUSG00000030359,1613.2969385621268,-0.553863350940353,0.15751071946666037,-3.5163533810001226,0.0004375182323202347,0.03469903370222549,Pzp
ENSMUSG00000079262,2872.2902275394445,-0.7264533846490174,0.11891471953947809,-6.109028280622944,1.0023956673362957e-09,8.714288180308575e-07,Slco1a6
ENSMUSG00000092500,100.53610470150625,-1.1313794650276439,0.3042070541461376,-3.719109894421259,0.00019992606134540397,0.01999526002031047,Gm20400
ENSMUSG00000030268,575.5260022749856,-1.1454492733841053,0.16886615908440133,-6.783178344286235,1.1756036233541075e-11,1.3286084349336446e-08,Bcat1
ENSMUSG00000002265,296.5736833197331,-0.7903694666511301,0.1745083935702754,-4.5291200639747125,5.922983663195316e-06,0.0013387719973920373,Peg3
ENSMUSG00000034875,11178.570750202618,-1.0052384278502426,0.13344976986467155,-7.532710089119169,4.969787263125183e-14,9.361008459034877e-11,Nudt19
ENSMUSG00000010307,711.4120093787991,-0.7487443062859542,0.1658226267571988,-4.515332563042089,6.321747875859066e-06,0.001373946800365793,Tmem86a
ENSMUSG00000033533,2278.8956939490345,-0.7064020356719645,0.14141495164185333,-4.9952429178846245,5.876175458321609e-07,0.00020752999044444269,Acsm1
ENSMUSG00000030935,6086.527329707673,-1.2282978750763591,0.327275549816789,-3.753100027679942,0.0001746611189193064,0.017863643759878204,Acsm3
ENSMUSG00000050100,111.6382861260397,-1.1582548612258359,0.30846750593395816,-3.754868305233467,0.00017343264459805432,0.017818627572044648,Hmx2
ENSMUSG00000074469,143.26841677222484,-0.8988022873982151,0.23352662896584642,-3.8488214015613016,0.00011868749902855391,0.013400258801497172,Gm15348
ENSMUSG00000031549,183.2445617166388,-0.7807372261097121,0.22397585423211722,-3.485809793142236,0.0004906497389155667,0.03759374931765611,Ido2
ENSMUSG00000036330,4023.100722477574,-0.6398876214056372,0.12032645070973184,-5.317929828656401,1.0495452800088809e-07,5.15714607913929e-05,Slc18a1
ENSMUSG00000031775,204.0914075545729,-0.6227442029698564,0.17991836965888885,-3.4612597043344198,0.000537653867147506,0.0394463107316576,Pllp
ENSMUSG00000061825,1749.481370281558,-0.5327191349301884,0.12550023761326626,-4.244765946752887,2.18821703110546e-05,0.0036910648920952774,Ces2c
ENSMUSG00000110494,227.49609590457717,-0.9666700685764801,0.22768909881442026,-4.245570269327526,2.180381618311124e-05,0.0036910648920952774,Gm31774
ENSMUSG00000032080,52.980420485337056,-1.4509951924649573,0.33227930775568504,-4.366793714196102,1.2608370298699222e-05,0.0023552644120785,Apoa4
ENSMUSG00000032373,3486.1574191001537,-0.6360280565233548,0.1215931441786811,-5.230788798328232,1.6878826158753094e-07,7.480629562084238e-05,Car12
ENSMUSG00000034593,781.7985737220394,-0.6820468036100006,0.19155508627632514,-3.560577883200258,0.000370039533779516,0.031208968589620894,Myo5a
ENSMUSG00000032420,2406.806809108644,-0.6258889127147923,0.16135543049655823,-3.8789454484963413,0.00010491027593841805,0.012223128696062182,Nt5e
ENSMUSG00000032374,394.83818897579505,-0.7465529004332476,0.1492181131520068,-5.003098381714173,5.641613044296984e-07,0.0002024085391114996,Plod2
ENSMUSG00000032434,6517.7657232986885,-0.524288260438168,0.10933722827396736,-4.795148630660856,1.6255426093980257e-06,0.0004669248617089553,Cmtm6
ENSMUSG00000038775,1151.1599953773518,-0.675200144391646,0.13735993065541233,-4.9155539113184705,8.853178255146038e-07,0.00029866923597174014,Vill
ENSMUSG00000019894,418.9136365432208,-0.561227862659275,0.1455548165829453,-3.855783517403946,0.00011535954341004132,0.01323589725734601,Slc6a15
ENSMUSG00000054986,179.21138218278347,-0.907961565263498,0.252712446066357,-3.592864456802758,0.00032706273677007017,0.02853353974507814,Sec14l3
ENSMUSG00000020651,1079.5586838327215,-0.6082088196732843,0.17417543304140326,-3.4919322952319396,0.0004795397828900305,0.03692798629276241,Slc26a4
ENSMUSG00000020577,330.48132525191676,-0.7949245805532074,0.18041426165132932,-4.406107218338913,1.052448836675395e-05,0.0020685653091629523,Tspan13
ENSMUSG00000071177,767.6233066554756,-1.6532720002440768,0.39165549658653315,-4.221240387670136,2.429616657113068e-05,0.00400851279567348,Serpina1d
ENSMUSG00000033715,2374.978556363906,-0.7788799036319966,0.1636254324671554,-4.7601396181998865,1.9345908328803928e-06,0.0005332628853121405,Akr1c14
ENSMUSG00000021214,186.4220431795395,-2.1988698144190333,0.589802709033065,-3.7281446503084172,0.00019289465625927195,0.019464276408162163,Akr1c18
ENSMUSG00000021416,1957.2882895299713,-0.6771638054522459,0.1181516433169166,-5.731310936030726,9.965738851281422e-09,6.087989060959837e-06,Eci3
ENSMUSG00000021364,395.0218192513814,-0.7512099670753548,0.1633240660671132,-4.599505664809174,4.234946772549078e-06,0.0010118146704628573,Elovl2
ENSMUSG00000021620,2624.584454741256,-0.6207384040221392,0.11743762273820099,-5.285686048038682,1.2523451796029194e-07,5.661351618912957e-05,Acot12
ENSMUSG00000093930,6411.87604812369,-0.5719475833441788,0.1171647822727336,-4.8815657081392585,1.0524684177929065e-06,0.00033040199510240366,Hmgcs1
ENSMUSG00000072676,3517.6060719841043,-0.5654103726709785,0.12291376594846362,-4.600057351656191,4.22374636910547e-06,0.0010118146704628573,Tmem254
ENSMUSG00000022218,390.6031496472793,-0.8601554670971012,0.19222785576884044,-4.474666086539836,7.65308185939281e-06,0.0016016908265542194,Tgm1
ENSMUSG00000044819,382.32183426745377,-0.5743473113217056,0.16725074297321205,-3.434049386636786,0.0005946358444653975,0.0422658930580232,Oxgr1
ENSMUSG00000058914,3310.4474008275324,-0.6097127659859305,0.14129183456023403,-4.315272484667217,1.5940615385858418e-05,0.0028595692822742684,C1qtnf3
ENSMUSG00000022244,4163.965929713298,-0.5616722570244346,0.13357013115408967,-4.205073785369546,2.6099699611998696e-05,0.004244111585107961,Amacr
ENSMUSG00000013611,193.57073068538685,-1.6190817930982757,0.2123245721059497,-7.625503619479124,2.4308349115446026e-14,4.994923773240241e-11,Snx31
ENSMUSG00000022425,4948.840041980155,-0.5458506617515239,0.15406009406934687,-3.543102222862598,0.0003954493844597289,0.0327739716651071,Enpp2
ENSMUSG00000022445,892.0282194815309,-0.9747426915411171,0.1320768457576606,-7.380117884777552,1.5814944000981064e-13,2.553322708958393e-10,Cyp2d26
ENSMUSG00000022679,7672.610006917328,-0.7400600199482515,0.10357250177216008,-7.145333049656787,8.977794641329041e-13,1.1936770133997666e-09,Mpv17l
ENSMUSG00000024222,932.3424495249895,-0.844971932062752,0.20563589477932653,-4.109068278033435,3.9725862098864616e-05,0.006108324224630183,Fkbp5
ENSMUSG00000024041,11.544262364527322,-2.989222218357374,0.7381474652366662,-4.049627424242342,5.12992394433267e-05,0.0073854567460988115,Cryaa
ENSMUSG00000067144,2718.6338152340577,-1.369955008842597,0.17234877197399118,-7.948736699147089,1.884230445882858e-15,6.08418010975575e-12,Slc22a7
ENSMUSG00000024065,642.2168285651169,-0.6031851160259211,0.13882820957499362,-4.344831053231198,1.3938289435576695e-05,0.0025203772488987205,Ehd3
ENSMUSG00000024424,512.7382767647256,-0.6399450522393685,0.17374241542252292,-3.6832977755206797,0.00023023594431968033,0.022144778933862703,Ttc39c
ENSMUSG00000061808,291.60506984278294,-1.618431983453089,0.2773760644875006,-5.834793230783691,5.385731337092118e-09,3.869357989186858e-06,Ttr
ENSMUSG00000024313,2227.387623718935,-0.6109423813702759,0.14944050143146242,-4.0881981492177415,4.3473674875219845e-05,0.0065948689476818395,Mep1b
ENSMUSG00000024485,662.1336168487773,-0.5160088901106639,0.1373257018927499,-3.7575550898233314,0.00017158160047648892,0.0177089448199547,Slc4a9
ENSMUSG00000069372,49.55719269034487,-3.585996268113011,0.4256752823099971,-8.424252986109531,3.6305906407280045e-17,2.0041217415570663e-13,Ctxn3
ENSMUSG00000033032,561.1635263696969,-0.5769251246467426,0.14836658829413926,-3.888511094579993,0.00010086106058329284,0.011912246285632104,Afap1l1
ENSMUSG00000024866,23888.373868829596,-0.5477552496872782,0.1353991199315399,-4.045486041299474,5.221467706127364e-05,0.007469673073518785,Acy3
ENSMUSG00000037477,52.81321664965553,-1.346726469666389,0.3439296232539132,-3.9157036167022468,9.014093050347266e-05,0.011073127457445611,Tbx10
ENSMUSG00000135122,1884.5706284710152,-0.6393804218526061,0.16126293551306622,-3.9648318432154595,7.344770522570573e-05,0.009651967914050154,Gm59199
ENSMUSG00000024757,1238.0889619620114,-1.1469645751814816,0.17267636816785328,-6.642278774745559,3.088700560843379e-11,3.3244713703210904e-08,Slc22a19
ENSMUSG00000053303,191.37589263721324,-0.9702793418714231,0.2150532193507412,-4.51181035466828,6.42766466035265e-06,0.001383661945885247,Slc22a26
ENSMUSG00000063590,2689.217189138072,-0.5843532199635176,0.13784678106241777,-4.239150275833567,2.2436743225749784e-05,0.0037565756083823877,Slc22a28
ENSMUSG00000052562,2626.3482676025465,-0.6416371120238221,0.11809164532688869,-5.4333827786691495,5.529561358380488e-08,2.906620357755213e-05,Slc22a30
ENSMUSG00000024694,21346.92516316648,-0.6291372471086627,0.12221453674415134,-5.147810267658446,2.635448580818125e-07,0.00010637329334327158,Keg1
ENSMUSG00000024640,347.17555060653524,-0.6591878617295313,0.1866018518574915,-3.532590138671053,0.00041150991305868455,0.03345812433404837,Psat1
ENSMUSG00000024795,139.76140887721482,-1.1140883160935615,0.2790870598421054,-3.9919024433589336,6.554533835016325e-05,0.0088713849265194,Kif20b
ENSMUSG00000017057,1221.5960987636524,-0.5206092862913075,0.14493796576239562,-3.5919455854980713,0.00032821839285582965,0.02853353974507814,Il13ra1
ENSMUSG00000062184,92.23531478635287,-1.056460510127894,0.275841963701459,-3.8299484819187652,0.0001281700896420196,0.014201120275385141,Hs6st2
ENSMUSG00000035232,923.3510668357173,-0.5125243866215395,0.1276874687852589,-4.013897303293624,5.9724339820582155e-05,0.008281897257451647,Pdk3
ENSMUSG00000031209,152.2044020778644,-0.956872223627989,0.20875983636287976,-4.583603054587053,4.570314742710872e-06,0.0010649775683452974,Heph
