,baseMean,log2FoldChange,lfcSE,stat,pvalue,adj_pvalue,Gene_name
ENSMUSG00000003623,7017.5192360598585,-0.8366990367365498,0.11216401727540272,-7.45960297304754,8.678358316962825e-14,1.5088994849100826e-10,Crot
ENSMUSG00000061906,13580.163402144884,-0.9992934677318964,0.12599894415203258,-7.930966997041904,2.174460050947196e-15,6.143665066444934e-12,Ugt2b38
ENSMUSG00000079262,2872.2902275394445,-0.7264533846490174,0.11891471953947809,-6.109028280622944,1.0023956673362957e-09,8.714288180308575e-07,Slco1a6
ENSMUSG00000030268,575.5260022749856,-1.1454492733841053,0.16886615908440133,-6.783178344286235,1.1756036233541075e-11,1.3286084349336446e-08,Bcat1
ENSMUSG00000034875,11178.570750202618,-1.0052384278502426,0.13344976986467155,-7.532710089119169,4.969787263125183e-14,9.361008459034877e-11,Nudt19
ENSMUSG00000013611,193.57073068538685,-1.6190817930982757,0.2123245721059497,-7.625503619479124,2.4308349115446026e-14,4.994923773240241e-11,Snx31
ENSMUSG00000022445,892.0282194815309,-0.9747426915411171,0.1320768457576606,-7.380117884777552,1.5814944000981064e-13,2.553322708958393e-10,Cyp2d26
ENSMUSG00000022679,7672.610006917328,-0.7400600199482515,0.10357250177216008,-7.145333049656787,8.977794641329041e-13,1.1936770133997666e-09,Mpv17l
ENSMUSG00000067144,2718.6338152340577,-1.369955008842597,0.17234877197399118,-7.948736699147089,1.884230445882858e-15,6.08418010975575e-12,Slc22a7
ENSMUSG00000069372,49.55719269034487,-3.585996268113011,0.4256752823099971,-8.424252986109531,3.6305906407280045e-17,2.0041217415570663e-13,Ctxn3
ENSMUSG00000024757,1238.0889619620114,-1.1469645751814816,0.17267636816785328,-6.642278774745559,3.088700560843379e-11,3.3244713703210904e-08,Slc22a19
