Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,adj_pvalue,Gene_name
ENSMUSG00000095079,338.0085022601593,5.013269159902917,0.511350373563241,9.803980634587145,1.0823426841451649e-22,2.446419168973316e-18,Igha
ENSMUSG00000073418,204.33010785249033,2.157356476713822,0.22982478400158757,9.386961837409665,6.175588201496322e-21,6.979341005921068e-17,C4b
ENSMUSG00000026417,1364.9416956146742,1.2487630832857237,0.13459461216795535,9.277957439540307,1.7275849256744864e-20,1.3016200691673472e-16,Pigr
ENSMUSG00000069372,49.55719269034487,-3.585996268113011,0.4256752823099971,-8.424252986109531,3.6305906407280045e-17,2.0041217415570663e-13,Ctxn3
ENSMUSG00000037053,1171.844227504868,1.104725562022923,0.1315019421772586,8.400830768976807,4.4333091659449325e-17,2.0041217415570663e-13,Azgp1
ENSMUSG00000076613,153.1759040586377,8.510732430949803,1.0516026147404431,8.093106950908851,5.816175326833912e-16,2.1910501818737818e-12,Ighg2b
ENSMUSG00000067144,2718.6338152340577,-1.369955008842597,0.17234877197399118,-7.948736699147089,1.884230445882858e-15,6.08418010975575e-12,Slc22a7
ENSMUSG00000061906,13580.163402144884,-0.9992934677318964,0.12599894415203258,-7.930966997041904,2.174460050947196e-15,6.143665066444934e-12,Ugt2b38
ENSMUSG00000002985,2947.7985590955564,0.9605388680719884,0.1221091522268273,7.86623156868465,3.6548373236850735e-15,9.178920891917079e-12,Apoe
ENSMUSG00000105906,56.72704248427436,4.524104092404557,0.5913309399106135,7.65071432434844,1.9986591627262796e-14,4.51756930551021e-11,Iglc1
ENSMUSG00000013611,193.57073068538685,-1.6190817930982757,0.2123245721059497,-7.625503619479124,2.4308349115446026e-14,4.994923773240241e-11,Snx31
ENSMUSG00000034875,11178.570750202618,-1.0052384278502426,0.13344976986467155,-7.532710089119169,4.969787263125183e-14,9.361008459034877e-11,Nudt19
ENSMUSG00000003623,7017.5192360598585,-0.8366990367365498,0.11216401727540272,-7.45960297304754,8.678358316962825e-14,1.5088994849100826e-10,Crot
ENSMUSG00000022445,892.0282194815309,-0.9747426915411171,0.1320768457576606,-7.380117884777552,1.5814944000981064e-13,2.553322708958393e-10,Cyp2d26
ENSMUSG00000076617,2117.0999721652647,5.472678385532723,0.7540317544310304,7.257888481980763,3.9317948730006726e-13,5.924690634295613e-10,Ighm
ENSMUSG00000076934,57.67545025919373,6.0324457887424625,0.8399897386658088,7.181570811000681,6.891497425372242e-13,9.735532269105548e-10,Iglv1
ENSMUSG00000022679,7672.610006917328,-0.7400600199482515,0.10357250177216008,-7.145333049656787,8.977794641329041e-13,1.1936770133997666e-09,Mpv17l
ENSMUSG00000053279,135.91798111244972,1.8542950710739179,0.26294096303525616,7.052134630028288,1.7619359848948225e-12,2.212502170365426e-09,Aldh1a1
ENSMUSG00000076609,181.3809749590248,6.1850019928121895,0.8808643043386908,7.021515075986173,2.1947512868292814e-12,2.6109454387474868e-09,Igkc
ENSMUSG00000030268,575.5260022749856,-1.1454492733841053,0.16886615908440133,-6.783178344286235,1.1756036233541075e-11,1.3286084349336446e-08,Bcat1
ENSMUSG00000024757,1238.0889619620114,-1.1469645751814816,0.17267636816785328,-6.642278774745559,3.088700560843379e-11,3.3244713703210904e-08,Slc22a19
ENSMUSG00000055653,442.8650175719071,1.1421522882869701,0.17777931158301027,6.4245511928066295,1.3225914719417496e-10,1.3588425018317893e-07,Gpc3
ENSMUSG00000076612,226.480678164438,7.6984197571860795,1.2098548392928241,6.3630937424574885,1.977299263646995e-10,1.943169358965784e-07,Ighg2c
ENSMUSG00000067149,306.2908137630175,5.043205617143498,0.8004764471346464,6.300254848466754,2.9715665489555715e-10,2.798596612751783e-07,Jchain
ENSMUSG00000009281,182.5904017641943,1.3639570382698023,0.22223939082258742,6.137332509872843,8.391861984950771e-10,7.587250257833691e-07,Rarres2
ENSMUSG00000079262,2872.2902275394445,-0.7264533846490174,0.11891471953947809,-6.109028280622944,1.0023956673362957e-09,8.714288180308575e-07,Slco1a6
ENSMUSG00000076569,27.599932598136842,7.803011523645194,1.286764272671785,6.0640567113690045,1.3273031872030568e-09,1.1111494051981737e-06,Igkv5-39
ENSMUSG00000057425,2020.996318483372,-1.0968790218367603,0.18310255030383882,-5.990517445096251,2.091744353945933e-09,1.6885606297228543e-06,Ugt2b37
ENSMUSG00000024747,155.64421870238826,1.5791529062655016,0.26600857260379573,5.936473741459294,2.9121753186222397e-09,2.269789611269603e-06,Aldh1a7
ENSMUSG00000062908,8778.08205779887,-0.65285052506665,0.11069685130474634,-5.897643134124609,3.687303735856289e-09,2.778137544718657e-06,Acadm
ENSMUSG00000061808,291.60506984278294,-1.618431983453089,0.2773760644875006,-5.834793230783691,5.385731337092118e-09,3.869357989186858e-06,Ttr
ENSMUSG00000076615,44.277981201136434,8.49800180405818,1.4571433968520104,5.831959862301218,5.478009806396471e-09,3.869357989186858e-06,Ighg3
ENSMUSG00000096852,5356.948903369412,2.108622195403453,0.3637425175149702,5.7970187532907,6.750414530527488e-09,4.623624837379176e-06,Cyp2d12
ENSMUSG00000026220,852.6512076384125,-1.0449860451472939,0.1808050042036752,-5.779630103435227,7.486504092447841e-09,4.976983882399958e-06,Slc16a14
ENSMUSG00000027463,818.476912971486,-0.7506957857903612,0.13030076832849255,-5.761253716461843,8.349142397237898e-09,5.391876160136235e-06,Slc52a3
ENSMUSG00000041801,171.98006841870384,1.4090148165101157,0.24523588161545598,5.745549171795065,9.162312566105326e-09,5.752659748102185e-06,Phlda3
ENSMUSG00000021416,1957.2882895299713,-0.6771638054522459,0.1181516433169166,-5.731310936030726,9.965738851281422e-09,6.087989060959837e-06,Eci3
ENSMUSG00000054385,349.8898611887399,1.2798106126660198,0.22823784213073606,5.607355032444341,2.054419611523993e-08,1.2220012231388635e-05,Ceacam2
ENSMUSG00000030218,1080.7299601063296,1.1095240981974532,0.20093721292117117,5.521745236073947,3.356489246650447e-08,1.945300678001027e-05,Mgp
ENSMUSG00000027870,4739.183890125757,1.0830167669859212,0.19795790391596688,5.4709448097897715,4.476426944332019e-08,2.5295169555684157e-05,Hao2
ENSMUSG00000036887,283.6714493955763,1.2519298268042562,0.229252785258826,5.460914358753938,4.736885277628746e-08,2.61141019342055e-05,C1qa
ENSMUSG00000005640,356.8006058019937,-1.044698240651691,0.19190628800829998,-5.443793694798096,5.215762460075506e-08,2.8069494972639683e-05,Insrr
ENSMUSG00000052562,2626.3482676025465,-0.6416371120238221,0.11809164532688869,-5.4333827786691495,5.529561358380488e-08,2.906620357755213e-05,Slc22a30
ENSMUSG00000062991,316.55715990835085,1.0256961623012038,0.19060194347638598,5.38135206595246,7.392844430829762e-08,3.797737787955571e-05,Nrg1
ENSMUSG00000001467,2695.904225087431,-0.769501609656375,0.14435830684254347,-5.330497610336319,9.794402229020436e-08,4.919619412945532e-05,Cyp51
ENSMUSG00000036330,4023.100722477574,-0.6398876214056372,0.12032645070973184,-5.317929828656401,1.0495452800088809e-07,5.15714607913929e-05,Slc18a1
ENSMUSG00000024164,363.94045806362556,1.040606561840301,0.19586538996691177,5.312865953582174,1.07914420556194e-07,5.189765208152453e-05,C3
ENSMUSG00000073421,2694.287666305311,0.8223500400345554,0.15515910187093707,5.300043826746268,1.1577488604404271e-07,5.45179114427812e-05,H2-Ab1
ENSMUSG00000113495,24.575806168347054,5.880914241415782,1.1120714100169937,5.288252344627685,1.2349053979856247e-07,5.661351618912957e-05,Gm19792
ENSMUSG00000021620,2624.584454741256,-0.6207384040221392,0.11743762273820099,-5.285686048038682,1.2523451796029194e-07,5.661351618912957e-05,Acot12
ENSMUSG00000032373,3486.1574191001537,-0.6360280565233548,0.1215931441786811,-5.230788798328232,1.6878826158753094e-07,7.480629562084238e-05,Car12
ENSMUSG00000078597,287.9409542050681,1.0595610771032167,0.20296234184092388,5.220481137006542,1.7845888419458486e-07,7.757127229711927e-05,Cyp4a12b
ENSMUSG00000093861,24.442545684070257,5.797325151730227,1.115348762399619,5.197768937545205,2.0169461544751645e-07,8.47297930085864e-05,Igkv1-110
ENSMUSG00000076614,109.28267138752624,6.722816801755487,1.2935715681287743,5.197096911677201,2.024248472531817e-07,8.47297930085864e-05,Ighg1
ENSMUSG00000027875,371.31211977209216,1.2454495796657652,0.24036889297741912,5.181409142583046,2.2021585146864693e-07,9.050070710446957e-05,Hmgcs2
ENSMUSG00000024694,21346.92516316648,-0.6291372471086627,0.12221453674415134,-5.147810267658446,2.635448580818125e-07,0.00010637329334327158,Keg1
ENSMUSG00000032327,83.03885727437344,1.803493407157663,0.35438193747246755,5.089123390488204,3.5972250160325836e-07,0.00014264574918839383,Stra6
ENSMUSG00000024610,4711.044573108261,0.8353829167889083,0.16464573419529877,5.073820593481016,3.89906689282919e-07,0.00015194932582520375,Cd74
ENSMUSG00000013415,137.71589674460805,1.2128765080463428,0.23991976516925761,5.055342177376206,4.2961978193406564e-07,0.00016184493218426144,Igf2bp1
ENSMUSG00000015484,340.20017734354803,-0.8581849237951075,0.16970074645820096,-5.0570486088373645,4.257947355861316e-07,0.00016184493218426144,Fam163a
ENSMUSG00000027249,50.39058321626713,2.130485380838275,0.42341956001885017,5.031617766414541,4.863582037742033e-07,0.00018021564721161173,F2
ENSMUSG00000032374,394.83818897579505,-0.7465529004332476,0.1492181131520068,-5.003098381714173,5.641613044296984e-07,0.0002024085391114996,Plod2
ENSMUSG00000040405,88.06832043284128,1.6336256457577447,0.3264900804932533,5.003599629396712,5.626956323459787e-07,0.0002024085391114996,Havcr1
ENSMUSG00000033533,2278.8956939490345,-0.7064020356719645,0.14141495164185333,-4.9952429178846245,5.876175458321609e-07,0.00020752999044444269,Acsm1
ENSMUSG00000002944,6903.454671540591,-0.6263056211458684,0.12602836271927748,-4.969560880045202,6.710469926359744e-07,0.00023334884883924504,Cd36
ENSMUSG00000027896,1262.1646344446747,-0.8278630973896113,0.16814335298795036,-4.923555303723117,8.498584422927694e-07,0.0002910507631991435,Slc16a4
ENSMUSG00000038775,1151.1599953773518,-0.675200144391646,0.13735993065541233,-4.9155539113184705,8.853178255146038e-07,0.00029866923597174014,Vill
ENSMUSG00000076604,14.570216651426378,6.896284902958186,1.4041722156441474,4.911281412725145,9.048311795337645e-07,0.0003007632228088482,Igkj1
ENSMUSG00000014813,124.98662786298723,1.7240526308902908,0.351707666641479,4.901947823183911,9.489104285903147e-07,0.0003108438031511143,Stc1
ENSMUSG00000094088,20.512049193944403,3.4233845293140894,0.6996207188520329,4.893200611513225,9.920918724147107e-07,0.0003203464656027101,Ighv1-64
ENSMUSG00000093930,6411.87604812369,-0.5719475833441788,0.1171647822727336,-4.8815657081392585,1.0524684177929065e-06,0.00033040199510240366,Hmgcs1
ENSMUSG00000133422,59.27275701798304,2.5508495408167997,0.5223280460325024,4.8836158812312185,1.0415788963011098e-06,0.00033040199510240366,Gm60920
ENSMUSG00000076577,23.439859995181937,5.115319777001981,1.0501725417244496,4.870932702736927,1.1107266978695502e-06,0.000343914459615691,Igkv8-30
ENSMUSG00000030798,33.004710785546806,2.281360204058469,0.47066593753299624,4.847090095400271,1.2528553991963492e-06,0.0003826796025410146,Cd37
ENSMUSG00000051483,319.7369825428254,0.783894928438064,0.16213219893404712,4.834912087739835,1.3320449000760756e-06,0.0004014428116855938,Cbr1
ENSMUSG00000019577,391.1858011263336,-0.7863714680260429,0.16290776683842334,-4.827096235417609,1.3853818576589932e-06,0.0004120235016929766,Pdk4
ENSMUSG00000076556,12.640224298556522,6.669347920002834,1.3827970218065968,4.823085250277343,1.413545185063374e-06,0.00041493976386996676,Igkv4-57
ENSMUSG00000032434,6517.7657232986885,-0.524288260438168,0.10933722827396736,-4.795148630660856,1.6255426093980257e-06,0.0004669248617089553,Cmtm6
ENSMUSG00000076937,46.02128242862818,4.802464008314738,1.0016904366793644,4.794359447251048,1.6319543456624108e-06,0.0004669248617089553,Iglc2
ENSMUSG00000005547,490.65383833037873,0.9980612888850541,0.20846966791135263,4.787561178010121,1.6882028346239894e-06,0.0004769806083875754,Cyp2a5
ENSMUSG00000021456,194.6257977687815,0.9459844688086366,0.1985953624777438,4.763376430376875,1.9038021286933108e-06,0.0005312548088253692,Fbp2
ENSMUSG00000033715,2374.978556363906,-0.7788799036319966,0.1636254324671554,-4.7601396181998865,1.9345908328803928e-06,0.0005332628853121405,Akr1c14
ENSMUSG00000022304,317.32237518058736,0.880412334047165,0.18547605719721474,4.746770808865275,2.0668993061728518e-06,0.0005628689761135538,Dpys
ENSMUSG00000033220,110.12741005016053,1.3975659347661424,0.2964895792356504,4.713710135678512,2.4324662509148678e-06,0.000654536127017009,Rac2
ENSMUSG00000048330,51.725144916189954,2.0319149171910937,0.43198861135987676,4.703630752659741,2.5557529094070255e-06,0.0006796198001332588,Ric3
ENSMUSG00000073411,4903.564765816236,0.5702038913888148,0.12142701640391572,4.695856888158104,2.6549138029111547e-06,0.0006977792638046608,H2-D1
ENSMUSG00000035493,304.0474645462265,0.906745429608923,0.19365366701859585,4.682304464298379,2.836677310336868e-06,0.0007369818074200486,Tgfbi
