,baseMean,log2FoldChange,lfcSE,stat,pvalue,adj_pvalue,Gene_name
ENSMUSG00000026417,1364.9416956146742,1.2487630832857237,0.13459461216795535,9.277957439540307,1.7275849256744864e-20,1.3016200691673472e-16,Pigr
ENSMUSG00000067149,306.2908137630175,5.043205617143498,0.8004764471346464,6.300254848466754,2.9715665489555715e-10,2.798596612751783e-07,Jchain
ENSMUSG00000037053,1171.844227504868,1.104725562022923,0.1315019421772586,8.400830768976807,4.4333091659449325e-17,2.0041217415570663e-13,Azgp1
ENSMUSG00000009281,182.5904017641943,1.3639570382698023,0.22223939082258742,6.137332509872843,8.391861984950771e-10,7.587250257833691e-07,Rarres2
ENSMUSG00000076609,181.3809749590248,6.1850019928121895,0.8808643043386908,7.021515075986173,2.1947512868292814e-12,2.6109454387474868e-09,Igkc
ENSMUSG00000002985,2947.7985590955564,0.9605388680719884,0.1221091522268273,7.86623156868465,3.6548373236850735e-15,9.178920891917079e-12,Apoe
ENSMUSG00000095079,338.0085022601593,5.013269159902917,0.511350373563241,9.803980634587145,1.0823426841451649e-22,2.446419168973316e-18,Igha
ENSMUSG00000076612,226.480678164438,7.6984197571860795,1.2098548392928241,6.3630937424574885,1.977299263646995e-10,1.943169358965784e-07,Ighg2c
ENSMUSG00000076613,153.1759040586377,8.510732430949803,1.0516026147404431,8.093106950908851,5.816175326833912e-16,2.1910501818737818e-12,Ighg2b
ENSMUSG00000076617,2117.0999721652647,5.472678385532723,0.7540317544310304,7.257888481980763,3.9317948730006726e-13,5.924690634295613e-10,Ighm
ENSMUSG00000105906,56.72704248427436,4.524104092404557,0.5913309399106135,7.65071432434844,1.9986591627262796e-14,4.51756930551021e-11,Iglc1
ENSMUSG00000076934,57.67545025919373,6.0324457887424625,0.8399897386658088,7.181570811000681,6.891497425372242e-13,9.735532269105548e-10,Iglv1
ENSMUSG00000073418,204.33010785249033,2.157356476713822,0.22982478400158757,9.386961837409665,6.175588201496322e-21,6.979341005921068e-17,C4b
ENSMUSG00000053279,135.91798111244972,1.8542950710739179,0.26294096303525616,7.052134630028288,1.7619359848948225e-12,2.212502170365426e-09,Aldh1a1
ENSMUSG00000055653,442.8650175719071,1.1421522882869701,0.17777931158301027,6.4245511928066295,1.3225914719417496e-10,1.3588425018317893e-07,Gpc3
