logFC,logCPM,F,PValue,FDR,Gene_name
ENSMUSG00000069372,-3.60562707859011,2.00113702461431,84.5376012721721,4.65163216869853e-07,0.00176064277585239,Ctxn3
ENSMUSG00000061906,-0.991262172403408,10.0979203808267,74.339475240806,9.6705138757449e-07,0.00230493100670975,Ugt2b38
ENSMUSG00000013611,-1.59789805590954,3.96461841518773,72.2278654684258,1.13704567317492e-06,0.00230493100670975,Snx31
ENSMUSG00000022445,-0.963590207579773,6.17031047251062,71.361114559168,1.2152413129949e-06,0.00230493100670975,Cyp2d26
ENSMUSG00000034875,-0.999290587213195,9.81640553259167,70.40102409191,1.31031945746679e-06,0.00230493100670975,Nudt19
ENSMUSG00000003623,-0.828856291467258,9.14573082390289,69.783932260463,1.37600116125265e-06,0.00230493100670975,Crot
ENSMUSG00000067144,-1.36542471178917,7.77710422149773,65.3903943539416,1.97088695746398e-06,0.00249604970423895,Slc22a7
ENSMUSG00000022679,-0.732684752442743,9.27442602043702,65.3452860839717,1.97837493070458e-06,0.00249604970423895,Mpv17l
ENSMUSG00000030268,-1.14205470724075,5.53913793083726,59.0519441994022,3.43731287827826e-06,0.0037631364821678,Bcat1
ENSMUSG00000079262,-0.718714296838749,7.85720847189284,49.0367161008696,9.24127130567531e-06,0.0076039591069524,Slco1a6
ENSMUSG00000024757,-1.14208710716843,6.64271724489403,48.1970640928209,1.01137782572238e-05,0.00777590816984639,Slc22a19
ENSMUSG00000027463,-0.746583154912447,6.04780221485002,47.2306307154421,1.12381530692362e-05,0.00787711284575166,Slc52a3
ENSMUSG00000021416,-0.66891177520028,7.30394459581067,44.3370307147191,1.55726094538779e-05,0.0104223083263656,Eci3
ENSMUSG00000062908,-0.645612698865111,9.46868703345032,44.1190903608103,1.59707762993185e-05,0.0104223083263656,Acadm
ENSMUSG00000021214,-2.27284455612864,3.91306551887053,42.0124354036522,2.05124497512088e-05,0.0125225197271493,Akr1c18
ENSMUSG00000071177,-1.63021128648493,5.95265517305277,39.7804735390882,2.69803504285288e-05,0.0159563478706221,Serpina1d
