logFC,logCPM,F,PValue,FDR,Gene_name
ENSMUSG00000026417,1.25888672096989,6.78933733072228,107.865464629285,7.35223935992925e-08,0.0012820788331066,Pigr
ENSMUSG00000073418,2.15379297420473,4.06912805739564,97.2074288303363,1.38758056925437e-07,0.0012820788331066,C4b
ENSMUSG00000037053,1.11357627897833,6.5696909976177,91.1878601317505,2.03235746331297e-07,0.0012820788331066,Azgp1
ENSMUSG00000002985,0.967568967620757,7.8980201850707,77.8517239908679,5.19463047624624e-07,0.00179328768511112,Apoe
ENSMUSG00000053279,1.92390747690257,3.49451552431555,61.4369843336401,2.04698792220459e-06,0.00297994203290168,Aldh1a1
ENSMUSG00000095079,5.10274074752406,4.78884713624894,86.6293362261294,3.77580196483231e-06,0.00476380347896343,Igha
ENSMUSG00000055653,1.14901458909675,5.17212983679389,51.4980062270086,5.45230974593955e-06,0.00607782871196759,Gpc3
ENSMUSG00000105906,4.51608040288795,2.27724651221476,45.9445503240868,5.45960835421131e-06,0.00607782871196759,Iglc1
ENSMUSG00000076934,5.9641439715558,2.30522441938333,43.292235708134,6.08921770926774e-06,0.00640213584154956,Iglv1
ENSMUSG00000009281,1.35578170825233,3.90860797653635,43.0593337688109,1.43096840134393e-05,0.0112837820814308,Rarres2
ENSMUSG00000076613,8.26088755810571,3.66079967292639,51.2292065605345,2.20760625627955e-05,0.0167115793600362,Ighg2b
ENSMUSG00000024747,1.56847794384464,3.69409314219917,38.6089364793531,2.53034055280481e-05,0.0177358129488263,Aldh1a7
ENSMUSG00000041801,1.36115526399123,3.82962521146769,38.0356480611676,2.73153098084477e-05,0.0184622227901741,Phlda3
ENSMUSG00000094088,3.29702659877545,0.908617139071494,32.1851421621174,3.61140608403927e-05,0.0207108667092252,Ighv1-64
ENSMUSG00000113495,5.60101704788066,1.13604628901179,33.8902600940812,3.78506824990199e-05,0.021068357832175,Gm19792
ENSMUSG00000062991,1.01241209263035,4.69256615915008,34.6266883799881,4.396772694918e-05,0.0212061464859882,Nrg1
ENSMUSG00000051483,0.790290177613602,4.70488579904378,33.7536583826217,4.99529202953639e-05,0.022508548014042,Cbr1
ENSMUSG00000078597,1.06501924038908,4.55878049171056,33.1061960041138,5.50032079900924e-05,0.0236576298002841,Cyp4a12b
ENSMUSG00000054385,1.25356072910737,4.84043899840037,32.7088301181897,5.83873896493236e-05,0.024084874121981,Ceacam2
ENSMUSG00000024164,1.02614974197307,4.89019699745345,31.6486171712603,6.86573767663204e-05,0.0272664436260933,C3
ENSMUSG00000013415,1.20021742347819,3.51173561701123,31.5094256753457,7.02134149842617e-05,0.0272664436260933,Igf2bp1
ENSMUSG00000021456,0.946595591316739,4.00017453529211,31.4704882284262,7.05973969711267e-05,0.0272664436260933,Fbp2
ENSMUSG00000073421,0.826974024639168,7.76861721536714,30.7871944155111,7.85362783460816e-05,0.0280433786358414,H2-Ab1
ENSMUSG00000030798,2.27957709042794,1.55567046330981,30.1323292973875,8.36450649130787e-05,0.0287856630137535,Cd37
ENSMUSG00000027663,0.804699063298569,4.26976709315956,30.3409408680791,8.43204563047462e-05,0.0287856630137535,Zmat3
ENSMUSG00000022304,0.898622418287154,4.69433531680401,30.0378662811463,8.85027978129303e-05,0.0287856630137535,Dpys
ENSMUSG00000093861,5.66830837901048,1.16957932846913,28.6504044717142,8.8923443912575e-05,0.0287856630137535,Igkv1-110
ENSMUSG00000030830,1.4499845169429,2.39868962066714,29.7557925387423,9.33867687966221e-05,0.028972862286493,Itgal
ENSMUSG00000036887,1.25317123549552,4.53148605252205,29.2957682693384,9.98209594592527e-05,0.0302024261540907,C1qa
ENSMUSG00000096852,2.12843727678027,8.76070280153522,46.3246206997521,0.000110737049898269,0.0317530101412841,Cyp2d12
ENSMUSG00000073411,0.576923359290039,8.63094602848045,27.9788005693463,0.000124206427685615,0.0345677447639744,H2-D1
ENSMUSG00000024610,0.840917897941725,8.573187741782,27.2469675564937,0.000140707532713819,0.0361812875240983,Cd74
ENSMUSG00000023122,0.579901895028872,6.56300889119568,27.0674510035395,0.000145132470796284,0.0361812875240983,Sult1c2
ENSMUSG00000040405,1.58928789314839,2.89164857359033,27.0587500783358,0.000145965999594906,0.0361812875240983,Havcr1
ENSMUSG00000056708,0.815023458552944,4.1983421475177,27.0080838072239,0.000146667917159449,0.0361812875240983,Ier5
ENSMUSG00000035493,0.900961369631018,4.6345059945685,26.8383974329976,0.000151034172491613,0.0361812875240983,Tgfbi
ENSMUSG00000026249,0.790707754360103,4.99279166105873,26.69434015183,0.000154861426842491,0.0361821296665944,Serpine2
ENSMUSG00000076569,8.61194503480661,1.2824415614213,29.538401208154,0.000167865978416436,0.0387422395308664,Igkv5-39
ENSMUSG00000035681,1.40898646171609,2.14507398201408,26.1337801715436,0.000172463345951098,0.0390399864814509,Kcnc2
ENSMUSG00000030218,1.10204544363333,6.45468931276283,27.5489683839784,0.000180840870092783,0.0402636878412462,Mgp
ENSMUSG00000005547,1.04165445864437,5.31629193955657,25.5670976698257,0.000189070835909386,0.0406232542089058,Cyp2a5
ENSMUSG00000095630,4.32808177479929,0.00359483388831462,24.568617750912,0.000189779532713878,0.0406232542089058,Igkv6-23
ENSMUSG00000056290,1.5733256128145,1.76381832865367,25.3974124539902,0.000196376424479325,0.0406232542089058,Ms4a4b
ENSMUSG00000023067,1.01773713398998,3.52167001438761,25.2593273472738,0.000199986000903271,0.0406232542089058,Cdkn1a
ENSMUSG00000030671,1.00887169743042,3.93560079531951,25.1910234215141,0.000202423871048435,0.0406232542089058,Pde3b
ENSMUSG00000094335,3.55763715795321,0.36647076877602,22.5565011899005,0.000203921223241535,0.0406232542089058,Igkv1-117
ENSMUSG00000027962,0.868128983294448,4.66337699566087,24.2847073928764,0.000239058577596604,0.0465440311167141,Vcam1
ENSMUSG00000027249,2.06839427321544,2.1222356802542,24.1659694382731,0.000245939398238912,0.0465440311167141,F2
