Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR020846:MFS_dom	3	30.0	8.3278010048875E-4	ENSMUSG00000067144, ENSMUSG00000024757, ENSMUSG00000079262	10	97	19841	61.363917525773196	0.027928891060229666	0.0283145234166175	0.0283145234166175
KEGG_PATHWAY	mmu04976:Bile secretion	3	30.0	0.0017427731298281445	ENSMUSG00000067144, ENSMUSG00000061906, ENSMUSG00000079262	7	99	9008	38.99567099567099	0.03596739664763793	0.03659823572639104	0.03659823572639104
INTERPRO	IPR036259:MFS_trans_sf	3	30.0	0.001771710634098784	ENSMUSG00000067144, ENSMUSG00000024757, ENSMUSG00000079262	10	142	19841	41.917605633802815	0.05851003264809573	0.030119080779679328	0.030119080779679328
GOTERM_MF_DIRECT	GO:0022857~transmembrane transporter activity	3	30.0	0.003929778047340663	ENSMUSG00000067144, ENSMUSG00000024757, ENSMUSG00000079262	10	218	20307	27.945412844036696	0.1287385692059203	0.1375422316569232	0.1375422316569232
UP_KW_DOMAIN	KW-0812~Transmembrane	7	70.0	0.0052139259839736685	ENSMUSG00000067144, ENSMUSG00000022679, ENSMUSG00000024757, ENSMUSG00000061906, ENSMUSG00000069372, ENSMUSG00000079262, ENSMUSG00000022445	7	5611	13471	2.400819818214222	0.015560364620125666	0.015641777951921006	0.015641777951921006
GOTERM_CC_DIRECT	GO:0016323~basolateral plasma membrane	3	30.0	0.007113569355762156	ENSMUSG00000067144, ENSMUSG00000024757, ENSMUSG00000079262	10	306	21011	20.599019607843136	0.1142874832220504	0.12093067904795665	0.12093067904795665
GOTERM_BP_DIRECT	GO:0015711~organic anion transport	2	20.0	0.012726401526904511	ENSMUSG00000067144, ENSMUSG00000024757	9	33	20632	138.93602693602693	0.40852218956686015	0.3059217423495993	0.3059217423495993
UP_SEQ_FEATURE	TRANSMEM:Helical	7	70.0	0.013403964138600878	ENSMUSG00000067144, ENSMUSG00000022679, ENSMUSG00000024757, ENSMUSG00000061906, ENSMUSG00000069372, ENSMUSG00000079262, ENSMUSG00000022445	9	6067	19575	2.5094775012361956	0.4011805291188443	0.48380579071782426	0.48380579071782426
UP_KW_BIOLOGICAL_PROCESS	KW-0406~Ion transport	3	30.0	0.01687569388707427	ENSMUSG00000067144, ENSMUSG00000024757, ENSMUSG00000079262	5	608	11037	10.891776315789473	0.09707723953163361	0.06137263649450579	0.06137263649450579
INTERPRO	IPR005828:MFS_sugar_transport-like	2	20.0	0.017555695655613407	ENSMUSG00000067144, ENSMUSG00000024757	10	39	19841	101.74871794871795	0.4523918125776989	0.19896455076361863	0.19896455076361863
GOTERM_BP_DIRECT	GO:0055085~transmembrane transport	3	30.0	0.017977145712001024	ENSMUSG00000067144, ENSMUSG00000024757, ENSMUSG00000079262	9	552	20632	12.458937198067632	0.5246807547333785	0.3059217423495993	0.3059217423495993
UP_KW_BIOLOGICAL_PROCESS	KW-0813~Transport	4	40.0	0.020457545498168597	ENSMUSG00000067144, ENSMUSG00000024757, ENSMUSG00000079262, ENSMUSG00000013611	5	1997	11037	4.421432148222333	0.11663623384877009	0.06137263649450579	0.06137263649450579
GOTERM_BP_DIRECT	GO:0006811~monoatomic ion transport	3	30.0	0.02238451773289751	ENSMUSG00000067144, ENSMUSG00000024757, ENSMUSG00000079262	9	620	20632	11.09247311827957	0.6047326867772144	0.3059217423495993	0.3059217423495993
UP_SEQ_FEATURE	DOMAIN:Major facilitator superfamily (MFS) profile	2	20.0	0.02546346266935917	ENSMUSG00000067144, ENSMUSG00000079262	9	63	19575	69.04761904761904	0.6247430014737287	0.48380579071782426	0.48380579071782426
UP_KW_DOMAIN	KW-1133~Transmembrane helix	6	60.0	0.03251435506958829	ENSMUSG00000067144, ENSMUSG00000022679, ENSMUSG00000024757, ENSMUSG00000069372, ENSMUSG00000079262, ENSMUSG00000022445	7	5121	13471	2.25474935141016	0.09440588898471258	0.04877153260438243	0.04877153260438243
GOTERM_CC_DIRECT	GO:0009925~basal plasma membrane	2	20.0	0.0350027337856521	ENSMUSG00000067144, ENSMUSG00000079262	10	83	21011	50.628915662650606	0.45431324679748075	0.22793086097265727	0.22793086097265727
GOTERM_BP_DIRECT	GO:0006805~xenobiotic metabolic process	2	20.0	0.04000226161537677	ENSMUSG00000079262, ENSMUSG00000022445	9	105	20632	43.665608465608464	0.8124666092201587	0.41002318155761186	0.41002318155761186
