Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR003597:Ig_C1-set	9	50.0	1.2891038531918228E-16	ENSMUSG00000076937, ENSMUSG00000076609, ENSMUSG00000037053, ENSMUSG00000095079, ENSMUSG00000105906, ENSMUSG00000076613, ENSMUSG00000076934, ENSMUSG00000076615, ENSMUSG00000076617	15	79	19841	150.69113924050632	3.219646771412954E-15	3.738401174256286E-15	3.738401174256286E-15
SMART	SM00407:IGc1	8	44.44444444444444	1.3405955471796516E-15	ENSMUSG00000076937, ENSMUSG00000076609, ENSMUSG00000095079, ENSMUSG00000105906, ENSMUSG00000076613, ENSMUSG00000076934, ENSMUSG00000076615, ENSMUSG00000076617	8	77	9860	128.05194805194805	3.9968028886505635E-15	4.021786641538955E-15	2.6811910943593032E-15
INTERPRO	IPR003006:Ig/MHC_CS	8	44.44444444444444	1.3572182694035638E-14	ENSMUSG00000076937, ENSMUSG00000076609, ENSMUSG00000095079, ENSMUSG00000105906, ENSMUSG00000076613, ENSMUSG00000076934, ENSMUSG00000076615, ENSMUSG00000076617	15	68	19841	155.6156862745098	3.927969061123804E-13	1.9679664906351675E-13	1.9679664906351675E-13
GOTERM_CC_DIRECT	GO:0071735~IgG immunoglobulin complex	5	27.77777777777778	2.1141813127064206E-11	ENSMUSG00000076937, ENSMUSG00000076609, ENSMUSG00000105906, ENSMUSG00000076613, ENSMUSG00000076615	16	9	21011	729.5486111111111	1.1416607659242572E-9	1.1416579088614671E-9	9.936652169720176E-10
GOTERM_MF_DIRECT	GO:0003823~antigen binding	7	38.88888888888889	4.0878734518702794E-11	ENSMUSG00000076937, ENSMUSG00000067149, ENSMUSG00000095079, ENSMUSG00000105906, ENSMUSG00000076613, ENSMUSG00000076615, ENSMUSG00000076617	14	112	20307	90.65625	1.88042226234586E-9	1.8804217878603285E-9	1.6351493807481119E-9
INTERPRO	IPR050380:Immune_Resp_Modulators	5	27.77777777777778	1.5459824485679333E-10	ENSMUSG00000076609, ENSMUSG00000095079, ENSMUSG00000076613, ENSMUSG00000076615, ENSMUSG00000076617	15	14	19841	472.40476190476187	4.483348470252224E-9	1.4944497002823354E-9	1.4944497002823354E-9
GOTERM_MF_DIRECT	GO:0034987~immunoglobulin receptor binding	5	27.77777777777778	2.391314133214743E-10	ENSMUSG00000067149, ENSMUSG00000095079, ENSMUSG00000076613, ENSMUSG00000076615, ENSMUSG00000076617	14	17	20307	426.61764705882354	1.1000043431685924E-8	5.5000225063939094E-9	4.7826282664294865E-9
INTERPRO	IPR007110:Ig-like_dom	9	50.0	4.788145146980198E-9	ENSMUSG00000076937, ENSMUSG00000076609, ENSMUSG00000037053, ENSMUSG00000095079, ENSMUSG00000105906, ENSMUSG00000076613, ENSMUSG00000076934, ENSMUSG00000076615, ENSMUSG00000076617	15	684	19841	17.40438596491228	1.3885619865039445E-7	3.4714052315606434E-8	3.4714052315606434E-8
INTERPRO	IPR036179:Ig-like_dom_sf	9	50.0	7.892771149488338E-9	ENSMUSG00000076937, ENSMUSG00000076609, ENSMUSG00000037053, ENSMUSG00000095079, ENSMUSG00000105906, ENSMUSG00000076613, ENSMUSG00000076934, ENSMUSG00000076615, ENSMUSG00000076617	15	729	19841	16.330041152263373	2.2889033668427317E-7	4.577807266703236E-8	4.577807266703236E-8
GOTERM_CC_DIRECT	GO:0042571~immunoglobulin complex, circulating	4	22.22222222222222	1.0285091112362323E-8	ENSMUSG00000095079, ENSMUSG00000076613, ENSMUSG00000076615, ENSMUSG00000076617	16	7	21011	750.3928571428571	5.553947687308991E-7	2.7769746003378275E-7	2.416996411405146E-7
GOTERM_BP_DIRECT	GO:0016064~immunoglobulin mediated immune response	6	33.33333333333333	2.6481202796060032E-8	ENSMUSG00000076937, ENSMUSG00000095079, ENSMUSG00000105906, ENSMUSG00000076613, ENSMUSG00000076615, ENSMUSG00000076617	17	121	20632	60.180845892075844	6.143620255638638E-6	6.117157845889867E-6	5.931789426317447E-6
UP_SEQ_FEATURE	DOMAIN:Ig-like	8	44.44444444444444	3.427321689098828E-8	ENSMUSG00000076937, ENSMUSG00000076609, ENSMUSG00000095079, ENSMUSG00000105906, ENSMUSG00000076613, ENSMUSG00000076934, ENSMUSG00000076615, ENSMUSG00000076617	14	596	19575	18.767976989453498	1.6451130876449227E-6	1.6451144107674374E-6	1.576567976985461E-6
UP_KW_DOMAIN	KW-0393~Immunoglobulin domain	8	44.44444444444444	6.359081028857979E-8	ENSMUSG00000076937, ENSMUSG00000076609, ENSMUSG00000095079, ENSMUSG00000105906, ENSMUSG00000076613, ENSMUSG00000076934, ENSMUSG00000076615, ENSMUSG00000076617	13	501	13471	16.546599109473362	3.8154480108687494E-7	3.815448617314787E-7	3.815448617314787E-7
GOTERM_BP_DIRECT	GO:0019731~antibacterial humoral response	5	27.77777777777778	6.901457999337198E-8	ENSMUSG00000067149, ENSMUSG00000095079, ENSMUSG00000076613, ENSMUSG00000076615, ENSMUSG00000076617	17	53	20632	114.49500554938957	1.6011254917014384E-5	6.4542233402151366E-6	6.258640814754072E-6
INTERPRO	IPR013783:Ig-like_fold	9	50.0	7.558546067232237E-8	ENSMUSG00000076937, ENSMUSG00000076609, ENSMUSG00000037053, ENSMUSG00000095079, ENSMUSG00000105906, ENSMUSG00000076613, ENSMUSG00000076934, ENSMUSG00000076615, ENSMUSG00000076617	15	974	19841	12.222381930184804	2.1919760397892674E-6	3.653297265828914E-7	3.653297265828914E-7
GOTERM_BP_DIRECT	GO:0002455~humoral immune response mediated by circulating immunoglobulin	4	22.22222222222222	8.382108234045632E-8	ENSMUSG00000095079, ENSMUSG00000076613, ENSMUSG00000076615, ENSMUSG00000076617	17	12	20632	404.54901960784315	1.94463028262426E-5	6.4542233402151366E-6	6.258640814754072E-6
UP_SEQ_FEATURE	DISULFID:Interchain (with heavy chain)	3	16.666666666666664	2.441006882302564E-6	ENSMUSG00000076937, ENSMUSG00000067149, ENSMUSG00000076617	14	4	19575	1048.6607142857142	1.1716160939712061E-4	5.858416517526154E-5	5.6143158292958976E-5
GOTERM_BP_DIRECT	GO:0006958~complement activation, classical pathway	4	22.22222222222222	3.4378345615557924E-6	ENSMUSG00000095079, ENSMUSG00000076613, ENSMUSG00000076615, ENSMUSG00000076617	17	39	20632	124.47662141779789	7.972610076820708E-4	1.98534945929847E-4	1.9251873544712437E-4
GOTERM_CC_DIRECT	GO:0005615~extracellular space	8	44.44444444444444	3.2409665341749707E-5	ENSMUSG00000067149, ENSMUSG00000009281, ENSMUSG00000037053, ENSMUSG00000095079, ENSMUSG00000076613, ENSMUSG00000002985, ENSMUSG00000076615, ENSMUSG00000076617	16	1476	21011	7.117547425474255	0.0017486196695531975	5.833739761514947E-4	5.077514236874121E-4
INTERPRO	IPR050160:MHC/Immunoglobulin	3	16.666666666666664	7.028380321532923E-5	ENSMUSG00000076937, ENSMUSG00000105906, ENSMUSG00000076934	15	18	19841	220.45555555555558	0.002036225997215979	2.9117575617779255E-4	2.9117575617779255E-4
GOTERM_CC_DIRECT	GO:0005576~extracellular region	8	44.44444444444444	1.7851853056582003E-4	ENSMUSG00000076937, ENSMUSG00000076609, ENSMUSG00000067149, ENSMUSG00000009281, ENSMUSG00000037053, ENSMUSG00000076613, ENSMUSG00000002985, ENSMUSG00000076617	16	1926	21011	5.454569055036345	0.009594537097536326	0.0024100001626385704	0.0020975927341483854
UP_KW_PTM	KW-1015~Disulfide bond	11	61.111111111111114	2.4179583416959128E-4	ENSMUSG00000076937, ENSMUSG00000055653, ENSMUSG00000076609, ENSMUSG00000067149, ENSMUSG00000009281, ENSMUSG00000037053, ENSMUSG00000095079, ENSMUSG00000105906, ENSMUSG00000076613, ENSMUSG00000076934, ENSMUSG00000076617	14	3576	13304	2.923138382869926	0.0021740589464591675	0.002417958341695913	0.002417958341695913
GOTERM_BP_DIRECT	GO:0045807~positive regulation of endocytosis	3	16.666666666666664	2.9355745128326446E-4	ENSMUSG00000055653, ENSMUSG00000002985, ENSMUSG00000076617	17	33	20632	110.33155080213905	0.06584726573105826	0.013562354249286819	0.013151373817490247
GOTERM_MF_DIRECT	GO:0106373~3-deoxyglucosone dehydrogenase activity	2	11.11111111111111	0.001279968362735034	ENSMUSG00000024747, ENSMUSG00000053279	14	2	20307	1450.4999999999998	0.057214283583058356	0.01962618156193719	0.017066244836467123
GOTERM_CC_DIRECT	GO:0071752~secretory dimeric IgA immunoglobulin complex	2	11.11111111111111	0.0014273478063985703	ENSMUSG00000067149, ENSMUSG00000095079	16	2	21011	1313.1875	0.07423220917671203	0.015415356309104561	0.013417069380146562
