Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Cellular_Component_2026__Mitochondrial Matrix (GO:0005759),-0.5403949746926111,-2.8653087085811793,0.001,0.001,0.001,180/402,17.56%,ACADM;ACSM3;PDK4;ACSM1;PDK3;CLPX;SUOX;ADHFE1;PDSS1;ACADL;COASY;ACO2;ACAT1;NFS1;HSPD1;NAXD;GLS;ACOT11;ACAD10;PRDX3;GRPEL2;CDK1;MCCC1;AGXT2;PDHA1;OXSM;HADH;DECR1;RTN4IP1;NDUFS1;TRAP1;NMNAT3;AADAT;PRORP;ACAD8;GARS1;ALDH4A1;GLUD1;MRPL39;TYMS;SUCLA2;DLD;DNAJC19;GFM1;GCDH;NDUFS2;AASS;ELAC2;TRIT1;HIBCH;CS;PDHB;OGDH;LACTB2;MECR;TRMT2B;FXN;ABCE1;AK3;METTL15;ACSM5;TIMM44;ATP5F1A;OXCT1;ATP5PB;NDUFA9;PTCD3;PMPCB;GFM2;SHMT2;NIPSNAP1;FASTKD1;LRPPRC;SSBP1;ABHD11;ATP5F1B;AURKAIP1;BCO2;NIPSNAP2;ETFA;TST;GRPEL1;DLAT;HOGA1;PRDX5;RARS2;ALDH6A1;NRDC;PYROXD2;PRKACA;IDH3A;UQCRFS1;ISCA2;ACSF3;DLST;PDHX;IDH3G;HIBADH;TFAM;ARG2;ACADSB;ATP5F1C;ACADVL;HSPA9;SOD2;THEM4;RPUSD3;PGK1;MRPL35;TXN2;QARS1;IDH3B;MRPL32;BDH1;REXO2;GSTZ1;ACOT9;ACSS1;SIRT3;DBT;GCSH;NAT8L;MCCC2;DHX30;MTIF2;NUDT9;IVD;DNAJC15;SDHA;PCCB;MRPS10;PMPCA;BCKDHA;TOP3A;NDUFS3;YARS2;MRPL18;HMGCL;FLAD1;HPDL;SUCLG1;METTL8;FASTKD5;ECHS1;PHYKPL;OAT;MSRA;HAGH;FAHD1;NSUN4;DARS2;ACADS;FDX1;AK4;MRPS14;LYRM4;RNASEL;CDK5RAP1;ISCA1;SUPV3L1;SARDH;MRPL34;TEFM;YWHAG;POLDIP2;MTERF2;GLYAT;IBA57;PNPT1;GRSF1;TRMT10C;SUCLG2;NSUN3;GSR;MTERF3;GLDC;GLRX5;PCK2;PCCA;DNAJA3
prerank,KEGG_2019_Mouse__Leishmaniasis,0.6070440331339055,2.291449176606226,0.001,0.001,0.001,31/61,21.50%,C3;H2-AB1;H2-AA;H2-EB1;H2-DMA;ITGB2;PRKCB;H2-DMB2;CYBB;FOS;H2-OB;H2-DMB1;H2-OA;TGFB3;TGFB2;NCF4;NFKB1;IL12B;MAPK11;TRAF6;TLR4;TGFB1;MAPK12;PTGS2;NFKBIB;FCGR4;TNF;ITGAM;STAT1;JAK2;MARCKSL1
prerank,"KEGG_2019_Mouse__Valine, leucine and isoleucine degradation",-0.5840116218059334,-2.2283225883717837,0.001,0.001,0.002,27/50,13.55%,BCAT1;ACADM;HMGCS1;ACAT1;MCCC1;AGXT2;EHHADH;HADH;ALDH9A1;ACAT2;ACAD8;AACS;DLD;HIBCH;OXCT1;HADHA;ALDH6A1;ACSF3;HIBADH;ACADSB;DBT;MCCC2;IVD;PCCB;BCKDHA;HMGCL;ECHS1
prerank,GO_Cellular_Component_2026__Cytosolic Large Ribosomal Subunit (GO:0022625),0.6144726159399059,2.22808515717729,0.001,0.001,0.001,39/50,30.83%,RPL13A;RPL32;RPL18A;RPLP2;RPL13;RPL21;RPL37A;RPL23;RPL19;RPL36A;RPL28;RPL14;RPL37;RPL18;RPL5;RPL36;RPL35;RPL38;RPL36AL;RPLP0;RPL9;UBA52;RPL23A;RPL24;RPL30;RPL34;RPL12;RPL31;RPL26;RPL41;RPL10;RPL27;RPLP1;RPL27A;RPL39;RPL10A;RPL8;RPL7A;RPL17
prerank,GO_Cellular_Component_2026__Large Ribosomal Subunit (GO:0015934),0.6090691386944324,2.2248178900118125,0.001,0.001,0.001,40/52,30.83%,RPL13A;RPL32;RPL18A;RPLP2;RBM3;RPL13;RPL21;RPL37A;RPL23;RPL19;RPL36A;RPL28;RPL14;RPL37;RPL18;RPL5;RPL36;RPL35;RPL38;RPL36AL;RPLP0;RPL9;UBA52;RPL23A;RPL24;RPL30;RPL34;RPL12;RPL31;RPL26;RPL41;RPL10;RPL27;RPLP1;RPL27A;RPL39;RPL10A;RPL8;RPL7A;RPL17
prerank,GO_Cellular_Component_2026__Mitochondrial Membrane (GO:0031966),-0.4072750427604697,-2.2222816175762614,0.001,0.001,0.001,214/572,20.45%,ACADM;CLPX;SUOX;SLC30A2;APOOL;COASY;ACAD9;SCO1;MFN1;HSPD1;MTCH2;ACSL1;MFF;NDUFA10;SLC25A20;COQ9;SLC25A30;LDHD;GRPEL2;SLC29A3;SLC25A12;MRPL44;ETFDH;SLC25A4;RTN4IP1;NDUFS1;UQCC1;TRAP1;CHCHD3;RMDN3;MRPL39;TYMS;MPC1;DNAJC19;SDHC;MRPS7;CASP8;SLC25A16;NDUFS2;COQ3;AGK;OGDH;BPHL;CPT2;HSD3B2;UCP1;TIMM21;TIMM44;ATP5F1A;SLC25A10;ATP5PB;NDUFA9;VDAC1;PTCD3;STARD7;LPIN1;SHMT2;MICU2;MARCHF5;CISD2;TIMM17A;DAP3;MRPL50;MCUR1;GHITM;HADHA;ATP5F1B;ABCB8;ATPAF2;TIMM29;TMEM70;AURKAIP1;RHOT1;NIPSNAP2;AIFM1;SLC35A4;IMMT;SLC25A26;GRPEL1;COX11;PPP2R2B;RARS2;NDUFB5;TMEM177;ABCD1;UQCRFS1;SFXN1;DCAKD;NDUFAF6;TMEM242;BID;NDUFAF1;AFG3L2;ATP5F1C;LETM1;COQ10B;SLC25A13;RAF1;MYO19;ACADVL;HSPA9;SLC25A46;SMIM20;UCP3;MRPS35;SLC25A3;MRPL35;MFN2;FOXRED1;SQOR;MRPL32;SLC25A11;BAD;DNAJC11;BDH1;ATP5MC3;SLC25A19;NDUFS4;TIMM17B;ACOT9;MAPKAP1;STMP1;COA5;ABCB10;CYCS;MRPL47;SMIM30;COQ2;SDHD;NAT8L;TMEM14C;MRPS17;YWHAE;NDUFC2;MRPS5;SLC25A5;DNAJC15;SYNJ2BP;SDHA;CYB5B;TIMM22;HMOX1;MRPS30;MRPS10;ACAD11;SAMM50;PMPCA;OCIAD2;UFL1;UQCRC2;ECSIT;NDUFS3;VDAC3;SPG7;MRPL18;SLC25A14;TTC19;SURF1;DNM1L;TUFM;APOO;PGAM5;RAB32;SLC25A15;FBXL4;PLSCR3;DARS2;YME1L1;MRPS14;GPD2;SLC41A3;BAK1;UCP2;SLC25A39;NDUFV2;SLC25A33;TIMMDC1;MRPL53;MRPL34;MPC2;CPT1A;COQ4;MRPL10;SLC25A51;MCU;MRPL4;MTERF3;TIMM50;AIFM3;ULK1;USP30;ATAD1;NDUFV1;MRPS18A;HADHB;NLRX1;HAX1;UQCC4;CYP2E1;NGRN;MTX2;PHB2;AGPAT4;MTG1;MRPL37;CIBAR1;MRPL13;CPT1B;UQCRC1;ATAD3A;CYB5R3;VRK2;STOML2;CYC1
prerank,KEGG_2019_Mouse__Protein processing in endoplasmic reticulum,-0.4725244585914741,-2.213134917578991,0.001,0.001,0.002,77/152,20.89%,CRYAA;ERP29;SEC23B;MAP3K5;CUL1;HYOU1;VCP;BAG2;DERL2;DNAJB11;RNF185;RPN1;NPLOC4;SAR1B;UBE2D3;P4HB;SEC61A2;SEC23A;EIF2AK1;PDIA3;DNAJA1;MAPK9;ERLEC1;SIL1;PDIA4;GANAB;PLAA;HSP90AB1;CALR;HSPA5;CANX;PDIA6;NGLY1;UBE2G1;UBE2D2A;DERL1;SEC24C;STT3B;SEC24D;SSR2;SSR3;TUSC3;UBQLN1;LMAN2;HSP90B1;SSR1;RPN2;SVIP;RAD23B;DNAJB12;LMAN1;EIF2S1;DNAJC10;DNAJC5;UBE2J1;STT3A;SEC13;CAPN2;SEC61A1;BAK1;NSFL1C;SEC31A;HSPA8;TRAF2;SAR1A;AMFR;BCAP31;PREB;ATF6B;HSPA4L;UBQLN4;TRAM1;HSPH1;EIF2AK2;STUB1;DDOST;RNF5
prerank,KEGG_2019_Mouse__NF-kappa B signaling pathway,0.5482767777200479,2.2094461332065154,0.001,0.001,0.001,29/84,11.20%,VCAM1;TNFSF13B;PRKCB;CARD11;LCK;CCL19;TNFRSF13C;ICAM1;TRAF1;ZAP70;LTB;PLAU;BIRC3;NFKB2;TAB3;TRIM25;CCL4;LAT;TRAF3;CD14;TICAM2;NFKB1;RELB;SYK;TRAF6;TNFRSF1A;TLR4;CARD14;CARD10
prerank,KEGG_2019_Mouse__Glyoxylate and dicarboxylate metabolism,-0.657322186976181,-2.1991629313113323,0.001,0.001,0.003,17/27,11.31%,ACO1;ACO2;ACAT1;AFMID;ACAT2;GRHPR;DLD;CAT;CS;SHMT2;HOGA1;MDH1;SHMT1;HYI;ACSS1;GCSH;PCCB
prerank,GO_Cellular_Component_2026__Small Ribosomal Subunit (GO:0015935),0.6407481270853927,2.1596671455845384,0.001,0.001,0.001,30/37,23.33%,RPS14;RPS26;RPS16;RPS23;RPS18;RPS27L;RPS15;RPS20;RPS13;RPS9;RPS19;RPS8;RPS4X;RPS15A;RPS21;RPS25;RACK1;MRPS6;RPS11;FAU;RPS7;RPS27A;RPSA;RPS10;RPS12;RPS28;RPS17;RPS27;RPS29;RPS3
prerank,KEGG_2019_Mouse__Butanoate metabolism,-0.6538843556085334,-2.1354397230787803,0.0022026431718061676,0.001,0.004,12/25,5.20%,ACSM3;HMGCS1;ACSM1;ACAT1;ACSM2;EHHADH;HADH;ACAT2;AACS;ACSM5;OXCT1;HADHA
