Geneid,age3_SRR9126950,age3_SRR9127139,age3_SRR9127244,age18_SRR9126754,age18_SRR9126924,age18_SRR9127382,age18_SRR9127568
ENSMUSG00000102693,5,21,8,2,14,2,4
ENSMUSG00000064842,0,0,0,0,0,0,0
ENSMUSG00000051951,18,19,10,56,55,16,24
ENSMUSG00000102851,0,1,3,4,7,0,0
ENSMUSG00000103377,10,10,8,28,20,0,10
ENSMUSG00000104017,10,0,8,29,32,4,2
ENSMUSG00000103025,16,12,1,48,22,6,28
ENSMUSG00000089699,0,0,0,0,0,0,0
ENSMUSG00000103201,18,38,7,34,27,0,10
ENSMUSG00000103147,0,0,0,7,3,0,1
ENSMUSG00000103161,6,3,5,8,16,7,10
ENSMUSG00000102331,6,33,7,10,18,14,12
ENSMUSG00000102348,5,11,1,6,2,0,2
ENSMUSG00000102592,8,0,0,16,12,0,0
ENSMUSG00000088333,0,0,3,1,0,0,0
ENSMUSG00000142494,1,18,9,12,24,0,14
ENSMUSG00000102343,2,0,5,10,2,0,6
ENSMUSG00000133908,0,3,0,3,7,0,0
ENSMUSG00000025900,33,57,55,136,46,16,39
ENSMUSG00000102948,2,2,0,8,5,0,3
ENSMUSG00000104123,3,2,0,10,0,0,0
ENSMUSG00000135717,2,2,3,0,4,0,1
ENSMUSG00000139157,0,1,2,0,1,0,1
ENSMUSG00000025902,207,371,110,311,503,526,235
ENSMUSG00000104238,2,18,2,26,31,2,22
ENSMUSG00000102269,0,0,2,2,6,3,2
ENSMUSG00000118917,0,0,0,0,0,0,0
ENSMUSG00000103003,0,7,0,7,0,4,5
ENSMUSG00000104328,6,16,15,33,21,0,0
ENSMUSG00000131850,8,2,2,24,12,4,0
ENSMUSG00000102735,0,0,0,0,0,0,0
ENSMUSG00000098104,5,19,1,15,18,4,12
ENSMUSG00000102175,4,10,3,13,4,4,1
ENSMUSG00000135930,42,48,17,32,89,40,15
ENSMUSG00002075947,0,0,0,0,0,0,0
ENSMUSG00000103265,0,1,2,5,8,0,0
ENSMUSG00000103922,16,13,14,25,18,5,14
ENSMUSG00000033845,694,936,310,786,1075,704,449
ENSMUSG00000102275,2,6,1,2,0,3,0
ENSMUSG00000120403,19,13,0,3,20,8,9
ENSMUSG00000136002,3,28,3,20,7,12,19
ENSMUSG00000025903,15741,16713,6969,12257,15027,14114,7419
ENSMUSG00000104217,1,3,9,11,11,7,0
ENSMUSG00000137875,1,0,1,4,3,5,8
ENSMUSG00000033813,905,1133,538,983,1338,1146,520
ENSMUSG00000062588,7,12,3,2,4,0,2
ENSMUSG00000103280,11,2,0,3,12,2,2
ENSMUSG00000002459,2,1,0,7,6,0,2
ENSMUSG00000091305,0,0,0,1,2,0,0
ENSMUSG00000102653,0,4,6,0,14,2,1
ENSMUSG00000085623,0,10,4,44,8,0,5
ENSMUSG00000091665,10,0,0,21,8,0,9
ENSMUSG00000033793,3163,3963,2000,3893,4242,3263,2126
ENSMUSG00000143188,12,21,13,4,4,8,7
ENSMUSG00000104352,1,0,0,0,0,0,0
ENSMUSG00000143351,0,4,0,2,7,0,0
ENSMUSG00000104046,6,0,0,3,13,0,0
ENSMUSG00000102907,4,0,1,0,1,0,8
ENSMUSG00000025905,9,12,33,6,22,10,13
ENSMUSG00000103936,0,3,1,1,3,0,0
ENSMUSG00002076544,0,0,2,3,0,0,4
ENSMUSG00000103519,4,8,3,8,0,0,0
ENSMUSG00000033774,0,2,2,12,3,8,4
ENSMUSG00000103090,0,0,0,4,9,1,0
ENSMUSG00000090031,398,468,183,288,507,387,272
ENSMUSG00000025907,2325,2577,1207,2814,2836,2689,1640
ENSMUSG00000087247,4,1,0,2,5,0,2
ENSMUSG00000143943,13,4,2,25,8,0,2
ENSMUSG00000103355,0,0,2,5,0,0,2
ENSMUSG00000102706,0,0,0,0,4,0,2
ENSMUSG00000141243,0,0,3,6,0,0,2
ENSMUSG00000103845,0,13,6,27,26,0,8
ENSMUSG00000033740,11,26,21,36,42,15,26
ENSMUSG00000103329,0,0,8,7,4,3,4
ENSMUSG00000104385,0,0,0,1,2,0,0
ENSMUSG00000102135,1,1,0,9,9,3,0
ENSMUSG00000103282,0,3,0,5,3,0,0
ENSMUSG00000102534,0,1,2,0,7,0,0
ENSMUSG00000102213,0,0,0,1,0,0,0
ENSMUSG00000103629,0,0,0,0,0,0,1
ENSMUSG00000120372,7,10,14,32,19,18,8
ENSMUSG00000051285,2455,2769,1291,2707,3462,3451,1894
ENSMUSG00000138092,7,1,2,8,10,10,4
ENSMUSG00000098201,4,5,0,9,11,3,5
ENSMUSG00000103509,19,7,8,20,40,9,21
ENSMUSG00000126455,2,0,0,7,3,0,8
ENSMUSG00000048538,3,0,5,5,2,9,8
ENSMUSG00000103709,0,0,0,0,0,2,0
ENSMUSG00000126493,1,0,0,0,6,0,0
ENSMUSG00000144281,0,0,0,0,4,0,3
ENSMUSG00000077244,0,0,0,4,0,0,0
ENSMUSG00000097797,42,38,7,22,25,0,13
ENSMUSG00000102768,0,10,1,7,1,0,0
ENSMUSG00000103498,4,0,0,12,8,0,0
ENSMUSG00000103067,0,7,4,29,33,0,4
ENSMUSG00000102320,0,4,0,2,0,1,8
ENSMUSG00000104226,11,8,0,24,26,4,7
ENSMUSG00000103903,12,9,0,15,6,2,4
ENSMUSG00000103557,0,0,0,6,6,1,2
ENSMUSG00000132588,0,6,6,8,6,0,12
ENSMUSG00000135709,1,3,1,5,2,0,0
ENSMUSG00000135722,6,6,0,9,2,2,0
ENSMUSG00000025909,62,54,12,141,74,43,30
ENSMUSG00000102647,4,6,12,15,12,0,0
ENSMUSG00000086235,0,1,0,0,0,0,0
ENSMUSG00000123533,0,0,2,0,0,0,1
ENSMUSG00000102253,3,14,8,20,24,0,8
ENSMUSG00002074990,0,0,0,0,0,0,0
ENSMUSG00000103884,4,3,9,3,4,0,11
ENSMUSG00000084353,0,2,1,2,0,3,4
ENSMUSG00000103933,1,1,2,4,0,3,2
ENSMUSG00002075967,2,3,3,1,0,3,1
ENSMUSG00000086195,0,1,0,3,0,0,0
ENSMUSG00000104504,2,4,0,2,5,0,0
ENSMUSG00000123491,2,3,1,2,6,0,1
ENSMUSG00000066693,0,1,0,0,3,0,0
