baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name
ENSMUSG00000038079,675.306395688583,-0.747590336602977,0.180213278408175,-4.14836433367423,3.3485919118073e-05,0.00420035529092115,Tmem237
ENSMUSG00000026179,2601.22958651281,-0.54277387999815,0.112335366353544,-4.83172751037214,1.35353426375003e-06,0.000316810741486398,Pnkd
ENSMUSG00000079465,10091.9575670865,-0.641330428044191,0.150047799692272,-4.27417415889787,1.91847038890134e-05,0.00276981521759878,Col4a3
ENSMUSG00000026220,1663.45534116087,-1.04387331244955,0.191633698534081,-5.44723250886848,5.11595691900687e-08,2.03776641910758e-05,Slc16a14
ENSMUSG00000026348,3389.10670534673,-0.600828948582581,0.143694273470976,-4.18130057704728,2.89846400764443e-05,0.0038475924091055,Acmsd
ENSMUSG00000026399,357.453035378026,-0.587126435683319,0.167884448735704,-3.49720560840995,0.000470159314570585,0.0325441984085688,Cd55
ENSMUSG00000015484,665.855866551673,-0.835165773563598,0.158572453715245,-5.26677713560099,1.38839587253136e-07,4.63560880734588e-05,Fam163a
ENSMUSG00000097503,301.245357291432,-0.744297219085455,0.181078306456139,-4.11036105678258,3.9504092952658e-05,0.00472053119156394,3110045C21Rik
ENSMUSG00000026784,543.858084846415,-0.502890095756195,0.144122682206543,-3.4893195717486,0.00048425184468785,0.0332158727546615,Pdss1
ENSMUSG00000026839,480.293382348784,-0.746821010245428,0.22199702936533,-3.36410362057783,0.000767927052705194,0.0471216643368074,Upp2
ENSMUSG00000035000,1960.04494547797,-0.532959790030606,0.157605687577402,-3.38160251842981,0.000720643368522782,0.0453226787782306,Dpp4
ENSMUSG00000005233,413.718164612892,-0.864386745698964,0.215459455093537,-4.01183018551546,6.02498341702807e-05,0.0068055335074729,Spc25
ENSMUSG00000027463,1587.81174415409,-0.726502208313553,0.125762104409404,-5.77679748383113,7.61358321801477e-09,4.21606813126359e-06,Slc52a3
ENSMUSG00000038375,5713.47317138325,-0.537233895931728,0.131234904773726,-4.09368145508255,4.24577518473401e-05,0.00491816733643882,Trp53inp2
ENSMUSG00000074628,93.0003888214394,-1.054514989124,0.315287385955835,-3.3446152180402,0.000823967972836737,0.0493598122830746,Tldc2
ENSMUSG00000074575,144.026828747656,-1.29309823118017,0.289615708722832,-4.46487601408973,8.01151323931966e-06,0.00138849921057644,Kcng1
ENSMUSG00000039519,3701.80444336553,-0.647911716445695,0.190310046479469,-3.40450611216468,0.000662838169065769,0.0425115191821164,Cyp7b1
ENSMUSG00000037818,483.073970851426,-0.626456699458994,0.186801567949199,-3.35359443893619,0.000797691872590228,0.0483476583835673,Abhd18
ENSMUSG00000005640,689.083376291685,-1.07698051046131,0.193066008764311,-5.57830203956853,2.42877666817537e-08,1.08123422498536e-05,Insrr
ENSMUSG00000027896,2435.54539861077,-0.814166033204007,0.165308980973023,-4.92511676263295,8.43099952469298e-07,0.000212895485942736,Slc16a4
ENSMUSG00000062908,17591.9671718116,-0.660073683534813,0.108964222461511,-6.05771021555234,1.3807284166765e-09,9.49941150673432e-07,Acadm
ENSMUSG00000047583,687.598440142962,-0.746357810473024,0.169606911329404,-4.40051531286644,1.07994105847681e-05,0.00171336972499366,Tyw3
ENSMUSG00000028238,970.626414748642,-0.515664387945916,0.138928593970838,-3.71172249863955,0.000205853602964925,0.0180451745239987,Atp6v0d2
ENSMUSG00000028633,606.637220684122,-0.681749705203726,0.138153863299712,-4.934713289376,8.02685850619235e-07,0.000207092949459763,Ctps1
ENSMUSG00000028655,501.338827200288,-1.21139772893033,0.289693177661737,-4.1816577756789,2.89391328115638e-05,0.0038475924091055,Mfsd2a
ENSMUSG00000028989,228.602879499183,-1.34561595515916,0.32628655743995,-4.12403123719495,3.72298370630942e-05,0.00458645181651809,Angptl7
ENSMUSG00000001467,5213.02770885006,-0.770308759157162,0.147913661221475,-5.20782700391518,1.9106492933924e-07,6.02491410516405e-05,Cyp51
ENSMUSG00000003623,13532.1620437293,-0.838812259441658,0.110954168867206,-7.55998866924579,4.03104473757164e-14,5.72005248261416e-11,Crot
ENSMUSG00000002944,13386.7743648462,-0.620996927008674,0.126615163771872,-4.90460153830823,9.36171847609865e-07,0.000233569732177301,Cd36
ENSMUSG00000029098,7184.60666553859,-0.5021524275906,0.124488420333669,-4.03372800654606,5.48988604069319e-05,0.0062634358124572,Acox3
ENSMUSG00000057425,3900.69312371274,-1.08303259468841,0.187652836614366,-5.7714693485507,7.85832549061712e-09,4.24798623664217e-06,Ugt2b37
ENSMUSG00000061906,30656.835305069,-0.996592473037468,0.126961891841206,-7.8495401933986,4.17565341019098e-15,8.61854863863419e-12,Ugt2b38
ENSMUSG00000019577,750.620268124982,-0.780358536165961,0.149611924362625,-5.21588462611141,1.8294202340508e-07,5.8500221118154e-05,Pdk4
ENSMUSG00000029821,1829.15357969675,-0.53931019541496,0.144449885149488,-3.73354533897233,0.000188803187907342,0.0169430339061198,Gsdme
