baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name
ENSMUSG00000062908,17591.9671718116,-0.660073683534813,0.108964222461511,-6.05771021555234,1.3807284166765e-09,9.49941150673432e-07,Acadm
ENSMUSG00000003623,13532.1620437293,-0.838812259441658,0.110954168867206,-7.55998866924579,4.03104473757164e-14,5.72005248261416e-11,Crot
ENSMUSG00000061906,30656.835305069,-0.996592473037468,0.126961891841206,-7.8495401933986,4.17565341019098e-15,8.61854863863419e-12,Ugt2b38
ENSMUSG00000079262,5506.10041728285,-0.715278133892725,0.114922518839232,-6.22400327731541,4.84626948190411e-10,3.66765674390503e-07,Slco1a6
ENSMUSG00000030268,1107.92829159373,-1.15664279830191,0.170759593587836,-6.77351575978629,1.25689876803229e-11,1.24072302736544e-08,Bcat1
ENSMUSG00000034875,21650.1170706282,-1.02350355877336,0.13669901034948,-7.48727848253401,7.03164022128812e-14,9.39096232847796e-11,Nudt19
ENSMUSG00000013611,367.81251505704,-1.61607545654764,0.196041809722065,-8.24352447490058,1.67210701418368e-16,4.6851158642315e-13,Snx31
ENSMUSG00000022445,1741.15418417867,-0.956245638796247,0.125296443354959,-7.63186578319107,2.31380263063672e-14,3.50217166173173e-11,Cyp2d26
ENSMUSG00000022679,14977.428219117,-0.738979251344487,0.102292680988929,-7.22416544566334,5.04188456304265e-13,6.31897064113931e-10,Mpv17l
ENSMUSG00000067144,5222.54128561384,-1.36538042365655,0.177591692325587,-7.68831247552581,1.49088331492595e-14,2.41778677014848e-11,Slc22a7
ENSMUSG00000069372,94.9453881887838,-3.64954581934545,0.39145051812666,-9.32313447127584,1.12953069059144e-20,6.411216199797e-17,Ctxn3
ENSMUSG00000024757,2369.85268909977,-1.14886390444663,0.18446198808983,-6.22818780358777,4.71861237829409e-10,3.66765674390503e-07,Slc22a19
ENSMUSG00000052562,6123.33183755493,-0.647624473549677,0.105772882093965,-6.12278365426734,9.1954513866346e-10,6.73462994458555e-07,Slc22a30
