baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name
ENSMUSG00000026417,2615.58616810109,1.25979143253383,0.130943761404098,9.62085874901718,6.52838294694785e-22,7.4110203213752e-18,Pigr
ENSMUSG00000067149,581.529059875658,4.92029195476649,0.807584393980106,6.09260405654606,1.11088587446545e-09,7.88173527933237e-07,Jchain
ENSMUSG00000037053,2233.84541199327,1.08465333084501,0.127594705749996,8.50077065869989,1.88336134015285e-17,7.12663931113838e-14,Azgp1
ENSMUSG00000009281,343.872491134937,1.38662656147743,0.218778830575343,6.33802894837169,2.32723110348348e-10,1.95694277679588e-07,Rarres2
ENSMUSG00000076605,44.1356853296209,5.7412338732527,0.919149838953605,6.24624368077868,4.20441072153225e-10,3.40917646505958e-07,Igkj2
ENSMUSG00000076608,47.8197014664256,8.62650311788816,1.30334688624918,6.61873152028917,3.62294154058536e-11,3.42730269739375e-08,Igkj5
ENSMUSG00000076609,253.867689192128,6.67736889111256,0.829348645190458,8.05134116976717,8.18916400336743e-16,1.85926779532454e-12,Igkc
ENSMUSG00000002985,5668.7077053324,0.952250573064967,0.122351291293004,7.78292213348643,7.08682558726729e-15,1.34082740111097e-11,Apoe
ENSMUSG00000095079,569.092770394925,5.07319083906538,0.532151938313259,9.53335029680748,1.52287487892244e-21,1.1525117083685e-17,Igha
ENSMUSG00000076613,273.809316784826,7.86710169890458,0.917531720143407,8.57420133406939,9.97767514116717e-18,4.53066272810119e-14,Ighg2b
ENSMUSG00000076615,73.0969754012287,9.24000277620471,1.28018957978792,7.2176831635635,5.28807444422335e-13,6.31897064113931e-10,Ighg3
ENSMUSG00000076617,3665.83715584256,5.3006171964454,0.745643388126749,7.10878320769656,1.17070467704752e-12,1.32898394938435e-09,Ighm
ENSMUSG00000113495,52.2225788549815,6.99699893248968,1.09794227943123,6.37282948618607,1.8557217240495e-10,1.62047330856999e-07,Gm19792
ENSMUSG00000105906,106.572692773282,4.38714308976437,0.53300510545615,8.23095884984033,1.85720766288247e-16,4.6851158642315e-13,Iglc1
ENSMUSG00000076934,116.532896581824,4.89965736985519,0.591176256107524,8.28798064745691,1.15187314851348e-16,3.73601828055001e-13,Iglv1
ENSMUSG00000076937,82.2228930001537,4.94494757272961,0.705000830877418,7.01410176577425,2.31430906958774e-12,2.50209871980571e-09,Iglc2
ENSMUSG00000073418,416.167885612853,2.25126438080161,0.218396434073515,10.3081553980126,6.47317993188498e-25,1.46967077173517e-20,C4b
ENSMUSG00000053279,268.196840938173,1.89926980009011,0.246563462116778,7.70296532902582,1.32944440671773e-14,2.32182352385533e-11,Aldh1a1
ENSMUSG00000024747,301.142559160553,1.67793846856539,0.256696745406852,6.53665657469062,6.29092749004908e-11,5.71316870936297e-08,Aldh1a7
ENSMUSG00000055653,864.391153576087,1.14272577690306,0.166852570411073,6.84871545033885,7.45160457681836e-12,7.69005592327655e-09,Gpc3
