,baseMean,log2FoldChange,lfcSE,stat,pvalue,adj_pvalue,Gene_name
ENSMUSG00000038079,675.0661087674672,-0.751554511481661,0.1832856686778275,-4.100454317586142,4.1233983038172406e-05,0.005254419566826242,Tmem237
ENSMUSG00000026179,2599.0732871319274,-0.5479142139024162,0.11614885416518075,-4.717344978050336,2.389423381932527e-06,0.0005602481003617196,Pnkd
ENSMUSG00000079465,10077.713563478988,-0.6480025555049016,0.1491347202595204,-4.345081778255689,1.3922378642887106e-05,0.0022358767947929722,Col4a3
ENSMUSG00000026220,1663.4692383593215,-1.0464684289567185,0.19536876814281587,-5.356375222634066,8.490808871895349e-08,3.374305010497123e-05,Slc16a14
ENSMUSG00000026348,3385.825694615381,-0.604863195197969,0.14578420698669636,-4.149031007543679,3.338855877032109e-05,0.0044992042384351645,Acmsd
ENSMUSG00000026399,357.091984776417,-0.592483931427985,0.1687467230487741,-3.5110840715806675,0.0004462832341138641,0.032885752969286614,Cd55
ENSMUSG00000015484,665.5715187445775,-0.8402869465911296,0.16156568441339694,-5.200899867084978,1.983259365030771e-07,6.739345265489346e-05,Fam163a
ENSMUSG00000097503,300.97642468988244,-0.7500498459510191,0.18145759106774584,-4.13347185718449,3.5732406770280954e-05,0.0046545430085709865,3110045C21Rik
ENSMUSG00000026784,543.345762581367,-0.5077491791513606,0.1463763965623318,-3.4687913562289707,0.0005228053000227282,0.03692233695672563,Pdss1
ENSMUSG00000026839,480.18973274250646,-0.7517608656038098,0.22352909406171856,-3.363145494591596,0.0007705973858517806,0.04857042179050188,Upp2
ENSMUSG00000005233,413.5973080304992,-0.8678301446700862,0.21732421539940058,-3.993251019336154,6.517350898112253e-05,0.0076406163254019,Spc25
ENSMUSG00000027463,1586.9073559700337,-0.7315131481860205,0.12993045425007424,-5.630036102068061,1.8017190491941154e-08,8.801022197178006e-06,Slc52a3
ENSMUSG00000038375,5710.453905291071,-0.5411127949462499,0.1363698775398617,-3.9679788873322073,7.248475361638054e-05,0.008372167576567856,Trp53inp2
ENSMUSG00000074628,92.9762608491408,-1.0584684738322059,0.3146166221897465,-3.3643119885567883,0.000767347461802139,0.048495945921495295,Tldc2
ENSMUSG00000074575,144.01985558406645,-1.2996179511400556,0.2886204802361646,-4.5028611624394745,6.70446850583385e-06,0.0012991708517048454,Kcng1
ENSMUSG00000039519,3698.0314363392317,-0.6550442273593406,0.1905866992467776,-3.436988152626375,0.0005882213321845338,0.039965064758868775,Cyp7b1
ENSMUSG00000037818,482.4987974699831,-0.630646050967985,0.1867150371873869,-3.3775857609961517,0.0007312514660425525,0.04684673454464856,Abhd18
ENSMUSG00000005640,688.8586179676585,-1.0792782024110767,0.19587035299763766,-5.510166219101538,3.5849500263159246e-08,1.6164677551351823e-05,Insrr
ENSMUSG00000027896,2434.7125842025885,-0.8170982396913263,0.16929422451175485,-4.826498021700625,1.389547735731166e-06,0.0003429550079967226,Slc16a4
ENSMUSG00000062908,17579.187332307727,-0.6648375742265111,0.11338889711883261,-5.863339278534081,4.5364994394632315e-09,3.0390657816312684e-06,Acadm
ENSMUSG00000047583,687.472253564054,-0.7498304792245344,0.17400045249615861,-4.309359363540094,1.6372813606588577e-05,0.0025419035287561585,Tyw3
ENSMUSG00000028238,969.5887601495989,-0.5206636231407793,0.14031433382224368,-3.710694474025574,0.00020669144088046395,0.018930836774704057,Atp6v0d2
ENSMUSG00000028633,606.1899676941878,-0.6867012436835065,0.14117662036488016,-4.864128648983681,1.1496212469005362e-06,0.00029299097147909647,Ctps1
ENSMUSG00000028655,501.10516599277037,-1.2202637689142182,0.2876481034084351,-4.24221037599386,2.2132907048338668e-05,0.0031918951153606084,Mfsd2a
ENSMUSG00000028989,228.73351799910748,-1.3495011533585675,0.3258039388375039,-4.142065188572311,3.4419247570872626e-05,0.0045620711263617475,Angptl7
ENSMUSG00000001467,5209.973577680244,-0.7744338132029638,0.15126572057360763,-5.119691429533868,3.060359823792343e-07,9.829624217597133e-05,Cyp51
ENSMUSG00000003623,13525.405673312396,-0.8438287827241795,0.11603373646607758,-7.272271051711521,3.5349338508476335e-13,5.180224625051529e-10,Crot
