,baseMean,log2FoldChange,lfcSE,stat,pvalue,adj_pvalue,Gene_name
ENSMUSG00000003623,13525.405673312396,-0.8438287827241795,0.11603373646607758,-7.272271051711521,3.5349338508476335e-13,5.180224625051529e-10,Crot
ENSMUSG00000061906,30638.54976654681,-1.0015018710561074,0.13002378424753086,-7.7024513388220806,1.334804555218387e-14,2.608096867183793e-11,Ugt2b38
ENSMUSG00000079262,5501.894846040458,-0.7200964397421933,0.11847724006942302,-6.077930574009362,1.2174343985365144e-09,9.208123981446984e-07,Slco1a6
ENSMUSG00000030268,1108.0683714941283,-1.160497223997485,0.17523998997162799,-6.622331034060055,3.535781204191352e-11,3.454310912278109e-08,Bcat1
ENSMUSG00000034875,21644.853854617548,-1.0272395561938439,0.14186127528739684,-7.241155516984876,4.448779094784011e-13,6.135913143258865e-10,Nudt19
ENSMUSG00000013611,367.6153691979788,-1.6213283466718746,0.19560260035229182,-8.288889532919127,1.1431064687331227e-16,3.350302171548191e-13,Snx31
ENSMUSG00000022445,1739.5206029060132,-0.961437775683996,0.12596828979908745,-7.632379364818216,2.3046007600668607e-14,3.859712430091977e-11,Cyp2d26
ENSMUSG00000022679,14969.301882518188,-0.7435610100602622,0.10862452268868883,-6.845240758307055,7.634736011034543e-12,8.524364535748901e-09,Mpv17l
ENSMUSG00000067144,5219.742763600166,-1.3721866388455954,0.1778689110228274,-7.714595152997205,1.2136686010073187e-14,2.5869897898016908e-11,Slc22a7
ENSMUSG00000069372,94.9913266464134,-3.657016955336018,0.38744879278224753,-9.438710414027074,3.773953832046097e-21,2.949596516666161e-17,Ctxn3
ENSMUSG00000024757,2367.754020613811,-1.1552125980582357,0.18411556041584046,-6.274388734168318,3.5101053593773994e-10,2.864269115969669e-07,Slc22a19
