,baseMean,log2FoldChange,lfcSE,stat,pvalue,adj_pvalue,Gene_name
ENSMUSG00000025934,985.6885049649452,0.599234349941511,0.14290820358175776,4.193141715609693,2.7511745101659183e-05,0.0037945169846976636,Gsta3
ENSMUSG00000006542,235.90696911479725,1.1211711143485372,0.2994510160416708,3.7440885296329003,0.0001810498130013333,0.01704849383711752,Prkag3
ENSMUSG00000026249,752.2047245652758,0.768543088589175,0.17406130831359812,4.415358565526388,1.0084269566509562e-05,0.0017133758588836936,Serpine2
ENSMUSG00000072109,16.74995189623439,3.272523576223316,0.8823631381937208,3.708817191663826,0.0002082296930383637,0.018997516002609002,A530040E14Rik
ENSMUSG00000026417,2611.934584507359,1.2557602840728077,0.13556908131681591,9.262881122120902,1.9898886589862814e-20,1.1664229846812835e-16,Pigr
ENSMUSG00000041801,331.47563675223444,1.4309315993244875,0.2477154739641446,5.776512772599772,7.626471551520746e-09,4.585073806884792e-06,Phlda3
ENSMUSG00000041642,45.93317310300512,1.868351135237453,0.4928152845139641,3.791179360599788,0.00014993362426746624,0.01452683342231108,Kif21b
ENSMUSG00000056708,435.02706809929765,0.7718999643852382,0.1676406249676415,4.604492285412516,4.134733436398981e-06,0.0008655990614575616,Ier5
ENSMUSG00000026692,827.9511519443339,0.5477155780108621,0.14564651219188904,3.760581491228899,0.0001695188382119575,0.016157350404698245,Fmo4
ENSMUSG00000026822,108.97124461938584,1.130516884587987,0.30919748444079675,3.6562939269463928,0.00025588793785675634,0.022304105869618458,Lcn2
ENSMUSG00000023224,1819.2817735081976,0.5126375114523302,0.15112788899068735,3.392077497250818,0.0006936481807106712,0.04517769136978641,Serping1
ENSMUSG00000027249,98.99534381283054,2.0964479472908795,0.37189484722711824,5.637206223539223,1.728310960713209e-08,8.801022197178006e-06,F2
ENSMUSG00000074934,21.592302618744473,3.6607644907083734,0.7992372246420805,4.580322810099042,4.642587985258028e-06,0.0009633164645163272,Grem1
ENSMUSG00000023236,153.29934964052114,0.8420407835291408,0.2344476616093586,3.5915938668314213,0.00032866175668524783,0.026422325531108196,Scg5
ENSMUSG00000017002,38.66825217455983,2.782267351109333,0.6115611284288922,4.549450940835646,5.3786071376085995e-06,0.0010687474708093968,Slpi
ENSMUSG00000017754,277.97503079550796,0.9090984966298427,0.22949525821686168,3.961295338707127,7.454426071028563e-05,0.008526045272556427,Pltp
ENSMUSG00000039710,257.4297675456463,2.205342610040264,0.5595283329566325,3.9414315239174744,8.099675908011582e-05,0.008983485475535758,Slc7a12
ENSMUSG00000102758,214.90604924699227,1.0016450651732356,0.27620932922849917,3.6263983840480876,0.00028740184312087087,0.02432747659081249,Naaladl2
ENSMUSG00000027663,458.3886053532086,0.8488867682471369,0.15715106812609086,5.401724457679339,6.600328227273773e-08,2.8137799262706937e-05,Zmat3
ENSMUSG00000033860,222.18940695550052,1.09453687621477,0.30150797651839295,3.630208689182058,0.000283192160399418,0.024057994872772298,Fgg
ENSMUSG00000028071,31.462763567979454,2.3950667061313506,0.5782267085688957,4.142089375392418,3.441561707340296e-05,0.0045620711263617475,Sh2d2a
ENSMUSG00000074489,60.30904254389795,1.4088002292332387,0.3889001980564819,3.622523815296776,0.00029174259142297326,0.024517880075607363,Bglap3
ENSMUSG00000102439,74.0094752303685,1.3254328915622648,0.3693110187391759,3.588934053707034,0.0003320328113265326,0.02657055743062529,Flg
ENSMUSG00000038642,410.890112892967,0.9945733532240905,0.2500113899207286,3.9781121713672367,6.946460135287345e-05,0.00810316670607375,Ctss
ENSMUSG00000027875,703.4294119931694,1.2054349321019966,0.24820331908641513,4.856643080112515,1.1939251892226137e-06,0.00030101036464196375,Hmgcs2
ENSMUSG00000027870,9020.40218872428,1.0668191536588532,0.21478425012111865,4.966933809426273,6.801979139919655e-07,0.0001921518131249351,Hao2
ENSMUSG00000104350,11.279327233647125,4.757578880285814,1.2876742244570407,3.6947069296909234,0.0002201405515056646,0.01977638126878666,Gm38244
ENSMUSG00000040747,167.62602140799245,1.085096750020038,0.29299695849176216,3.7034403210385074,0.00021269523516971608,0.019329709996218344,Cd53
ENSMUSG00000027962,596.6979860367653,0.8690087288695191,0.1935924137127871,4.488857348298662,7.160622608807479e-06,0.0013491406088443681,Vcam1
ENSMUSG00000050315,198.67728369086248,0.7382554472131952,0.2175177040927987,3.3940016528412618,0.0006887927685783611,0.04499326824128893,Synpo2
ENSMUSG00000040183,156.42437456266106,1.0953794604999947,0.26452628576387466,4.140909691968262,3.45931146695578e-05,0.0045620711263617475,Ankrd6
ENSMUSG00000039158,218.27899226161142,0.982013104541313,0.22896191104585067,4.288980206601527,1.794953665711947e-05,0.0027328752337628585,Akna
ENSMUSG00000034919,178.03273816013325,0.7965023910221898,0.2275290342110346,3.500662646347933,0.0004641029383006961,0.033794477001044786,Ttc22
ENSMUSG00000078597,716.3218138840338,1.0611428805542993,0.2000364696559083,5.304747091266002,1.1282931635338733e-07,4.2669499686094715e-05,Cyp4a12b
ENSMUSG00000028715,404.7598552153309,1.2025463844492688,0.31296917378316236,3.8423796500879708,0.00012184716569194733,0.012475766349253663,Cyp4a14
ENSMUSG00000028581,689.7207701078248,0.7372054315474685,0.20138185488947802,3.6607341408790783,0.00025149361173827775,0.022002875800102233,Laptm5
ENSMUSG00000056529,43.477459581288606,1.964457271215239,0.5118814607798039,3.8377191239209383,0.0001241824066329438,0.012604783066331747,Ptafr
ENSMUSG00000036905,589.6747775348895,1.077545420063289,0.2400910629266044,4.488069680430769,7.187142327952572e-06,0.0013491406088443681,C1qb
ENSMUSG00000036896,359.6656992866932,0.9023290671156667,0.2575091105798588,3.5040665749021573,0.000458210790080612,0.033469371947103144,C1qc
ENSMUSG00000036887,534.1179747893128,1.2107692950869224,0.22482486427491818,5.385388751336601,7.228823537813721e-08,2.973582903352953e-05,C1qa
ENSMUSG00000039911,185.32003101927225,0.9460608968967004,0.24747466200130142,3.822859638421186,0.00013191287724682432,0.01316153716087783,Spsb1
ENSMUSG00000028970,125.45354722707673,1.2950342217412787,0.2850793744927077,4.542714547644012,5.553442873153034e-06,0.001094214916359825,Abcb1b
ENSMUSG00000044681,28.482458401955682,2.073828591126411,0.5938276929484109,3.492306970107196,0.00047886757148761895,0.03454771676513908,Cnpy1
ENSMUSG00000029204,27.855758246803955,2.2128481302891148,0.6114034663782478,3.6192927452591923,0.0002954092991075696,0.024649330377847632,Rhoh
ENSMUSG00000067149,579.7892401152685,4.918203672188131,0.8055984599787545,6.105031124709245,1.0278065069389958e-09,8.032993056066211e-07,Jchain
ENSMUSG00000023078,14.128394516431191,2.9487041507152036,0.8730222958821969,3.3775817234261027,0.0007312622017034749,0.04684673454464856,Cxcl13
ENSMUSG00000072774,73.78965888905275,1.3161757074695424,0.387243579393644,3.3988315817409918,0.000676743752601354,0.044571940357426815,Zfp951
ENSMUSG00000048163,129.90053763122137,1.3218147283747685,0.3102230589751301,4.260852603096585,2.036485137920085e-05,0.0030031111338875618,Selplg
ENSMUSG00000037053,2230.6038148116554,1.0803770102449028,0.13191734328394164,8.189802669990684,2.616548191046659e-16,6.816689492830113e-13,Azgp1
ENSMUSG00000107317,11.10934987696017,3.4723137729749354,0.9949217024772744,3.4900372203452346,0.0004829532777994922,0.034735599707253664,Gm19719
ENSMUSG00000029826,509.28973658479566,0.6850028159725863,0.18428296652821827,3.717124967530276,0.00020150278569589037,0.018527983592986436,Zc3hav1
ENSMUSG00000009281,342.9156032373866,1.3789774984051442,0.21725374263667122,6.347312969937211,2.1910810211579622e-10,1.9027509890033608e-07,Rarres2
ENSMUSG00000039264,153.5661944002151,1.1203062646854909,0.2950794840278283,3.7966254020555263,0.00014667917897159062,0.0142704842711489,Gimap3
ENSMUSG00000076508,17.34162849270988,3.624744293531624,1.0496256694289168,3.453368566627934,0.0005536320169154897,0.0385193172125148,Igkv17-127
ENSMUSG00000076514,14.435069058594193,5.163662471080609,1.33697329035809,3.862203163159372,0.0001123690574028607,0.0116580411014375,Igkv17-121
ENSMUSG00000094335,20.894470067175973,3.708362237972484,0.8116856233900184,4.568717408698762,4.907178800153819e-06,0.0010005097506713618,Igkv1-117
ENSMUSG00000093861,29.4376176062805,5.94724068044725,1.2275412802658088,4.844839661244997,1.2671396745164318e-06,0.00031607046753602953,Igkv1-110
ENSMUSG00000094420,12.733641503592947,5.719912977323807,1.3731852777613132,4.165434242529099,3.107604884165753e-05,0.004236279751106652,Igkv10-96
ENSMUSG00000076556,16.662960348137904,7.095234822633255,1.3421390403714832,5.286512506684407,1.246702963684715e-07,4.5584532418607475e-05,Igkv4-57
ENSMUSG00000096833,164.2527608560626,8.38515755985282,1.882216139223288,4.454938720965927,8.391716014688207e-06,0.001501989048827438,Igkv4-55
ENSMUSG00000096422,13.356595185301334,6.76867979547577,1.4259743412442276,4.7467051823455595,2.0675697489046823e-06,0.0004896798778037181,Igkv12-44
ENSMUSG00000076569,34.97906636535172,5.20676282193767,0.9853765066019832,5.284033856147947,1.2636988131571142e-07,4.5584532418607475e-05,Igkv5-39
ENSMUSG00000076577,32.62086101354383,4.000427768010036,0.8013054661944541,4.992387967860494,5.963730743773962e-07,0.00017052633506008303,Igkv8-30
ENSMUSG00000094930,19.602951382213323,3.6112233553321147,0.8872638670788835,4.070066965784659,4.699962599005199e-05,0.005830689050734122,Igkv6-25
ENSMUSG00000076583,23.997241099451912,7.613648818342918,1.4384444202371127,5.292973931580816,1.2034308051758955e-07,4.478863823644321e-05,Igkv8-24
ENSMUSG00000095630,12.308167498790544,3.6879270082159348,1.0732310687407711,3.4362842407674643,0.0005897518832502493,0.039965064758868775,Igkv6-23
ENSMUSG00000095794,24.703375629880433,6.674441399815493,1.3492195539493375,4.946890504424244,7.540836532593134e-07,0.00020801175785848378,Igkv6-17
ENSMUSG00000094797,26.067799403685463,7.733436582994783,1.4530938157274584,5.322049064755818,1.026048873899577e-07,3.958311364488146e-05,Igkv6-15
ENSMUSG00000094117,12.931341268093979,6.718243187906678,1.5145241209819527,4.4358773127699385,9.169806464714333e-06,0.0016045108371504251,Igkv3-12
ENSMUSG00000076596,16.740081186584355,7.112477012492314,1.5373137984258591,4.626561616616708,3.717862949698593e-06,0.0007924793871052992,Igkv3-10
ENSMUSG00000096715,26.021705642453675,7.746218509244545,2.3093889738703637,3.354228584655646,0.000795865875161476,0.049894832018478955,Igkv3-4
ENSMUSG00000095351,242.9129813357125,8.606883502302695,2.0145863499495222,4.27228324192624,1.9348159570998005e-05,0.002871242388994875,Igkv3-2
ENSMUSG00000076604,74.31994416351495,7.568695387725831,1.3668873567665096,5.537175649667457,3.073882356418079e-08,1.4173435923243772e-05,Igkj1
ENSMUSG00000076605,43.92038438746971,5.730993953702551,0.9136037191118406,6.272953835251387,3.54261971097029e-10,2.864269115969669e-07,Igkj2
ENSMUSG00000076607,20.90421814477356,7.42783844090021,1.3049001305108014,5.6922658425917945,1.2536445966873602e-08,6.998620204411556e-06,Igkj4
