,baseMean,log2FoldChange,lfcSE,stat,pvalue,adj_pvalue,Gene_name
ENSMUSG00000026417,2611.934584507359,1.2557602840728077,0.13556908131681591,9.262881122120902,1.9898886589862814e-20,1.1664229846812835e-16,Pigr
ENSMUSG00000067149,579.7892401152685,4.918203672188131,0.8055984599787545,6.105031124709245,1.0278065069389958e-09,8.032993056066211e-07,Jchain
ENSMUSG00000037053,2230.6038148116554,1.0803770102449028,0.13191734328394164,8.189802669990684,2.616548191046659e-16,6.816689492830113e-13,Azgp1
ENSMUSG00000009281,342.9156032373866,1.3789774984051442,0.21725374263667122,6.347312969937211,2.1910810211579622e-10,1.9027509890033608e-07,Rarres2
ENSMUSG00000076605,43.92038438746971,5.730993953702551,0.9136037191118406,6.272953835251387,3.54261971097029e-10,2.864269115969669e-07,Igkj2
ENSMUSG00000076608,47.681463377790074,8.62138233468819,1.30002941383462,6.631682516519536,3.318818270296803e-11,3.383318781897789e-08,Igkj5
ENSMUSG00000076609,252.96341617344933,6.67020511466293,0.8283413529711048,8.052483545265678,8.11306484808712e-16,1.902270314930987e-12,Igkc
ENSMUSG00000002985,5661.372825685973,0.947853634371013,0.12774406002785604,7.419942924659845,1.1717081597118358e-13,1.8315360813842275e-10,Apoe
ENSMUSG00000095079,566.5396515998412,5.067531139837292,0.5273355802916386,9.60968940695171,7.27681538806244e-22,8.530974520195002e-18,Igha
ENSMUSG00000076613,272.3522705659079,7.855625563766271,0.913881206799664,8.595893542089588,8.261936978309625e-18,3.874352726608516e-14,Ighg2b
ENSMUSG00000076615,72.78420271582999,9.23295162930689,1.2772143480649936,7.228975812317645,4.866500884367953e-13,6.339158124209744e-10,Ighg3
ENSMUSG00000076617,3656.6171426174233,5.296199214436669,0.7456078606961976,7.10319659115643,1.2190380240045753e-12,1.5043570815176462e-09,Ighm
ENSMUSG00000113495,52.03752588227668,6.988661534002804,1.0957478890479109,6.377983114414405,1.794352916765304e-10,1.6181612630536954e-07,Gm19792
ENSMUSG00000105906,106.04657249678151,4.38131392294842,0.526869045082683,8.315755051164277,9.116994957219268e-17,3.053802582313145e-13,Iglc1
ENSMUSG00000076934,115.92809105695736,4.893448781840098,0.5850254293923866,8.364506115439262,6.036725671297804e-17,2.35905178024866e-13,Iglv1
ENSMUSG00000076937,82.45658566805977,4.946267730312906,0.7008863260902517,7.057161120412535,1.6993854502325122e-12,1.992274532580086e-09,Iglc2
ENSMUSG00000073418,415.38140685112836,2.246157494528859,0.2196489897032269,10.226122585693187,1.5146277302603498e-24,3.551347639141442e-20,C4b
ENSMUSG00000053279,267.80857146128267,1.8961930385857069,0.24707408007761059,7.674593134132391,1.659445178907934e-14,2.993000854604179e-11,Aldh1a1
ENSMUSG00000024747,300.854367017893,1.6736722695165391,0.2582429151197485,6.480999754593264,9.111682028874694e-11,8.545664341240999e-08,Aldh1a7
ENSMUSG00000055653,863.3931580966971,1.1386570983082434,0.17059413241290056,6.674655700069884,2.4781325751077724e-11,2.6411261131159973e-08,Gpc3
