logFC,logCPM,F,PValue,FDR,Gene_name
ENSMUSG00000069372,-3.68815606270092,1.96702373646888,94.4768420020714,1.20692758414577e-07,0.000688932077442997,Ctxn3
ENSMUSG00000061906,-1.01273194613317,10.2813272629348,83.5542177549943,2.53210163289219e-07,0.00103887909828178,Ugt2b38
ENSMUSG00000013611,-1.62043200022191,3.90632506473037,79.9511903172296,3.31655767645363e-07,0.00116633857601799,Snx31
ENSMUSG00000067144,-1.3853055847296,7.72897900511011,72.5617960837655,5.9563682190415e-07,0.00161280223044102,Slc22a7
ENSMUSG00000022445,-0.969572768028968,6.14403178640067,70.2890615721105,7.20673702516602e-07,0.00161280223044102,Cyp2d26
ENSMUSG00000003623,-0.854275590476922,9.10196294732231,68.4124127477469,8.46785760670348e-07,0.00167210628430028,Crot
ENSMUSG00000034875,-1.03707317732813,9.78080341421774,67.9318015314257,8.83023182999702e-07,0.00167210628430028,Nudt19
ENSMUSG00000022679,-0.753531979602416,9.24804271483902,59.3459432225393,1.95289070408815e-06,0.00267079502569655,Mpv17l
ENSMUSG00000030268,-1.17317817533211,5.49439848456327,54.627047636417,3.14816065622608e-06,0.00387491354371587,Bcat1
ENSMUSG00000024757,-1.16867438536448,6.58837730207997,48.3974300371598,6.23910051604905e-06,0.00644880191658526,Slc22a19
ENSMUSG00000079262,-0.730462340105052,7.80397353729911,47.6336414165587,6.81716621940573e-06,0.00671272723292443,Slco1a6
ENSMUSG00000062908,-0.675148478428426,9.47951262465517,45.9003551106402,8.37108027950115e-06,0.00792580320155691,Acadm
ENSMUSG00000021214,-2.27731530052976,3.86988198245103,44.5784030156289,9.83862041579612e-06,0.00897027106576493,Akr1c18
ENSMUSG00000052562,-0.661083255286252,7.95713939037902,42.972329652426,1.20111504972445e-05,0.0101266101354348,Slc22a30
ENSMUSG00000027463,-0.745145777651353,6.01209066675357,38.1240276728484,2.28189453651548e-05,0.0152922252206974,Slc52a3
ENSMUSG00000021416,-0.686213460068957,7.23262314135823,38.0915295550042,2.29214302074833e-05,0.0152922252206974,Eci3
ENSMUSG00000057425,-1.09080781380826,7.30806909545549,38.0716807780635,2.29846176693263e-05,0.0152922252206974,Ugt2b37
ENSMUSG00000005640,-1.07256015880763,4.80890659251141,36.1236521092378,3.02800286597344e-05,0.0190479999587716,Insrr
ENSMUSG00000024041,-3.12644045492519,0.07990794535652,32.9665442722151,3.14118512009228e-05,0.0190479999587716,Cryaa
ENSMUSG00000024694,-0.640522535406105,10.7106791149025,35.800785842787,3.17247429950699e-05,0.0190479999587716,Keg1
ENSMUSG00000032374,-0.759906045971724,4.9668854393491,35.1623281258957,3.48312472195702e-05,0.0195624635768113,Plod2
ENSMUSG00000001467,-0.784084200202203,7.72517707735735,34.7793628755247,3.68555222956064e-05,0.0200435120322565,Cyp51
ENSMUSG00000036330,-0.648412850668004,8.31137565056834,34.5963932352889,3.78715029349587e-05,0.0200435120322565,Slc18a1
