logFC,logCPM,F,PValue,FDR,Gene_name
ENSMUSG00000073418,2.20488658726315,4.082520860457,96.7421947297144,3.74028837057961e-08,0.000428317699427846,C4b
ENSMUSG00000026417,1.24859891691006,6.72803706517924,92.126691940432,5.21977941375285e-08,0.000428317699427846,Pigr
ENSMUSG00000037053,1.07227929106056,6.50068957421497,70.974280801442,2.99786134167887e-07,0.000922479408101359,Azgp1
ENSMUSG00000053279,1.95550287761159,3.45342504604689,64.5770116520637,5.55921954942746e-07,0.00119472186008276,Aldh1a1
ENSMUSG00000002985,0.937918663650375,7.8428772871513,64.085803326101,5.82388687532728e-07,0.00119472186008276,Apoe
ENSMUSG00000095079,5.1694630403383,4.52868804396853,88.9223885548202,2.01273534754361e-06,0.00330316707003207,Igha
ENSMUSG00000055653,1.12781215159937,5.1321402873624,50.5639256951247,2.59006208077691e-06,0.00351933716891161,Gpc3
ENSMUSG00000105906,4.41183082276227,2.13753423424524,47.0735665323252,2.67760417533781e-06,0.00351933716891161,Iglc1
ENSMUSG00000076613,7.64211574860357,3.48120258771947,61.6643707903848,2.71631011940206e-06,0.00351933716891161,Ighg2b
ENSMUSG00000024747,1.64069685955011,3.62104788743368,44.0329688369889,5.98066164177172e-06,0.0065571111561676,Aldh1a7
ENSMUSG00000076619,7.24214989310843,0.806841460249572,47.5706025269742,6.12865356645275e-06,0.0065571111561676,Ighj3
ENSMUSG00000113495,6.69724490083149,1.14113207554233,44.5704671995016,6.39276385213561e-06,0.0065571111561676,Gm19792
ENSMUSG00000009281,1.33080625701824,3.80737840246362,40.4212062149062,9.88989066299325e-06,0.0090170162389224,Rarres2
ENSMUSG00000054385,1.24687661622156,4.94665220649882,39.7432650693335,1.09054274274532e-05,0.00958781810648629,Ceacam2
ENSMUSG00000076934,4.92998124975192,2.26535091701978,36.945135535207,1.69030777005701e-05,0.0123785434081359,Iglv1
ENSMUSG00000041801,1.35958350772837,3.75881976338598,36.7471010181715,1.70967411088525e-05,0.0123785434081359,Phlda3
ENSMUSG00000062991,1.03840113772044,4.6374422617326,35.4345228327953,2.09821920360065e-05,0.0143477394819548,Nrg1
ENSMUSG00000076620,5.92647821792573,1.71685786597162,31.9664381138095,2.59158940962679e-05,0.015560282072386,Ighj2
ENSMUSG00000076605,5.59029793442367,0.917207036050428,31.3363890993788,2.92395093939101e-05,0.0163588409715883,Igkj2
ENSMUSG00000078597,1.02624307314805,4.86554255396141,31.5020373282226,4.0142293930439e-05,0.0205871427017837,Cyp4a12b
ENSMUSG00000030798,2.30172993946487,1.40587292609106,30.8424877857252,4.42916823141438e-05,0.0218525288469416,Cd37
ENSMUSG00000027663,0.844266448361321,4.2225942826584,30.8030942548765,4.53160323251088e-05,0.0218525288469416,Zmat3
ENSMUSG00000030218,1.05060484992618,6.33676632194234,30.6432387612486,4.65931694494202e-05,0.0218525288469416,Mgp
ENSMUSG00000040405,1.66812484159368,2.84769964365268,30.3643271527953,4.90657380083036e-05,0.0218525288469416,Havcr1
ENSMUSG00000076607,8.28193473380255,-0.0751261793257567,33.4596989782136,4.97112408266128e-05,0.0218525288469416,Igkj4
ENSMUSG00000030830,1.48180367521496,2.27342004787964,30.063536709742,5.19054055056206e-05,0.022243630353192,Itgal
ENSMUSG00000013415,1.13905047962999,3.43560917383985,29.9804458809828,5.24081147371791e-05,0.022243630353192,Igf2bp1
ENSMUSG00000032327,1.86905064287879,2.72551807171556,29.796946205907,5.43613606274606e-05,0.0226815866875627,Stra6
ENSMUSG00000036887,1.19944769652822,4.4439110857897,29.347152140117,5.86845192710791e-05,0.0231414957507698,C1qa
ENSMUSG00000005547,1.0609957346916,5.59944829159234,29.0724665119757,6.16689082359445e-05,0.0231414957507698,Cyp2a5
ENSMUSG00000024164,1.02990119028312,4.83891950988062,28.7323033211697,6.56200451356833e-05,0.023811410182228,C3
ENSMUSG00000073421,0.786743354686461,7.69733090012928,28.3585405730657,7.02825457002495e-05,0.0245229996386821,H2-Ab1
ENSMUSG00000027249,2.02253762532031,2.03963313128034,28.375338454082,7.07288854997128e-05,0.0245229996386821,F2
ENSMUSG00000021456,0.916071431651054,3.92197313973827,28.1016451184641,7.37278733599388e-05,0.0245264737635353,Fbp2
ENSMUSG00000096074,5.87137231118563,0.293686555161888,27.5188372594748,9.00503203183966e-05,0.0286223941393068,Ighv1-72
ENSMUSG00000076609,6.64688787756377,3.37822055011249,36.5795185288747,9.56785115440675e-05,0.029814150869371,Igkc
ENSMUSG00000051483,0.730984253031026,4.62762773446722,26.4400388837023,0.000101018989307755,0.0310848057473626,Cbr1
ENSMUSG00000096852,2.10570132312808,8.77780164999428,46.1892314213204,0.000114879649942493,0.034072196899209,Cyp2d12
ENSMUSG00000022304,0.850737805760392,4.64266094939804,25.1864451624795,0.000129245183395765,0.0369956823215529,Dpys
ENSMUSG00000024610,0.81123333023349,8.5168062161403,24.7702266988139,0.000140495169322032,0.0391307218204886,Cd74
ENSMUSG00000035493,0.881395700578635,4.57483499681955,24.6265804696631,0.000144651894449545,0.0391307218204886,Tgfbi
ENSMUSG00000076615,10.1588653738099,1.6238556618064,31.9584182360738,0.000152811552475647,0.0404490536268064,Ighg3
ENSMUSG00000023122,0.564871208614489,6.50772362648455,24.0864011958678,0.000161489770253874,0.0421173860085056,Sult1c2
ENSMUSG00000076937,4.91024141823293,1.79493394788986,24.4737838094546,0.000164247026722043,0.0421173860085056,Iglc2
ENSMUSG00000076608,9.53372910430194,1.04155715470729,27.2439749050286,0.000171620337634198,0.0435544108406294,Igkj5
ENSMUSG00000035681,1.40693068188023,2.00437478398747,23.4485604584113,0.000185390656989637,0.0460986040718576,Kcnc2
ENSMUSG00000076556,7.90545985730913,-0.382383243390375,25.4376500173696,0.000187454564763814,0.0461456902079081,Igkv4-57
ENSMUSG00000030671,0.970204864631566,3.86207779375491,23.1825269487484,0.000194931862859502,0.0471566310695545,Pde3b
ENSMUSG00000023067,1.00139896568393,3.39297753859237,23.1721211943019,0.000195392467363796,0.0471566310695545,Cdkn1a
ENSMUSG00000033220,1.36330708238139,3.08236443140594,23.0344549931406,0.000201259893053869,0.0476150824507129,Rac2
ENSMUSG00000056708,0.761837957911003,4.14749798066536,22.9877104500567,0.000203094757985329,0.0476150824507129,Ier5
