baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name
ENSMUSG00000038079,354.271433194319,-0.776189808874821,0.171598337658878,-4.52329445299066,6.08844450659751e-06,0.000983257316317643,Tmem237
ENSMUSG00000026179,1320.62091980349,-0.545107931879862,0.11390603562304,-4.78559304516433,1.70483182895947e-06,0.000351801519193725,Pnkd
ENSMUSG00000079465,5275.42836304211,-0.624385309750249,0.15226727237878,-4.1005877362604,4.12102155238801e-05,0.00450209483946765,Col4a3
ENSMUSG00000026220,861.992576017134,-1.04060584258506,0.181035240472688,-5.74808440537878,9.02601816820898e-09,4.74901393058556e-06,Slc16a14
ENSMUSG00000026348,1774.01990197579,-0.594164603879706,0.142027460422752,-4.18344876484552,2.87119821386276e-05,0.0034625904693415,Acmsd
ENSMUSG00000015484,343.203101911282,-0.842436282964156,0.162752889888334,-5.17616789196284,2.26489660325261e-07,6.57244683056366e-05,Fam163a
ENSMUSG00000097503,163.779486827021,-0.675314338853712,0.193388283862537,-3.49201267711613,0.000479395494091425,0.0281428154462889,3110045C21Rik
ENSMUSG00000035000,1021.01448226638,-0.537692140261486,0.153281194084967,-3.50788068602488,0.000451691582288454,0.0270631948457151,Dpp4
ENSMUSG00000005233,217.479899665989,-0.901049417395288,0.215770527650845,-4.17596150505479,2.96730000521334e-05,0.00348789213271027,Spc25
ENSMUSG00000027463,821.521122854255,-0.739295497783106,0.121149970014959,-6.10231680364282,1.04541901857387e-09,6.47184067098464e-07,Slc52a3
ENSMUSG00000038375,2977.50788303145,-0.527971905184878,0.12662357942594,-4.16961759870073,3.05111148883294e-05,0.00356385173400033,Trp53inp2
ENSMUSG00000074628,45.4137735928004,-1.13468048147359,0.335324558494255,-3.38382755670737,0.000714828840096068,0.038258793136208,Tldc2
ENSMUSG00000074575,75.6553729361445,-1.38569030778814,0.296550435699501,-4.67269692091189,2.97270271942175e-06,0.000530856104856738,Kcng1
ENSMUSG00000005640,359.462056247788,-1.04627159129106,0.188971397202712,-5.53666643089223,3.08282887854517e-08,1.46805892134207e-05,Insrr
ENSMUSG00000038526,1157.56652858161,-0.511680139534023,0.152845639262,-3.34769210299111,0.000814874894567466,0.0421555892532228,Car14
