baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name
ENSMUSG00000027463,821.521122854255,-0.739295497783106,0.121149970014959,-6.10231680364282,1.04541901857387e-09,6.47184067098464e-07,Slc52a3
ENSMUSG00000062908,8992.28698571586,-0.648576374514358,0.104877937541728,-6.18410687430145,6.24550463001167e-10,4.46121199956064e-07,Acadm
ENSMUSG00000003623,7068.43794660656,-0.827860651298609,0.106005619536692,-7.80959212272758,5.73733503537166e-15,9.68670784335659e-12,Crot
ENSMUSG00000061906,13704.8506201061,-0.991478442844535,0.126341544764843,-7.84760424363937,4.24059898501551e-15,7.8756404349708e-12,Ugt2b38
ENSMUSG00000079262,2871.56222577663,-0.716989016049983,0.115728042967937,-6.19546479541376,5.81132810694542e-10,4.31711942408761e-07,Slco1a6
ENSMUSG00000030268,579.421655614938,-1.13196484704529,0.166752628058813,-6.78828789820362,1.13472044138731e-11,1.05370140187226e-08,Bcat1
ENSMUSG00000034875,11270.710529675,-1.00369690501354,0.129800127706454,-7.73263418725921,1.0534368399854e-14,1.63036908268407e-11,Nudt19
ENSMUSG00000021416,1957.26361257236,-0.668668346505733,0.110322355211185,-6.06104125701205,1.3524313302635e-09,7.84917333301678e-07,Eci3
ENSMUSG00000013611,195.155575103651,-1.61058076655416,0.211702119994823,-7.6077687204717,2.78868284155601e-14,3.98395521025987e-11,Snx31
ENSMUSG00000022445,896.139881177709,-0.968502296283534,0.128768375603079,-7.52127447245966,5.42448348237872e-14,6.71623381564917e-11,Cyp2d26
ENSMUSG00000022679,7748.01357729279,-0.731849873126385,0.0926649686279851,-7.89780522199804,2.83857263943585e-15,5.85755233995584e-12,Mpv17l
ENSMUSG00000067144,2726.59517832011,-1.3594296901143,0.181554754402021,-7.48771187288259,7.00846712639296e-14,8.13507821696062e-11,Slc22a7
ENSMUSG00000069372,50.2038932330387,-3.51554347370484,0.416692434048869,-8.43678259176777,3.26192402452895e-17,1.21160905967103e-13,Ctxn3
ENSMUSG00000024757,1247.08793985266,-1.13979247344945,0.18043603257896,-6.31687838154317,2.66899455685117e-10,2.06535695457666e-07,Slc22a19
