baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name
ENSMUSG00000025934,535.52595386534,0.62370470915043,0.151686375059798,4.11180443137726,3.92578782915038e-05,0.00435896002275071,Gsta3
ENSMUSG00000006542,122.065515890531,1.10994019913492,0.311454712173833,3.56372902945654,0.000365623391989067,0.0231752820342012,Prkag3
ENSMUSG00000026249,393.173831569295,0.787107913521367,0.164443707125257,4.78648850285177,1.69724657204835e-06,0.000351801519193725,Serpine2
ENSMUSG00000034159,65.0613207363626,1.1383941364763,0.341590384325887,3.33262933827271,0.000860294729690564,0.0435975227686546,Mab21l4
ENSMUSG00000040648,267.519936402036,0.786191781348128,0.238162275417611,3.30107604140732,0.000963147748544751,0.047321640174532,Ppip5k2
ENSMUSG00000026417,1373.02791635506,1.26078919108709,0.129020735647497,9.77198885713807,1.48507671212593e-22,2.17694115090063e-18,Pigr
ENSMUSG00000041801,174.195282144312,1.41703827217651,0.245668408323808,5.7680931864416,8.01734731871293e-09,4.37935807068049e-06,Phlda3
ENSMUSG00000041642,24.7893329290513,2.06782072416429,0.531133163802238,3.89322464701945,9.89204697533248e-05,0.00887512543120168,Kif21b
ENSMUSG00000056708,226.311957923539,0.814698668199975,0.176681228379678,4.61112182472058,4.00501728107541e-06,0.000699550398473232,Ier5
ENSMUSG00000026692,434.026746223103,0.553848046138857,0.145332252608605,3.81090939001976,0.000138456513610534,0.0113278166113429,Fmo4
ENSMUSG00000103711,122.455460237807,0.894865092443467,0.265828550285615,3.36632423974774,0.000761771098898431,0.0405375726324976,Tstd1
ENSMUSG00000038776,379.730917133147,0.601230022298149,0.16403230479934,3.66531472586227,0.000247034598483566,0.0176229298286897,Ephx1
ENSMUSG00000026822,57.3187318809849,1.14998679126649,0.309888129288778,3.71097400183034,0.000206463309802923,0.0153377463586396,Lcn2
ENSMUSG00000023224,961.58913671651,0.535951311102244,0.144500920447374,3.70898198740148,0.000208094229486857,0.0153939619523188,Serping1
ENSMUSG00000027249,50.9053607167053,2.14955750787427,0.420169279078978,5.1159321133286,3.12195339793857e-07,8.65386843380822e-05,F2
ENSMUSG00000027239,224.553427077117,0.874699029840511,0.264422807066798,3.30795607059548,0.000939795501722497,0.0466523230836641,Mdk
ENSMUSG00000074934,13.1333835033775,2.7200616848236,0.748726500752069,3.63291760354602,0.00028023452481256,0.0190641596879812,Grem1
ENSMUSG00000037902,940.916233995681,0.502115398140793,0.149619308436593,3.35595320809536,0.000790919492832224,0.0413773431574086,Sirpa
ENSMUSG00000017002,21.362570247217,2.74584541030153,0.685510439059782,4.00554864498872,6.18736982522973e-05,0.00627933510350637,Slpi
ENSMUSG00000017754,142.230105853937,0.936332981252622,0.234643609023634,3.99044740723499,6.59487722300831e-05,0.00658494945084465,Pltp
ENSMUSG00000039710,137.946477803291,2.32951718648041,0.599952949337809,3.88283312725038,0.000103246425916504,0.00917460584747037,Slc7a12
ENSMUSG00000003617,562.741752536537,0.604172849480545,0.169759168567373,3.55899981473321,0.000372269794342047,0.0234504663878074,Cp
ENSMUSG00000102758,116.229573783819,1.08942232663746,0.30827654405794,3.53391248097262,0.000409456636191365,0.0251879204321048,Naaladl2
ENSMUSG00000027663,240.868678637569,0.805516876210673,0.163914760192417,4.91424247130088,8.91263919511095e-07,0.000212212224527693,Zmat3
ENSMUSG00000033860,115.576890025121,1.1105452626145,0.304793445180905,3.64359955954877,0.000268851589701456,0.0186073206042834,Fgg
ENSMUSG00000028071,16.4356199314029,2.33129491779228,0.63395892705574,3.6773595548522,0.000235660751488066,0.0170299279246551,Sh2d2a
ENSMUSG00000102439,50.9548819414454,1.56635873934563,0.371775920674515,4.21317963924016,2.518006389592e-05,0.00311762764450018,Flg
ENSMUSG00000038642,218.359923513055,0.99374871890113,0.259240116485273,3.83331381104971,0.000126428501313151,0.0105292830779723,Ctss
ENSMUSG00000027875,374.007638523321,1.26248037495486,0.253444007751965,4.98129897073914,6.31588737790204e-07,0.000160683096414242,Hmgcs2
ENSMUSG00000027870,4765.02964959992,1.07967975553782,0.207712226291936,5.19795957518814,2.01487930157213e-07,5.96206307841396e-05,Hao2
ENSMUSG00000040747,85.725993605267,1.18970729764795,0.319920464246118,3.71875959998827,0.000200203472357025,0.0150632185771156,Cd53
ENSMUSG00000027962,314.323038904116,0.889400482905835,0.188755959955145,4.71190675577707,2.45409672123594e-06,0.000455774843067939,Vcam1
ENSMUSG00000050315,106.716861221309,0.787057424216678,0.234192523581964,3.36072822555848,0.000777372763545281,0.0408990565568356,Synpo2
ENSMUSG00000040183,80.2425115886889,1.10971456593874,0.286838004754231,3.86878498506348,0.0001093790422196,0.00953703085494086,Ankrd6
ENSMUSG00000039158,114.90670983597,0.984527786150466,0.239606398233154,4.1089377971971,3.97483109025328e-05,0.00436808065137182,Akna
ENSMUSG00000034926,1000.99865349349,0.507322006940733,0.133944970319244,3.7875405528971,0.000152145858411006,0.012232263560213,Dhcr24
ENSMUSG00000034919,93.4669248923681,0.809872871941908,0.244874100528009,3.3073031006367,0.000941989077986972,0.0466523230836641,Ttc22
ENSMUSG00000034871,1168.07521346578,0.506355923240525,0.125733497087687,4.02721577756953,5.6441231368992e-05,0.00587726480923275,Fam151a
ENSMUSG00000078597,288.790763288014,1.08609299412992,0.20060877657232,5.41398543317662,6.16371827278697e-08,2.47587521615018e-05,Cyp4a12b
ENSMUSG00000028715,211.240905123963,1.24909515302771,0.317235727164514,3.93743530778281,8.23571249908228e-05,0.00776414479862721,Cyp4a14
ENSMUSG00000028581,398.317135237817,0.687381825102948,0.187599217362381,3.66409750940031,0.000248212219002011,0.0176229298286897,Laptm5
ENSMUSG00000056529,23.7275543221978,2.06535627483692,0.546818669009739,3.77704052895118,0.00015870291438927,0.0127044419225755,Ptafr
ENSMUSG00000036905,311.01735030398,1.13666079009142,0.249272612111066,4.5599104549238,5.11754379166271e-06,0.000848598422310357,C1qb
ENSMUSG00000036896,193.25448816966,0.907296506990187,0.265101356925923,3.42245138806932,0.000620591937447769,0.0339989187677875,C1qc
ENSMUSG00000036887,285.257507130521,1.26065461097619,0.234825601678044,5.36847175932972,7.94066218403864e-08,3.00967302208093e-05,C1qa
ENSMUSG00000039911,94.3757697797483,0.9706407269814,0.260230216834747,3.72993090036805,0.000191532290440884,0.014638426741021,Spsb1
ENSMUSG00000028970,63.0491147508788,1.32090479955632,0.317787307637951,4.15656877354334,3.23062951716174e-05,0.00374995321204549,Abcb1b
