baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name
ENSMUSG00000026417,1373.02791635506,1.26078919108709,0.129020735647497,9.77198885713807,1.48507671212593e-22,2.17694115090063e-18,Pigr
ENSMUSG00000067149,311.583037690834,5.0072102109321,0.816596247016357,6.13180654359755,8.68867212371341e-10,5.91334937062614e-07,Jchain
ENSMUSG00000037053,1177.61225102875,1.11602006067448,0.124357511571043,8.97428749237167,2.8519160042747e-19,1.32414460078474e-15,Azgp1
ENSMUSG00000009281,184.270502042772,1.35786837931349,0.223159684466811,6.08473874910609,1.16681411006989e-09,6.99034569426384e-07,Rarres2
ENSMUSG00000076569,29.3352396919552,7.89331854102992,1.28931056125139,6.12212354280937,9.23363836679723e-10,5.91334937062614e-07,Igkv5-39
ENSMUSG00000076609,202.8652248263,6.07300665489559,0.766415924188526,7.92390458395764,2.30166267106385e-15,5.34330989087472e-12,Igkc
ENSMUSG00000002985,2975.8927525174,0.96800519211255,0.115423345490271,8.38656329012874,5.00560272306046e-17,1.54940089621132e-13,Apoe
ENSMUSG00000095079,347.466509808398,5.0531892744781,0.519574099715578,9.72563735806748,2.34432602939977e-22,2.17694115090063e-18,Igha
ENSMUSG00000076612,230.638106429744,7.72812791079888,1.20959655765476,6.38901281744938,1.66960066033335e-10,1.34816623755265e-07,Ighg2c
ENSMUSG00000076613,157.162415192192,8.55173749605567,1.05972253807788,8.06978920309346,7.04196417253979e-16,1.86833369446298e-12,Ighg2b
ENSMUSG00000076615,44.98331289096,8.52624111007764,1.28657356772174,6.62709177616316,3.42364792796684e-11,3.02780901515239e-08,Ighg3
ENSMUSG00000076617,2156.7186851926,5.49513985391455,0.75633780611257,7.26545706099039,3.71779018029222e-13,4.06157642519924e-10,Ighm
ENSMUSG00000105906,57.0645345159247,4.53215240266515,0.600444088575418,7.54800070297619,4.4199054072731e-14,5.86332023027686e-11,Iglc1
ENSMUSG00000076934,58.0211720612396,6.03898637680034,0.848992075736584,7.11312455014486,1.13444813725597e-12,1.10889320026936e-09,Iglv1
ENSMUSG00000073418,199.743014845417,2.11137970853291,0.224730142486245,9.39517807969238,5.71211140713242e-21,3.53617776844211e-17,C4b
ENSMUSG00000053279,136.582200583429,1.8658597682106,0.258839624104351,7.20855539281104,5.65485679921545e-13,5.83455558194607e-10,Aldh1a1
ENSMUSG00000024747,156.41007744945,1.60731894541912,0.262498683935822,6.12315049096435,9.17429676500272e-10,5.91334937062614e-07,Aldh1a7
ENSMUSG00000055653,446.536980392983,1.14427330712755,0.173628454972935,6.59035586825852,4.38773576841163e-11,3.70404675867913e-08,Gpc3
