,baseMean,log2FoldChange,lfcSE,stat,pvalue,adj_pvalue,Gene_name
ENSMUSG00000038079,353.8931906904073,-0.7839423723660953,0.17775828391406368,-4.410159431698205,1.0329454084282371e-05,0.001826280797408628,Tmem237
ENSMUSG00000026179,1317.8825904084601,-0.5553116929369076,0.11968456589438785,-4.639793684232654,3.487571843895688e-06,0.0007879732634801821,Pnkd
ENSMUSG00000079465,5260.1543904066575,-0.6367850811730805,0.14416080682346444,-4.417185885709359,9.999423205195325e-06,0.0017924585894271618,Col4a3
ENSMUSG00000026220,861.5446831817495,-1.0469299710910724,0.18056240148696637,-5.798161535676316,6.704585557266231e-09,4.5444518980345175e-06,Slc16a14
ENSMUSG00000026348,1770.4323407803513,-0.6023505419330138,0.14194698065754963,-4.243489640587696,2.2007053659984535e-05,0.0034589347382975692,Acmsd
ENSMUSG00000015484,342.70204000893966,-0.8525087808202421,0.16876761169120358,-5.051376696496062,4.386370517880742e-07,0.00014415208565580803,Fam163a
ENSMUSG00000097503,163.41285194565882,-0.6865305943666362,0.20198995357401578,-3.3988353490812044,0.0006767344313330641,0.04431109681997911,3110045C21Rik
ENSMUSG00000035000,1019.4246176005673,-0.5453643796109819,0.15508381991707823,-3.516578195601468,0.00043714787280427317,0.03141100891298932,Dpp4
ENSMUSG00000005233,217.2251268652851,-0.9093379899355368,0.2180040017696253,-4.171198613576256,3.0300161754589762e-05,0.004440611543628729,Spc25
ENSMUSG00000027463,820.2733608537116,-0.7485063654261537,0.12986271605208846,-5.763828049968743,8.222719156596794e-09,5.245611132546602e-06,Slc52a3
ENSMUSG00000038375,2972.8927889240717,-0.5359541571816591,0.13111649891848498,-4.0876179702972495,4.358250677998374e-05,0.006059644692678509,Trp53inp2
ENSMUSG00000074575,75.62858290743624,-1.3948353589237639,0.30464652136122955,-4.578536963728731,4.682394288573274e-06,0.0009860304089238283,Kcng1
ENSMUSG00000039519,1934.5039088593471,-0.6405091727560976,0.18477913392545736,-3.4663501183769405,0.0005275757874313388,0.036676662914697886,Cyp7b1
ENSMUSG00000005640,359.1512163581306,-1.052285674846729,0.1919693817403275,-5.481528696436245,4.216663101624041e-08,2.2307176262006206e-05,Insrr
ENSMUSG00000038526,1156.022633311741,-0.5204257879346974,0.15485631500176142,-3.3607010984910612,0.0007774491109801589,0.049306640985846924,Car14
ENSMUSG00000027896,1266.3023142636478,-0.8276774561328823,0.16720968267377198,-4.949937365455628,7.423736911128794e-07,0.0002175957481113291,Slc16a4
ENSMUSG00000062908,8976.559072700653,-0.6577585227934554,0.1108825549315463,-5.932028921948314,2.992138994410508e-09,2.237913613405652e-06,Acadm
ENSMUSG00000047583,384.0571933833036,-0.810874118346873,0.17621886357681302,-4.6015171241495185,4.194246672202628e-06,0.00090973210320075,Tyw3
ENSMUSG00000028238,509.3187508032125,-0.5208449211372582,0.1476589934617941,-3.527349800552608,0.00041974183132131615,0.030448830506218553,Atp6v0d2
ENSMUSG00000028633,315.46531590296524,-0.6486414443422499,0.1541222462832225,-4.208616601332653,2.569389305798033e-05,0.0038972065764167367,Ctps1
ENSMUSG00000028655,265.2252471086582,-1.18304281297032,0.28639159425451416,-4.130857318106056,3.614128587116021e-05,0.00519142046718851,Mfsd2a
ENSMUSG00000028989,120.47048884676961,-1.2704888643861947,0.31831220789141024,-3.991329370627256,6.570395305100779e-05,0.008035354721827433,Angptl7
ENSMUSG00000001467,2703.3227197507367,-0.7682736126012298,0.1451441080477848,-5.293178089931811,1.202087520101969e-07,4.691278058123801e-05,Cyp51
ENSMUSG00000003623,7058.172805058757,-0.8377070732713692,0.11213087334629049,-7.470797722981279,7.971010498447138e-14,1.2260187043882754e-10,Crot
ENSMUSG00000002944,6979.8462590801355,-0.6246265069853847,0.12578214968549567,-4.965939193655014,6.836937608185687e-07,0.00020596274544659382,Cd36
ENSMUSG00000029098,3703.8837078692645,-0.5010434858641053,0.12398164950263589,-4.041271332282548,5.3162204141661675e-05,0.006946314505015914,Acox3
ENSMUSG00000057425,1999.851657296825,-1.0840512022391096,0.18338211408721028,-5.911433662083161,3.3914284791751053e-09,2.452002790443601e-06,Ugt2b37
ENSMUSG00000061906,13684.126339372622,-1.0011851731426133,0.12645202476980716,-7.9175100198290025,2.4231410650707004e-15,5.839769966820388e-12,Ugt2b38
ENSMUSG00000019577,393.0704940956458,-0.7901034538089609,0.16221579045049328,-4.870693855479457,1.1120703310020189e-06,0.0003015100684929224,Pdk4
ENSMUSG00000029821,963.269479242693,-0.5427743681900509,0.1438880352043519,-3.772199456467626,0.0001618148194604264,0.01573884948025403,Gsdme
ENSMUSG00000030042,366.82812953721447,-0.6020839419516102,0.15321875555220799,-3.929570761632085,8.509763213169492e-05,0.009514266190394138,Pole4
ENSMUSG00000030359,1620.927044663249,-0.5532236461176246,0.15848080507912524,-3.4907927546267503,0.0004815896676866718,0.03405266767902107,Pzp
ENSMUSG00000079262,2866.683233888449,-0.7262057764404837,0.12041276366971065,-6.03097009244343,1.6297835069250986e-09,1.3092594172298292e-06,Slco1a6
ENSMUSG00000092500,104.62628655811325,-1.083265820587001,0.30018373281472044,-3.60867596131738,0.00030776373593771394,0.02554965242130152,Gm20400
ENSMUSG00000030268,579.1243417477438,-1.139947170802968,0.17036805428483726,-6.691085224798645,2.2152159765859602e-11,2.402401726607474e-08,Bcat1
ENSMUSG00000002265,298.47826664524354,-0.7917782404153151,0.17447322885018116,-4.538107339637814,5.6761367957698804e-06,0.0011399574731504511,Peg3
ENSMUSG00000034875,11260.966188288972,-1.0113654792150872,0.13359551245073537,-7.57035517632404,3.7220516985911985e-14,6.210100103264853e-11,Nudt19
ENSMUSG00000010307,713.384552276624,-0.7484756516004725,0.16639653777935778,-4.49814438202406,6.854914007620299e-06,0.0013157795117281796,Tmem86a
ENSMUSG00000033533,2294.7943181727583,-0.706033273452069,0.14253759386324708,-4.953312696785446,7.296058622564283e-07,0.00021678289249783464,Acsm1
ENSMUSG00000030935,6121.5571132754185,-1.228214831521338,0.3267365194766961,-3.7590375066994564,0.00017056826901898988,0.016467832045668474,Acsm3
ENSMUSG00000050100,111.88156971834746,-1.163707470559297,0.30960728977035235,-3.758656559483672,0.00017082813325382232,0.016467832045668474,Hmx2
ENSMUSG00000074469,143.58755742589767,-0.8887195236876264,0.23058088645549144,-3.8542636267432955,0.00011607846735079947,0.011876141305843586,Gm15348
ENSMUSG00000031549,185.15428813427974,-0.7652565833508029,0.2251931843626353,-3.3982226660931594,0.0006782519199738618,0.04431109681997911,Ido2
ENSMUSG00000015568,9770.192952717463,-0.5893958083034057,0.17445182623100305,-3.378559118796201,0.0007286676326763504,0.04662183171902667,Lpl
ENSMUSG00000036330,4079.1404487499576,-0.6442785348759206,0.12089268380014542,-5.3293426419502286,9.856888046545813e-08,4.2703661792347324e-05,Slc18a1
ENSMUSG00000031775,207.02601551923019,-0.6326377503803575,0.17924379371736873,-3.5294820381781222,0.00041637396770359444,0.03034234545708223,Pllp
ENSMUSG00000061825,1541.9378081749867,-0.54886699927383,0.13019350382118,-4.215778692212597,2.4891777694603905e-05,0.003844581431885739,Ces2c
ENSMUSG00000110494,229.13914609242337,-0.9704664480467432,0.23138771500740557,-4.194113970206601,2.739402320458728e-05,0.0040977680228103325,Gm31774
ENSMUSG00000032080,53.55934329722056,-1.4405232222784627,0.33055773895246016,-4.3578565936574085,1.313423937821995e-05,0.0022431626150676435,Apoa4
ENSMUSG00000032373,3516.640713897198,-0.6362054436005422,0.12174163014688791,-5.22586598218642,1.7334188331728464e-07,6.482388705434317e-05,Car12
ENSMUSG00000034593,784.8012302074579,-0.6837778427244291,0.1914947821367504,-3.5707387694570665,0.0003559757870130321,0.027674246667787332,Myo5a
ENSMUSG00000032420,2418.9756309541635,-0.6281541076461887,0.16159512964504882,-3.8872094043054286,0.00010140327155554432,0.010673083077229643,Nt5e
ENSMUSG00000032374,395.99373014840364,-0.7478576144252772,0.14881345852973019,-5.025470288870875,5.022003167177855e-07,0.00015786557782041693,Plod2
ENSMUSG00000032434,6549.080810272608,-0.5281927870697962,0.10885931418807983,-4.852067928309929,1.2218075730092322e-06,0.0003244484495231709,Cmtm6
ENSMUSG00000038775,1160.5750667930336,-0.6886939262282724,0.13774076156887982,-4.999928259318344,5.73516498564301e-07,0.00017520525146281251,Vill
ENSMUSG00000019894,421.66874193727756,-0.5564186315356541,0.14570350725576858,-3.818841715037884,0.00013407975720275278,0.013219045153307763,Slc6a15
ENSMUSG00000049858,415.4121006764023,-0.5007347806291321,0.14825234402031673,-3.3775842394809668,0.0007312555116446117,0.04664980013991655,Suox
ENSMUSG00000054986,179.70279082292708,-0.9140660224046364,0.25375706858465674,-3.602130287455192,0.000315620099552243,0.025736090072511843,Sec14l3
ENSMUSG00000020651,1088.6441121691664,-0.6128099543884226,0.17045357858674215,-3.5951721252749738,0.00032417717232837643,0.026042232843712907,Slc26a4
ENSMUSG00000020577,333.81893985423574,-0.7868094097809994,0.18039915148163993,-4.3614917438293865,1.2917867169359398e-05,0.002223718562725439,Tspan13
ENSMUSG00000071177,760.7103479688267,-1.6496332242120213,0.3958896062559193,-4.166902081146406,3.087670461993634e-05,0.0044947363973585185,Serpina1d
ENSMUSG00000033715,2388.8949937919433,-0.7775634735626975,0.16314912518514676,-4.765967777518231,1.8794929738804115e-06,0.0004853119357555491,Akr1c14
ENSMUSG00000021214,188.3049519108075,-2.19476456517356,0.5906703594601905,-3.715718132833582,0.00020262736914363383,0.019025920505304838,Akr1c18
ENSMUSG00000021416,1953.9485475422377,-0.6771751007990497,0.11812435855982867,-5.732730395789351,9.882665576332218e-09,5.7933788202877245e-06,Eci3
ENSMUSG00000021364,397.541129265368,-0.7528561332952075,0.1632135583807318,-4.612705836233309,3.974606192549104e-06,0.00087080008400394,Elovl2
ENSMUSG00000021620,2652.623228856906,-0.6241159301761143,0.11734927122734524,-5.318447431744085,1.0465644765559551e-07,4.283015754056352e-05,Acot12
ENSMUSG00000093930,6439.121057014274,-0.5742992114358455,0.11706010173700632,-4.90602009492609,9.294300680243423e-07,0.00026525444967694713,Hmgcs1
ENSMUSG00000072676,3660.093214693346,-0.5670177121746613,0.12194977848976862,-4.649600181292934,3.3257911021283595e-06,0.0007593306211069907,Tmem254
ENSMUSG00000022218,392.80780711095076,-0.854230757227126,0.19297340240880811,-4.42667614585281,9.569624100861522e-06,0.0017590266673532748,Tgm1
ENSMUSG00000044819,385.4764429358707,-0.5724306664780366,0.166432911423815,-3.4394078766089957,0.0005829881619944959,0.039168970821528926,Oxgr1
ENSMUSG00000058914,3321.826626222309,-0.6132747691355334,0.1410032101064594,-4.349367426972069,1.3653079191463816e-05,0.0022968367388257914,C1qtnf3
ENSMUSG00000022244,4171.820592446666,-0.5647206627030789,0.13398300250436265,-4.214867947034482,2.4992438077265524e-05,0.003844581431885739,Amacr
ENSMUSG00000013611,194.904723945347,-1.6217046365411285,0.21345635399963206,-7.597359395279111,3.022343129244581e-14,5.4628852061095805e-11,Snx31
