,baseMean,log2FoldChange,lfcSE,stat,pvalue,adj_pvalue,Gene_name
ENSMUSG00000003623,7058.172805058757,-0.8377070732713692,0.11213087334629049,-7.470797722981279,7.971010498447138e-14,1.2260187043882754e-10,Crot
ENSMUSG00000061906,13684.126339372622,-1.0011851731426133,0.12645202476980716,-7.9175100198290025,2.4231410650707004e-15,5.839769966820388e-12,Ugt2b38
ENSMUSG00000030268,579.1243417477438,-1.139947170802968,0.17036805428483726,-6.691085224798645,2.2152159765859602e-11,2.402401726607474e-08,Bcat1
ENSMUSG00000034875,11260.966188288972,-1.0113654792150872,0.13359551245073537,-7.57035517632404,3.7220516985911985e-14,6.210100103264853e-11,Nudt19
ENSMUSG00000013611,194.904723945347,-1.6217046365411285,0.21345635399963206,-7.597359395279111,3.022343129244581e-14,5.4628852061095805e-11,Snx31
ENSMUSG00000022445,894.374455253858,-0.9787467342551893,0.1311523643513133,-7.46266938530711,8.478690901716981e-14,1.2260187043882754e-10,Cyp2d26
ENSMUSG00000022679,7736.313996684322,-0.7408960707877557,0.10358746911498462,-7.152371586232529,8.529130843584599e-13,1.0277602666519442e-09,Mpv17l
ENSMUSG00000067144,2723.1671278239473,-1.3713810299974802,0.17295209523443125,-7.929253636034969,2.20466859313782e-15,5.839769966820388e-12,Slc22a7
ENSMUSG00000069372,50.23059036442198,-3.5278318189021767,0.41988400568038053,-8.401919985462827,4.3923709840153273e-17,1.905410532865849e-13,Ctxn3
ENSMUSG00000024757,1244.8687137367558,-1.151078302571319,0.1730355745609605,-6.652263879794231,2.8861862594625604e-11,2.981018093702044e-08,Slc22a19
