,baseMean,log2FoldChange,lfcSE,stat,pvalue,adj_pvalue,Gene_name
ENSMUSG00000026417,1368.5626339064022,1.2522574097232884,0.1346173925047558,9.30234486364047,1.3738184811288204e-20,1.4899061427842057e-16,Pigr
ENSMUSG00000067149,309.26747825460416,4.999014616042011,0.8123034977784693,6.154121741090099,7.549467742686536e-10,6.822831472452957e-07,Jchain
ENSMUSG00000037053,1173.6686847745254,1.1069258640333008,0.1309913089738455,8.450376385309015,2.903652035193216e-17,1.5745053160835212e-13,Azgp1
ENSMUSG00000076569,29.034003086655865,7.877025995405992,1.2847188386929693,6.1313228686051024,8.715133203349468e-10,7.561249567225998e-07,Igkv5-39
ENSMUSG00000076609,201.23973784413084,6.05915568217973,0.7630300982599972,7.940913072756817,2.006982980199332e-15,5.839769966820388e-12,Igkc
ENSMUSG00000002985,2966.4576969243462,0.9590419045744533,0.12168632606136441,7.881262715506952,3.240890857060217e-15,7.029492268963611e-12,Apoe
ENSMUSG00000095079,344.91684630792173,5.043118782743116,0.5118908641512064,9.851941372513808,6.723257734172082e-23,1.4582746025419245e-18,Igha
ENSMUSG00000076612,228.62745289468194,7.710002566086878,1.20670603227151,6.3892964482605,1.6665070790778457e-10,1.5715886323999338e-07,Ighg2c
ENSMUSG00000076613,155.75021114240053,8.534130311507715,1.050924106051833,8.120596208958593,4.638990573744351e-16,1.676995092408583e-12,Ighg2b
ENSMUSG00000076617,2141.5406789234708,5.483343646264368,0.7543844891727066,7.268632540785216,3.6314473912492827e-13,4.922880869762309e-10,Ighm
ENSMUSG00000105906,56.56357272012253,4.51945542744919,0.5913742461013959,7.642293280851281,2.1338643187552026e-14,4.207592461254576e-11,Iglc1
ENSMUSG00000076934,57.45265242881993,6.027075276787515,0.838158391389569,7.190854781988552,6.438693631577433e-13,8.215015580524383e-10,Iglv1
ENSMUSG00000073418,198.93662007673993,2.10198298869032,0.22902137075816964,9.178108495865501,4.3872985699005923e-20,3.1720168660381284e-16,C4b
ENSMUSG00000053279,136.11656489095597,1.8565620919791597,0.26353610698900365,7.044811100805352,1.8571327564882243e-12,2.1200636572752414e-09,Aldh1a1
ENSMUSG00000055653,445.27099547209247,1.1359316479051023,0.17761088624210467,6.39561950249318,1.5989772875449335e-10,1.5715886323999338e-07,Gpc3
