logFC,logCPM,F,PValue,FDR,Gene_name
ENSMUSG00000069372,-3.54788719632085,2.00329025022848,84.4225199621545,4.31136492696894e-07,0.00160141338847334,Ctxn3
ENSMUSG00000061906,-0.993177475173022,10.0936035745198,74.1334158205221,8.98739423581139e-07,0.0019500189708999,Ugt2b38
ENSMUSG00000022445,-0.967339956601804,6.15876097077923,72.802042754794,9.95703090732905e-07,0.0019500189708999,Cyp2d26
ENSMUSG00000013611,-1.59959595462134,3.95879222662874,71.0533001601517,1.14277070864203e-06,0.0019500189708999,Snx31
ENSMUSG00000034875,-1.00525907018296,9.81175646535137,70.908868875883,1.15497569889613e-06,0.0019500189708999,Nudt19
ENSMUSG00000003623,-0.829723164181088,9.1388557377005,69.1866673231291,1.32588071627985e-06,0.00205202138856245,Crot
ENSMUSG00000067144,-1.36681564341435,7.7643206531961,65.6790609643104,1.77255936450482e-06,0.00235142660839883,Slc22a7
ENSMUSG00000022679,-0.733393521362352,9.27114143459636,64.3321304620212,1.98856679146119e-06,0.00246211083006781,Mpv17l
ENSMUSG00000030268,-1.13693412611407,5.53293552560093,57.2777659102696,3.76219771326597e-06,0.00367744925951451,Bcat1
ENSMUSG00000024757,-1.14629230545329,6.63533532608423,48.7380961322481,8.93361873122258e-06,0.00721370291635938,Slc22a19
ENSMUSG00000079262,-0.718300137851191,7.8391343129884,47.5161764662521,1.02106637499043e-05,0.00729355566012393,Slco1a6
ENSMUSG00000027463,-0.744344332900449,6.03578089669587,46.7636544036226,1.11020961049771e-05,0.00763659736524571,Slc52a3
ENSMUSG00000062908,-0.650422856358094,9.4857066510705,44.0599526308377,1.51323484371654e-05,0.00980975489981111,Acadm
ENSMUSG00000021416,-0.668615358396792,7.2862411110397,43.9562078302814,1.53178382562202e-05,0.00980975489981111,Eci3
ENSMUSG00000021214,-2.26908752765418,3.91195007564129,42.412553863861,1.84299287262878e-05,0.011041310848536,Akr1c18
ENSMUSG00000052562,-0.657795045486667,7.70071998866537,42.0463607415386,1.92479009132261e-05,0.0111710004925136,Slc22a30
ENSMUSG00000071177,-1.624572890732,5.92417199618626,39.396707466532,2.67920881167724e-05,0.0142166474429913,Serpina1d
ENSMUSG00000026220,-1.03921070202597,6.10380067444742,38.8340875605635,2.88032532567524e-05,0.0148592783190113,Slc16a14
ENSMUSG00000005640,-1.02953636705619,4.83979839365502,36.9965882065558,3.67008534074741e-05,0.0179370591969371,Insrr
ENSMUSG00000036330,-0.6375426679983,8.3478853185016,36.7663741685666,3.7850378985179e-05,0.0180245445772499,Slc18a1
ENSMUSG00000057425,-1.0691133651486,7.31826387298696,35.9594870569158,4.22423614695645e-05,0.0194463382453909,Ugt2b37
ENSMUSG00000032374,-0.733213044389626,4.98630017948328,35.7564105605624,4.34431178581613e-05,0.0194463382453909,Plod2
ENSMUSG00000024041,-3.04930527119556,0.0301857000548604,31.1262502307007,4.39772887306924e-05,0.0194463382453909,Cryaa
ENSMUSG00000015484,-0.845203622295433,4.78057737167031,34.6677705156831,5.05637648159605e-05,0.0200901195081539,Fam163a
ENSMUSG00000032373,-0.627723142185128,8.13413031574748,34.6353343292674,5.07884038371368e-05,0.0200901195081539,Car12
ENSMUSG00000021620,-0.615511698245083,7.72824888246329,34.3335651405761,5.30053766906924e-05,0.0200901195081539,Acot12
ENSMUSG00000001467,-0.75897962021162,7.75430198867329,33.7623992282703,5.75141958819396e-05,0.0210387447954836,Cyp51
ENSMUSG00000038775,-0.682763595561155,6.53547691209632,33.7311194328695,5.77738522813731e-05,0.0210387447954836,Vill
ENSMUSG00000074575,-1.45793687434827,2.62292599826606,33.175781309939,6.27623582205724e-05,0.0224158176321629,Kcng1
ENSMUSG00000019577,-0.769870700734552,4.97304757402112,31.8138611549939,7.65982766874708e-05,0.0258119680865159,Pdk4
ENSMUSG00000061808,-1.63135214356273,4.56252245948792,31.7085225959514,7.78306166726733e-05,0.0258119680865159,Ttr
ENSMUSG00000031209,-0.933384585991569,3.61541712610728,30.6308669220482,9.17594925004867e-05,0.0279370048314597,Heph
ENSMUSG00000021364,-0.746712452995755,4.99303957450054,30.3318034076447,9.60779013586991e-05,0.0283813840434362,Elovl2
ENSMUSG00000002944,-0.616742387845915,9.12301293347983,29.548121798268,0.000108650950606958,0.0301863234697496,Cd36
ENSMUSG00000024694,-0.620475810271011,10.7554611549595,29.5337039541649,0.000108899616221905,0.0301863234697496,Keg1
ENSMUSG00000032080,-1.42988045459483,2.10663237143408,29.2305111996185,0.000114900573033155,0.0304847634624535,Apoa4
ENSMUSG00000033533,-0.695332986583557,7.51866498498429,28.8995195113149,0.00012051658828991,0.0313772805207065,Acsm1
ENSMUSG00000093930,-0.565968377673531,9.00706120919839,28.7976362986037,0.000122513098935292,0.0313772805207065,Hmgcs1
ENSMUSG00000027896,-0.813761960735327,6.65991684097405,28.6759670063857,0.00012494810539499,0.0313772805207065,Slc16a4
ENSMUSG00000030935,-1.22154491979284,8.93325814952898,28.2944488331999,0.000132951405005461,0.0324891249179134,Acsm3
ENSMUSG00000047583,-0.798152946805502,4.94138995946132,27.9654923870078,0.000140343955362827,0.0338502329740054,Tyw3
ENSMUSG00000026179,-0.546503646292699,6.71996183011585,27.5933731055447,0.000149253338993537,0.0346491626473497,Pnkd
ENSMUSG00000032434,-0.519398464408498,9.03188040466091,27.0486024450657,0.000163522939891291,0.035832190004299,Cmtm6
ENSMUSG00000002265,-0.777999343464033,4.57934813421418,26.9576802575968,0.000166076951427956,0.035832190004299,Peg3
ENSMUSG00000053303,-0.96156655939146,3.92735757135743,26.6033340058239,0.000176413428324006,0.036003848250917,Slc22a26
ENSMUSG00000038079,-0.782975962239718,4.82352617913819,26.4872755136162,0.000179918971497689,0.0363201645505987,Tmem237
ENSMUSG00000028633,-0.638892804269531,4.66014667686435,26.2207485898837,0.000188354858794078,0.0363873822205858,Ctps1
ENSMUSG00000072676,-0.557626327098461,8.19242075514432,25.8555397752432,0.000200640367099766,0.0366513763732867,Tmem254
ENSMUSG00000010307,-0.755416890699392,5.8362791573446,25.6340855828489,0.000208561764974403,0.0372443182606212,Tmem86a
ENSMUSG00000020577,-0.784824644255114,4.73967871977125,25.0514297604508,0.000231183515784155,0.0405050967466351,Tspan13
ENSMUSG00000024065,-0.582785315424476,5.68909819669086,24.8263046255888,0.000240648357389054,0.0417693578825187,Ehd3
ENSMUSG00000033715,-0.770807146845929,7.57620965435429,24.5182753922484,0.000254349976671349,0.0433375024471587,Akr1c14
ENSMUSG00000022218,-0.868699232861857,4.97875045959818,24.4589717580457,0.000257112441546479,0.0434099296763747,Tgm1
ENSMUSG00000037477,-1.39531556204402,2.08097165913802,23.9808161814042,0.000281748127453266,0.0459008805341433,Tbx10
ENSMUSG00000105703,-1.68192144000074,3.65757328195416,23.7780630941426,0.000291292882432241,0.0462383881412955,Gm43305
ENSMUSG00000061825,-0.542426179837253,6.94523876716057,23.6836130957495,0.00029626953874868,0.0466298124884786,Ces2c
