logFC,logCPM,F,PValue,FDR,Gene_name
ENSMUSG00000095079,5.13247437915408,4.8032835642562,109.685352107434,9.36094404031484e-08,0.000931470160826149,Igha
ENSMUSG00000026417,1.26252976923197,6.7780878424698,108.228391798466,1.00309084732517e-07,0.000931470160826149,Pigr
ENSMUSG00000073418,2.09423328475227,4.01647321491029,93.7970847956624,2.33262533759088e-07,0.00116519666787403,C4b
ENSMUSG00000037053,1.11611362151298,6.5568293555007,92.5784857061606,2.50957714381657e-07,0.00116519666787403,Azgp1
ENSMUSG00000002985,0.966118428315617,7.89196258803545,78.0473017001985,6.71052173127106e-07,0.0019500189708999,Apoe
ENSMUSG00000076613,8.28558337754766,3.67048527196836,65.6700888958808,1.14214793181267e-06,0.0019500189708999,Ighg2b
ENSMUSG00000096852,2.12566868946585,8.76847504516336,66.101451504859,1.7104798482091e-06,0.00235142660839883,Cyp2d12
ENSMUSG00000053279,1.92690482603818,3.48201371089414,60.8465166845589,2.71696831290955e-06,0.00315372096920975,Aldh1a1
ENSMUSG00000076617,5.51626504278846,7.43431756778933,59.2078095567458,3.14466455557732e-06,0.00343545353683424,Ighm
ENSMUSG00000076609,6.11484221207718,4.06280316242553,53.2400301566269,3.3730950273923e-06,0.0034802844915961,Igkc
ENSMUSG00000076934,5.9586613826665,2.28593954932701,43.6920013884098,6.32050473818138e-06,0.00586922069987523,Iglv1
ENSMUSG00000105906,4.51319349023244,2.2598941712011,45.3687886485774,6.88156209900725e-06,0.00598581025569579,Iglc1
ENSMUSG00000055653,1.14259175232354,5.1647965928068,50.9120337658783,7.09066474398597e-06,0.00598581025569579,Gpc3
ENSMUSG00000076612,7.46802591752019,4.23661692320883,40.442932926389,9.69451811240278e-06,0.00729355566012393,Ighg2c
ENSMUSG00000067149,5.30947973317397,4.66722070427724,47.6089165189283,9.96797311190187e-06,0.00729355566012393,Jchain
ENSMUSG00000094088,3.55033153485013,1.11131279168116,38.0340263749849,1.62065123263946e-05,0.0100329115641934,Ighv1-64
ENSMUSG00000009281,1.33532906076425,3.89906032097159,40.6143014191788,2.2985551780972e-05,0.0129359899295822,Rarres2
ENSMUSG00000024747,1.58715211243261,3.6821240680948,40.0990971836626,2.45373571884193e-05,0.013403170520686,Aldh1a7
ENSMUSG00000041801,1.35551714369893,3.8269675837205,37.4303608902809,3.46576893936541e-05,0.0173962866869985,Phlda3
ENSMUSG00000113495,5.62239581013726,1.14231587442071,33.4768884019006,4.64507835269052e-05,0.0200624174805042,Gm19792
ENSMUSG00000062991,1.02269405523757,4.69041657855117,34.5459459015973,5.14451032407446e-05,0.0200901195081539,Nrg1
ENSMUSG00000078597,1.08568170343295,4.54296252580919,34.4442069654124,5.21938120161014e-05,0.0200901195081539,Cyp4a12b
ENSMUSG00000051483,0.78672321729125,4.69913980494215,34.3580791976553,5.28313344583775e-05,0.0200901195081539,Cbr1
ENSMUSG00000054385,1.25631806877823,4.84184471100557,32.0522316346654,7.39173938461873e-05,0.0257400576194626,Ceacam2
ENSMUSG00000013415,1.19930760774018,3.51444175360271,31.9747636498217,7.48418647130616e-05,0.0257400576194626,Igf2bp1
ENSMUSG00000027663,0.808933077355376,4.27865806666357,31.5244670810061,8.0028733317344e-05,0.026075326932802,Zmat3
ENSMUSG00000021456,0.943632813694972,3.98763741393429,31.2086222302544,8.39723781246979e-05,0.0268885345953774,Fbp2
ENSMUSG00000024164,1.04050073143049,4.89997907043556,30.9818383212571,8.6910253686529e-05,0.0273575801943426,C3
ENSMUSG00000030798,2.29598586881014,1.55621511794093,30.5538947066424,8.87806190475372e-05,0.027480560949181,Cd37
ENSMUSG00000030830,1.45864316646589,2.39185991740933,30.3759068434609,9.62754250881154e-05,0.0283813840434362,Itgal
ENSMUSG00000073421,0.826888034495063,7.75939991114259,30.1295726258181,9.91471593914417e-05,0.028771266315904,H2-Ab1
ENSMUSG00000093861,5.72183408994013,1.20323617563541,28.4587247360678,0.000103737186674474,0.0296401081679743,Igkv1-110
ENSMUSG00000022304,0.89441069413407,4.67881048181798,29.3704955833886,0.000111781020223232,0.0304847634624535,Dpys
ENSMUSG00000094335,3.56050048901235,0.364093791014993,25.7714125093547,0.000113752322222995,0.0304847634624535,Igkv1-117
ENSMUSG00000036887,1.25128608770058,4.51853382076738,28.6467828756288,0.00012557360806122,0.0313772805207065,C1qa
ENSMUSG00000069516,1.75368965451458,5.47430866124137,28.5902620687032,0.000126712041732338,0.0313772805207065,Lyz2
ENSMUSG00000030218,1.09176351743579,6.47564209912719,27.833415239983,0.000143428078400853,0.0341505932315468,Mgp
ENSMUSG00000023122,0.578160700830617,6.55648304677258,27.6024742828195,0.000149028632483741,0.0346491626473497,Sult1c2
ENSMUSG00000076937,4.91860225101256,1.9970085013044,24.3074693507672,0.000156789194478645,0.035832190004299,Iglc2
ENSMUSG00000073411,0.568801689942653,8.63083480315119,27.1803319824514,0.000159933190332998,0.035832190004299,H2-D1
ENSMUSG00000056708,0.811472148940441,4.19084635616998,26.9595168919362,0.000166049109136949,0.035832190004299,Ier5
ENSMUSG00000026249,0.781155207847824,4.98193861973777,26.9269659845131,0.0001669393035717,0.035832190004299,Serpine2
ENSMUSG00000040405,1.59945564297242,2.88626875247986,26.8471211368246,0.00016994531126687,0.035832190004299,Havcr1
ENSMUSG00000095630,4.63290961530739,0.238912692506313,25.6946301411428,0.000170378240377035,0.035832190004299,Igkv6-23
ENSMUSG00000023067,1.03887411662075,3.53444505161078,26.7643594324232,0.000171713596294562,0.035832190004299,Cdkn1a
ENSMUSG00000005547,1.0584021041215,5.23207890938873,26.6098076754732,0.000176185947319565,0.036003848250917,Cyp2a5
ENSMUSG00000027870,1.08489132088808,8.57084097071191,26.3842187384682,0.000183107602095783,0.0363873822205858,Hao2
ENSMUSG00000024610,0.837933800323878,8.57167716146165,26.3269753728584,0.000184918080414747,0.0363873822205858,Cd74
ENSMUSG00000030671,1.01434952047386,3.92887952486474,26.1925629755199,0.000189330226131085,0.0363873822205858,Pde3b
ENSMUSG00000056290,1.57756926347495,1.75298308805485,26.2135823632416,0.000190048248729099,0.0363873822205858,Ms4a4b
ENSMUSG00000035681,1.40659261659031,2.12991533231589,26.1614791902696,0.000192117860259634,0.0364082949055298,Kcnc2
ENSMUSG00000076607,7.11914045025314,-0.0804730142153904,29.6114027946909,0.000196746813423987,0.0366513763732867,Igkj4
ENSMUSG00000035493,0.889099674605787,4.6244208336062,25.8775042718493,0.000199907804423325,0.0366513763732867,Tgfbi
ENSMUSG00000076618,6.27486619686366,1.66752452269913,24.6967163692727,0.000202938240161322,0.0366513763732867,Ighj4
ENSMUSG00000076569,8.69451906320678,1.34075324795106,29.2313858273234,0.000203267917642071,0.0366513763732867,Igkv5-39
ENSMUSG00000027962,0.881267558063663,4.66332372577005,25.1483146521667,0.000227246445892968,0.0401944856488019,Vcam1
ENSMUSG00000076615,9.47536767310635,1.99658070812488,27.6887584090689,0.000253943125911752,0.0433375024471587,Ighg3
ENSMUSG00000027249,2.07477338618575,2.1144950165411,24.3659360339191,0.000263187366617658,0.044035277232641,F2
ENSMUSG00000076564,3.66455618912473,0.233355333840591,21.6207474137649,0.000276371017071058,0.0458282368664616,Igkv12-46
ENSMUSG00000061232,0.589020478882774,7.9450676910766,23.8737972913557,0.000286056835156155,0.0459008805341433,H2-K1
ENSMUSG00000032327,1.82723236775881,2.79812250789778,23.895086595261,0.000286692676034538,0.0459008805341433,Stra6
ENSMUSG00000094694,6.97581631286468,-0.209803733780918,27.0301738933789,0.000286695140101261,0.0459008805341433,Ighv1-9
ENSMUSG00000076620,6.26912737285152,1.67701375332468,22.5948709273566,0.000304316506052708,0.0474938331967302,Ighj2
ENSMUSG00000039710,2.40460156441261,3.51658505022526,23.2289147086961,0.000323690357047989,0.049658800035412,Slc7a12
ENSMUSG00000094546,3.92897605211016,0.465638352005076,20.8307439848814,0.000328416039303898,0.049658800035412,Ighv1-26
ENSMUSG00000027875,1.23881339273274,4.91089315637216,23.0894531737748,0.00033103540582361,0.049658800035412,Hmgcs2
ENSMUSG00000102439,1.6179139385877,2.08620855914114,23.1287616626684,0.000331557786150715,0.049658800035412,Flg
