aligner,raw,processed
SRR9126754_hisat2_pe,28910839,22629002
SRR9126924_hisat2_pe,40048484,30110486
SRR9126950_hisat2_pe,27709403,20493067
SRR9127139_hisat2_pe,27569259,21701382
SRR9127244_hisat2_pe,11236836,8873887
SRR9127382_hisat2_pe,26706999,20973263
SRR9127568_hisat2_pe,23614752,16894254
SRR9126754_hisat2_se,31066851,21655386
SRR9126924_hisat2_se,42545035,28781275
SRR9126950_hisat2_se,29564563,19546338
SRR9127139_hisat2_se,29409799,20797661
SRR9127244_hisat2_se,11880053,8547254
SRR9127382_hisat2_se,28674688,19985784
SRR9127568_hisat2_se,25419286,16065006
SRR9126754_star_pe,26414210,21960820
SRR9126924_star_pe,34145321,27449594
SRR9126950_star_pe,23281255,18633672
SRR9127139_star_pe,25492247,21184396
SRR9127244_star_pe,10318784,8595852
SRR9127382_star_pe,23996151,20272070
SRR9127568_star_pe,19362434,15083119
SRR9126754_star_se,32491449,22690388
SRR9126924_star_se,45047517,30162461
SRR9126950_star_se,31991920,20800665
SRR9127139_star_se,31049660,21791961
SRR9127244_star_se,12436971,8828185
SRR9127382_star_se,31267313,21447239
SRR9127568_star_se,27758084,17315877
