Name,Length
ENSMUST00000193812,1070
ENSMUST00000082908,110
ENSMUST00000162897,4153
ENSMUST00000159265,2989
ENSMUST00000070533,3634
ENSMUST00000192857,480
ENSMUST00000195335,2819
ENSMUST00000192336,2233
ENSMUST00000194099,2309
ENSMUST00000161581,266
ENSMUST00000192973,2057
ENSMUST00000192183,926
ENSMUST00000195166,3012
ENSMUST00000192692,3259
ENSMUST00000193244,1634
ENSMUST00000194454,2351
ENSMUST00000157708,58
ENSMUST00000371377,728
ENSMUST00000371375,652
ENSMUST00000371381,536
ENSMUST00000371380,749
ENSMUST00000371379,598
ENSMUST00000371378,702
ENSMUST00000371376,506
ENSMUST00000371374,781
ENSMUST00000371382,551
ENSMUST00000194643,657
ENSMUST00000192427,899
ENSMUST00000321514,444
ENSMUST00000208660,4170
ENSMUST00000208793,3047
ENSMUST00000027032,6869
ENSMUST00000195384,1867
ENSMUST00000194382,1484
ENSMUST00000332036,1249
ENSMUST00000332037,1401
ENSMUST00000351523,422
ENSMUST000000270350,3127
ENSMUST00000195555,1977
ENSMUST00000192650,3242
ENSMUST00000116652,1512
ENSMUST00000192505,1148
ENSMUST00000191647,406
ENSMUST00000191939,840
ENSMUST00000192913,1506
ENSMUST00000193450,2828
ENSMUST00000250992,369
ENSMUST00000194935,551
ENSMUST00000250994,399
ENSMUST00000250993,866
ENSMUST00000195361,2991
ENSMUST00000240255,107
ENSMUST00000193889,450
ENSMUST00000308370,891
ENSMUST00000308366,980
ENSMUST00000308358,688
ENSMUST00000308356,930
ENSMUST00000308359,1381
ENSMUST00000308400,351
ENSMUST00000308360,776
ENSMUST00000308365,593
ENSMUST00000308374,926
ENSMUST00000308371,692
ENSMUST00000308368,948
ENSMUST00000308369,812
ENSMUST00000308367,813
ENSMUST00000308362,875
ENSMUST00000308361,1088
ENSMUST00000308363,1338
ENSMUST00000308357,1003
ENSMUST00000195771,2773
ENSMUST00000308373,1124
ENSMUST00000308372,780
ENSMUST00000308364,1188
ENSMUST00000308378,1253
ENSMUST00000308402,813
ENSMUST00000308375,749
ENSMUST00000308381,723
ENSMUST00000308385,750
ENSMUST00000308383,764
ENSMUST00000308382,557
ENSMUST00000308384,837
ENSMUST00000308386,734
ENSMUST00000308387,1202
ENSMUST00000308388,797
ENSMUST00000308390,653
ENSMUST00000308389,912
ENSMUST00000308391,688
ENSMUST00000308380,776
ENSMUST00000308379,550
ENSMUST00000308377,539
ENSMUST00000308376,747
ENSMUST00000308395,1375
ENSMUST00000308394,1458
ENSMUST00000308392,1233
ENSMUST00000308396,1148
ENSMUST00000308397,644
ENSMUST00000308398,793
ENSMUST00000308399,885
ENSMUST00000308393,759
ENSMUST00000308401,741
ENSMUST00000308650,1009
ENSMUST00000308652,962
ENSMUST00000308653,506
ENSMUST00000308651,398
ENSMUST00000308668,1100
ENSMUST00000308654,588
ENSMUST00000308655,647
ENSMUST00000308656,843
ENSMUST00000308657,482
ENSMUST00000308658,551
ENSMUST00000308659,826
ENSMUST00000308660,616
ENSMUST00000308666,794
ENSMUST00000308667,584
ENSMUST00000308661,1007
ENSMUST00000308662,1019
ENSMUST00000308663,987
ENSMUST00000308669,878
ENSMUST00000308664,529
ENSMUST00000308665,675
ENSMUST00000308670,1683
ENSMUST00000308671,1309
ENSMUST00000192738,936
ENSMUST00000182774,1470
ENSMUST00000193443,1206
ENSMUST00000333126,442
ENSMUST00000333130,749
ENSMUST00000333132,421
ENSMUST00000333127,582
ENSMUST00000333129,1163
ENSMUST00000333128,531
ENSMUST00000333131,866
ENSMUST00020182286,103
ENSMUST00000195671,631
ENSMUST00000193658,1069
ENSMUST00000130201,1894
ENSMUST00000156816,4203
ENSMUST000000456894,497
ENSMUST00000115538,910
ENSMUST00000192286,4600
ENSMUST00000146665,1569
ENSMUST00000132625,654
ENSMUST00000195445,1150
ENSMUST00000243104,1382
ENSMUST00000333289,496
ENSMUST00000333426,467
ENSMUST00000134384,1136
ENSMUST000000270361,2507
ENSMUST00000150971,877
ENSMUST00000119612,529
ENSMUST00000137887,444
ENSMUST00000115529,930
ENSMUST00000131119,660
ENSMUST00000141278,4456
ENSMUST00000155020,825
ENSMUST00000344169,368
ENSMUST000000815514,2547
ENSMUST00000165720,2854
ENSMUST00000078030,603
ENSMUST00000194052,1111
ENSMUST000000025335,1778
ENSMUST00000118000,2125
ENSMUST00000119256,883
ENSMUST00000170566,577
ENSMUST00000147158,707
ENSMUST00000156289,1531
ENSMUST00000133521,670
ENSMUST00000168963,272
ENSMUST00000194114,2135
ENSMUST00000144339,3725
ENSMUST00000169520,1588
ENSMUST00000192847,1662
ENSMUST000000443693,2049
ENSMUST00000194676,970
ENSMUST00000194301,4829
ENSMUST00000194978,2510
ENSMUST00000192029,385
ENSMUST00000192698,1811
ENSMUST00000192142,2318
ENSMUST00000375191,286
ENSMUST00000375190,447
ENSMUST00000193351,732
ENSMUST00000376320,1982
ENSMUST00000193241,2279
ENSMUST00000194850,2032
ENSMUST00000192685,2846
ENSMUST00000160777,4675
ENSMUST000000270381,1376
ENSMUST00000160339,2481
ENSMUST00000159083,3327
ENSMUST00000193797,394
ENSMUST00020183055,101
ENSMUST00000193807,1799
ENSMUST00000044180,3692
ENSMUST00000191956,1083
ENSMUST00000247217,1290
ENSMUST00000191825,5428
ENSMUST00000159618,1113
ENSMUST00000298744,897
ENSMUST00000097832,681
ENSMUST00000159906,656
ENSMUST00000160871,690
ENSMUST000000270403,7607
ENSMUST00000162210,1151
ENSMUST00000160062,520
ENSMUST00000162795,2712
ENSMUST00000161327,5707
ENSMUST00000159802,4136
ENSMUST00000162257,2204
ENSMUST00000159206,519
ENSMUST00000159661,875
ENSMUST00000161183,332
ENSMUST00000159349,633
ENSMUST00000159530,898
ENSMUST00000162418,2150
ENSMUST00000159656,1599
ENSMUST00000133144,971
ENSMUST00000380206,1409
ENSMUST00000380208,1156
ENSMUST00000380207,646
ENSMUST00000380209,600
ENSMUST00000380210,897
ENSMUST00000193588,639
ENSMUST00000192950,473
ENSMUST00000363951,569
