transcript_id,gene_id
ENSMUST00000193812.2,ENSMUSG00000102693.2
ENSMUST00000082908.3,ENSMUSG00000064842.3
ENSMUST00000162897.2,ENSMUSG00000051951.6
ENSMUST00000159265.2,ENSMUSG00000051951.6
ENSMUST00000070533.5,ENSMUSG00000051951.6
ENSMUST00000192857.2,ENSMUSG00000102851.2
ENSMUST00000195335.2,ENSMUSG00000103377.2
ENSMUST00000192336.2,ENSMUSG00000104017.2
ENSMUST00000194099.2,ENSMUSG00000103025.2
ENSMUST00000161581.3,ENSMUSG00000089699.3
ENSMUST00000192973.2,ENSMUSG00000103201.2
ENSMUST00000192183.2,ENSMUSG00000103147.2
ENSMUST00000195166.2,ENSMUSG00000103161.2
ENSMUST00000192692.2,ENSMUSG00000102331.2
ENSMUST00000193244.2,ENSMUSG00000102348.2
ENSMUST00000194454.2,ENSMUSG00000102592.2
ENSMUST00000157708.4,ENSMUSG00000088333.4
ENSMUST00000371377.1,ENSMUSG00000142494.1
ENSMUST00000371375.1,ENSMUSG00000142494.1
ENSMUST00000371381.1,ENSMUSG00000142494.1
ENSMUST00000371380.1,ENSMUSG00000142494.1
ENSMUST00000371379.1,ENSMUSG00000142494.1
ENSMUST00000371378.1,ENSMUSG00000142494.1
ENSMUST00000371376.1,ENSMUSG00000142494.1
ENSMUST00000371374.1,ENSMUSG00000142494.1
ENSMUST00000371382.1,ENSMUSG00000142494.1
ENSMUST00000194643.2,ENSMUSG00000102343.2
ENSMUST00000192427.2,ENSMUSG00000102343.2
ENSMUST00000321514.1,ENSMUSG00000133908.1
ENSMUST00000208660.2,ENSMUSG00000025900.14
ENSMUST00000208793.2,ENSMUSG00000025900.14
ENSMUST00000027032.6,ENSMUSG00000025900.14
ENSMUST00000195384.2,ENSMUSG00000102948.2
ENSMUST00000194382.2,ENSMUSG00000104123.2
ENSMUST00000332036.1,ENSMUSG00000135717.1
ENSMUST00000332037.1,ENSMUSG00000135717.1
ENSMUST00000351523.1,ENSMUSG00000139157.1
ENSMUST00000027035.10,ENSMUSG00000025902.14
ENSMUST00000195555.2,ENSMUSG00000025902.14
ENSMUST00000192650.6,ENSMUSG00000025902.14
ENSMUST00000116652.8,ENSMUSG00000025902.14
ENSMUST00000192505.2,ENSMUSG00000025902.14
ENSMUST00000191647.2,ENSMUSG00000025902.14
ENSMUST00000191939.2,ENSMUSG00000025902.14
ENSMUST00000192913.2,ENSMUSG00000025902.14
ENSMUST00000193450.2,ENSMUSG00000104238.3
ENSMUST00000250992.1,ENSMUSG00000104238.3
ENSMUST00000194935.3,ENSMUSG00000104238.3
ENSMUST00000250994.1,ENSMUSG00000104238.3
ENSMUST00000250993.1,ENSMUSG00000104238.3
ENSMUST00000195361.2,ENSMUSG00000102269.2
ENSMUST00000240255.1,ENSMUSG00000118917.1
ENSMUST00000193889.2,ENSMUSG00000103003.2
ENSMUST00000308370.1,ENSMUSG00000104328.3
ENSMUST00000308366.1,ENSMUSG00000104328.3
ENSMUST00000308358.1,ENSMUSG00000104328.3
ENSMUST00000308356.1,ENSMUSG00000104328.3
ENSMUST00000308359.1,ENSMUSG00000104328.3
ENSMUST00000308400.1,ENSMUSG00000104328.3
ENSMUST00000308360.1,ENSMUSG00000104328.3
ENSMUST00000308365.1,ENSMUSG00000104328.3
ENSMUST00000308374.1,ENSMUSG00000104328.3
ENSMUST00000308371.1,ENSMUSG00000104328.3
ENSMUST00000308368.1,ENSMUSG00000104328.3
ENSMUST00000308369.1,ENSMUSG00000104328.3
ENSMUST00000308367.1,ENSMUSG00000104328.3
ENSMUST00000308362.1,ENSMUSG00000104328.3
ENSMUST00000308361.1,ENSMUSG00000104328.3
ENSMUST00000308363.1,ENSMUSG00000104328.3
ENSMUST00000308357.1,ENSMUSG00000104328.3
ENSMUST00000195771.2,ENSMUSG00000104328.3
ENSMUST00000308373.1,ENSMUSG00000104328.3
ENSMUST00000308372.1,ENSMUSG00000104328.3
ENSMUST00000308364.1,ENSMUSG00000104328.3
ENSMUST00000308378.1,ENSMUSG00000104328.3
ENSMUST00000308402.1,ENSMUSG00000104328.3
ENSMUST00000308375.1,ENSMUSG00000104328.3
ENSMUST00000308381.1,ENSMUSG00000104328.3
ENSMUST00000308385.1,ENSMUSG00000104328.3
ENSMUST00000308383.1,ENSMUSG00000104328.3
ENSMUST00000308382.1,ENSMUSG00000104328.3
